,https://roic.ai/company/AMPE,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,18750,50000,50000,76787,1162462,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,2241000,369309,950000,568000,523000,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,18750,- -,- -,-2164213,793153,-950000,-568000,-523000,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,1.0000,- -,- -,-28.1846,0.6823,-Infinity,-Infinity,-Infinity,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,1972134,6648397,7493824,18288871,26922988,18960545,10546287,10420732,6828612,12622000,9172000,11900000
6,General and Administrative Exp.,- -,27802,28282,21872,4732271,4504494,4377000,5785000,12225000,15135000,6536000,5144000,4355000,5898000,6650000,8671000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,27802,28282,21872,4732271,4504494,4377000,5785000,12225000,15135000,6536000,5144000,4355000,5898000,6650000,8671000
9,Other Expenses,- -,1200,950,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000,- -,- -
10,Operating Expenses,- -,29002,29232,21872,6704405,11152891,11870824,24073871,39147988,34095545,17082287,15564732,11183612,18576000,15822000,20571000
11,COGS and Expenses,1004,29002,29232,21872,6704405,11152891,11870824,24073871,39147988,34464854,17082287,15564732,11183612,18576000,15834000,- -
12,Interest Income ,- -,- -,- -,- -,815,6684,21943,12287,22263,-333760,23479,3086,-5012,77000,12000,4000
13,Interest Expense (Gain),- -,- -,2649,4179,19545,8358,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,42551,62396,137680,439098,1136292,1214453,1214474,1281379,1272000,1177000,1094000
15,EBITDA,-1004,-26809,-29232,-21872,-6703590,-18225825,-11530649,-23870878,-37686317,-30873950,-15867834,-14350258,-9902233,-18520000,-14041000,1094000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-972.0440,-230.6130,-477.4176,-490.7903,-26.5591,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
17,Operating Income,-1004,-29002,-29232,-21872,-6704405,-11134141,- -,- -,- -,-33302119,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-593.8209,- -,- -,- -,-28.6479,- -,- -,- -,- -,- -,- -
