,https://roic.ai/company/ASO,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , 
1,Revenue,4835582000,4783893000,4829897000,5689233000,6773128000
2,COGS,3436618000,3415941000,3398743000,3955188000,4422033000
3,Gross Profit,1398964000,1367952000,1431154000,1734045000,2351095000
4,Gross Profit Ratio,0.2893,0.2859,0.2963,0.3048,0.3471
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,1443148000
9,Other Expenses,1241643000,1239002000,1251733000,1313647000,- -
10,Operating Expenses,1241643000,1239002000,1251733000,1313647000,1443148000
11,COGS and Expenses,4678261000,4654943000,4650476000,5268835000,5865181000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),104857000,108652000,101307000,86514000,48989000
14,Depreciation and Amortization,133203000,132782000,117254000,105481000,105274000
15,EBITDA,299342000,264827000,341421000,531115000,1013803000
16,EBITDA ratio,0.0619,0.0554,0.0707,0.0934,0.1497
17,Operating Income,157321000,128950000,179421000,420398000,907947000
18,Operating Income ratio,0.0325,0.0270,0.0371,0.0739,0.1341
19,Total Other Income Expenses (Gains),-96039000,-105557000,-56561000,-81278000,-48407000
20,Income Before Tax,61282000,23393000,122860000,339120000,859540000
21,Income Before Tax Ratio,0.0127,0.0049,0.0254,0.0596,0.1269
22,Income Tax expense (Gain),2781000,1951000,2817000,30356000,188159000
23,Net Income,58501000,21442000,120043000,308764000,671381000
24,Net Income ratio,0.0121,0.0045,0.0249,0.0543,0.0991
25,EPS,0.70,0.28,1.08,3.96,8.61
26,EPS Diluted,0.69,0.27,1.05,3.79,8.24
27,Weighted Average Shares Outstanding,83012535,76557308,83012535,77994000,77994000
28,Weighted Average Shares Outstanding Diluted,85331699,78568554,85331699,81431000,81431000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1817358/000181735821000059/0001817358-21-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1817358/000181735822000039/0001817358-22-000039-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,75691000,149385000,377604000,485998000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,75691000,149385000,377604000,485998000
34,Net Receivables,- -,15725000,13999000,17306000,19718000
35,Inventory,- -,1134156000,1099749000,990034000,1171808000
36,Other Current Assets,- -,41700000,26311000,30076000,38223000
37,Total Current Assets,- -,1267272000,1289444000,1415020000,1715747000
38,PP&E,- -,496153000,1587112000,1521959000,1425382000
39,Goodwill,- -,861920000,861920000,861920000,861920000
40,Intangible Assets,- -,592067000,577000000,577000000,- -
41,Intangible Assets,- -,1453987000,1438920000,1438920000,861920000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,21545000,15845000,8583000,581891000
45,Total Non-Current Assets,- -,1971685000,3041877000,2969462000,2869193000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,3238957000,4331321000,4384482000,4584940000
48,Accounts Payable,- -,432037000,428823000,791404000,737826000
49,Short-Term Debt,- -,68305000,110445000,84338000,86077000
50,Tax Payable,- -,24462000,29570000,55688000,- -
51,Deferred Revenue,- -,67527000,70220000,76778000,- -
52,Other Current Liabilities,- -,116614000,141161000,214573000,303207000
53,Total Current Liabilities,- -,684483000,750649000,1167093000,1127110000
54,Long-Term Debt,- -,1556755000,2570438000,1931577000,1761252000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,138703000,217212000
57,Other Non-Current Liabilities,- -,140680000,22015000,35126000,12420000
58,Total Non-Current Liabilities,- -,1697435000,2592453000,2105406000,1990884000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,1218225000,1230426000,- -
61,Total Liabilities,- -,2381918000,3343102000,3272499000,3117994000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,911000,870000
64,Retained Earnings,- -,- -,- -,987168000,1268060000
65,Other Comprehensive Income/Loss,- -,8448000,-8066000,-3324000,- -
66,Other Total Stockholders Equity,- -,- -,- -,127228000,- -
67,Total Stockholders Equity,- -,- -,- -,1111983000,1466946000
68,Total Liabilities And Stockholders Equity,- -,3238957000,4331321000,4384482000,4584940000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3238957000,4331321000,4384482000,4584940000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1817358/000181735821000059/0001817358-21-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1817358/000181735822000039/0001817358-22-000039-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,58501000,21442000,120043000,308764000,671381000
74,Depreciation and Amortization,133203000,132782000,117254000,105481000,105274000
75,Deferred Income Tax,147000,-494000,297000,701000,79490000
76,Stock Based Compensation,4580000,4633000,7881000,31617000,39264000
