,https://roic.ai/company/TWST,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,2269000,10767000,25427000,54385000,90100000,132333000
2,COGS,9421000,24020000,32189000,47426000,61406000,80620000
3,Gross Profit,-7152000,-13253000,-6762000,6959000,28694000,51713000
4,Gross Profit Ratio,-3.1520,-1.2309,-0.2659,0.1280,0.3185,0.3908
5,Research and Development Exp.,18230000,19169000,20347000,35683000,43006000,69072000
6,General and Administrative Exp.,- -,- -,- -,80126000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,80126000,- -,135901000
9,Other Expenses,18274000,26060000,43450000,- -,103267000,- -
10,Operating Expenses,36504000,45229000,63797000,115809000,146273000,204973000
11,COGS and Expenses,45925000,69249000,95986000,163235000,207679000,285593000
12,Interest Income ,241000,412000,999000,3032000,1499000,435000
13,Interest Expense (Gain),746000,905000,1313000,1294000,787000,367000
14,Depreciation and Amortization,4229000,5021000,5727000,6111000,6677000,9750000
15,EBITDA,-39113000,-53104000,-63954000,-99972000,-132085000,-143911000
16,EBITDA ratio,-17.2380,-4.9321,-2.5152,-1.8382,-1.4660,-1.0875
17,Operating Income,-43656000,-58482000,-70559000,-108850000,-140079000,-152726000
18,Operating Income ratio,-19.2402,-5.4316,-2.7750,-2.0015,-1.5547,-1.1541
19,Total Other Income Expenses (Gains),-432000,-548000,-435000,1473000,530000,-1302000
20,Income Before Tax,-44088000,-59030000,-70994000,-107377000,-139549000,-154028000
21,Income Before Tax Ratio,-19.4306,-5.4825,-2.7921,-1.9744,-1.5488,-1.1639
22,Income Tax expense (Gain),- -,280000,242000,292000,382000,-1930000
23,Net Income,-44088000,-59310000,-71236000,-107669000,-139931000,-152098000
24,Net Income ratio,-19.4306,-5.5085,-2.8016,-1.9798,-1.5531,-1.1494
25,EPS,-2.35,-3.84,-2.68,-3.92,-3.57,-3.15
26,EPS Diluted,-2.35,-3.84,-2.68,-3.92,-3.57,-3.15
27,Weighted Average Shares Outstanding,18780785,15392026,26609991,27461844,39190000,48251000
28,Weighted Average Shares Outstanding Diluted,18780785,15392026,26609991,27461844,39190000,48251000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1581280/000119312518354577/0001193125-18-354577-index.htm,https://www.sec.gov/Archives/edgar/data/1581280/000119312519313115/0001193125-19-313115-index.htm,https://www.sec.gov/Archives/edgar/data/1581280/000119312520303904/0001193125-20-303904-index.htm,https://www.sec.gov/Archives/edgar/data/1581280/000110465921142700/0001104659-21-142700-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,28596000,31227000,80757000,46735000,93667000,465829000
32,Short-Term Investments,27324000,30977000,- -,91372000,196335000,12034000
33,Cash and Short-Term Investments,55920000,62204000,80757000,138107000,290002000,477863000
34,Net Receivables,723000,2346000,5419000,12104000,26376000,28549000
35,Inventory,1228000,1827000,6028000,7330000,12289000,31800000
36,Other Current Assets,1168000,1492000,3467000,2594000,6203000,8283000
37,Total Current Assets,59039000,67869000,95671000,160135000,334870000,546495000
38,PP&E,14617000,14834000,12331000,20835000,59165000,105702000
39,Goodwill,1138000,1138000,1138000,1138000,1138000,22434000
40,Intangible Assets,1133000,920000,712000,508000,307000,18262000
41,Intangible Assets,2271000,2058000,1850000,1646000,1445000,40696000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,536000,896000,5939000,4378000,3402000,9204000
45,Total Non-Current Assets,17424000,17788000,20120000,26859000,64012000,155602000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,76463000,85657000,115791000,186994000,398882000,702097000
48,Accounts Payable,2337000,2849000,7531000,9760000,4830000,14900000
49,Short-Term Debt,1367000,- -,2500000,3333000,9742000,9765000
50,Tax Payable,- -,- -,- -,- -,- -,2440000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,4974000,6628000,8506000,17261000,21457000,38387000
53,Total Current Liabilities,8678000,9477000,18537000,30354000,36029000,63052000
54,Long-Term Debt,9814000,9154000,7218000,4400000,1403000,53156000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,134582000,200384000,291458000,158000,25188000,5068000
58,Total Non-Current Liabilities,144396000,209538000,298676000,4558000,26591000,58224000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,31246000,61369000
61,Total Liabilities,153074000,219015000,317213000,34912000,62620000,121276000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-80309000,-139619000,-210855000,-318524000,-458455000,-610553000
65,Other Comprehensive Income/Loss,9000,33000,87000,181000,87000,546000
66,Other Total Stockholders Equity,11039000,18202000,26685000,493599000,824195000,- -
67,Total Stockholders Equity,-76611000,-133358000,-201422000,152082000,336262000,580821000
68,Total Liabilities And Stockholders Equity,76463000,85657000,115791000,186994000,398882000,702097000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,76463000,85657000,115791000,186994000,398882000,702097000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1581280/000119312518354577/0001193125-18-354577-index.htm,https://www.sec.gov/Archives/edgar/data/1581280/000119312519313115/0001193125-19-313115-index.htm,https://www.sec.gov/Archives/edgar/data/1581280/000119312520303904/0001193125-20-303904-index.htm,https://www.sec.gov/Archives/edgar/data/1581280/000110465921142700/0001104659-21-142700-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-44088000,-59310000,-71236000,-107669000,-139931000,-152098000
74,Depreciation and Amortization,4229000,5021000,5727000,6111000,6677000,9750000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,857000,1891000,2961000,11170000,17096000,36998000
77,Change in Working Capital,240000,8031000,18742000,52647000,169060000,-9381000
78,Accounts Receivable,-702000,-1623000,-3073000,-6685000,-14272000,-2202000
79,Inventory,-1228000,-599000,-4202000,-1302000,-4956000,-19489000
80,Accounts Payable,466000,560000,3759000,3278000,-5506000,8542000
81,Other Working Capital,50361000,58392000,77134000,129781000,298841000,7392000
82,Other Non-Cash Items,170000,-6934000,-22358000,-50196000,-195157000,2487000
83,Cash Provided by Operating Activities,-38592000,-51301000,-66164000,-87937000,-142255000,-112244000
84,CAPEX,-6229000,-6594000,-3688000,-14757000,-9868000,-27061000
85,Acquisitions Net,- -,- -,- -,- -,- -,-483000
86,Purchases of Investments,-27290000,-40587000,-3523000,-177574000,-202882000,-58795000
87,Sales/Maturities of Investments,- -,36925000,34500000,87500000,98100000,242494000
88,Other Investing Activites,174000,386000,-417000,21000,- -,- -
89,Cash Used for Investing Activites,-33345000,-9870000,26872000,-104810000,-114650000,156155000
90,Debt Repayment,-426000,-4173000,- -,-2500000,-3333000,-3333000
91,Common Stock Issued,152000,205000,331000,156208000,295563000,323861000
92,Common Stock Repurchased,- -,- -,- -,- -,-2421000,-10849000
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,69922000,67770000,88491000,4870000,13923000,19503000
95,Cash Used/Provided by Financing Activities,69648000,63802000,88822000,158578000,303732000,329182000
96,Effect of Forex Changes on Cash,- -,- -,- -,30000,21000,20000
97,Net Change In Cash,-2289000,2631000,49530000,-34139000,46848000,373113000
98,Cash at the End of Period,28596000,31227000,80757000,47398000,94246000,467359000
99,Cash at the Beginning of Period,30885000,28596000,31227000,81537000,47398000,94246000
100,Free Cash Flow,-44821000,-57895000,-69852000,-102694000,-152123000,-139305000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1581280/000119312518354577/0001193125-18-354577-index.htm,https://www.sec.gov/Archives/edgar/data/1581280/000119312519313115/0001193125-19-313115-index.htm,https://www.sec.gov/Archives/edgar/data/1581280/000119312520303904/0001193125-20-303904-index.htm,https://www.sec.gov/Archives/edgar/data/1581280/000110465921142700/0001104659-21-142700-index.htm
102,false,,,,,,
