,https://roic.ai/company/INFU,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,6582000,35415000,38964000,47229000,54637000,58828000,62280000,66487000,72125000,70497000,71077000,67138000,81115000,97388000,102382000
2,COGS,- -,- -,1620000,9191000,10327000,13684000,19282000,15917000,18601000,19133000,20941000,25757000,27716000,28120000,34233000,38629000,42185000
3,Gross Profit,- -,- -,4962000,26224000,28637000,33545000,35355000,42911000,43679000,47354000,51184000,44740000,43361000,39018000,46882000,58759000,60197000
4,Gross Profit Ratio,- -,- -,0.7539,0.7405,0.7350,0.7103,0.6471,0.7294,0.7013,0.7122,0.7097,0.6346,0.6101,0.5812,0.5780,0.6033,0.5880
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,11765000,12218000,20622000,17987000,23062000,18973000,19988000,23778000,24629000,25200000,24077000,28321000,35195000,42261000
7,Selling and Marketing Exp.,- -,- -,- -,4659000,5258000,7087000,9371000,9864000,9658000,9745000,10424000,9657000,9779000,9107000,9932000,9661000,10777000
8,"Selling, General and Administrative Exp.",- -,- -,- -,16424000,17476000,27709000,27358000,32926000,28631000,29733000,34202000,34286000,34979000,33184000,38253000,44856000,53038000
9,Other Expenses,- -,20824145,6459000,5014000,5833000,6774000,6761000,7985000,9152000,8290000,8118000,9480000,11201000,4649000,4402000,- -,4339000
10,Operating Expenses,- -,20824145,6459000,21438000,23309000,34483000,34119000,40911000,37783000,38023000,42320000,43766000,46180000,37833000,42655000,44856000,57377000
11,COGS and Expenses,24483,20824145,8079000,30629000,33636000,48167000,53401000,56828000,56384000,57156000,63261000,69523000,73896000,65953000,76888000,83485000,99562000
12,Interest Income ,- -,3203820,3879000,36000,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),300,1304,774000,3771000,3503000,3352000,2193000,3340000,3497000,3134000,1705000,1344000,1332000,1420000,1904000,1255000,1377000
14,Depreciation and Amortization,- -,6660139,862000,6404000,6444000,8596000,9048000,8402000,8033000,6142000,8243000,10744000,12523000,11308000,12342000,14025000,14625000
15,EBITDA,-24483,-14164006,-50000,21041000,11698000,8725000,-57336000,9590000,14230000,15486000,15521000,11724000,8598000,11686000,15770000,42401000,17259000
