,https://roic.ai/company/NG,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,74212,70274,65104,2105206,1816438,1795368,1482811,1226344,3159491,3152798,7273826,7072663,3536416,1521225,587531,388340,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,1222378,1264965,138540,151980,256072,237112,366929,184072,165132,39952726,37653399,253060,215960,7346857,- -,- -,- -,33000,34000,22000,15000,7000,7000
3,Gross Profit,74212,70274,65104,882828,551473,1656828,1330831,970272,2922379,2785868,7089754,6907530,-36416310,-36132174,334471,172380,-7346857,- -,- -,- -,-33000,-34000,-22000,-15000,-7000,-7000
4,Gross Profit Ratio,1.0000,1.0000,1.0000,0.4194,0.3036,0.9228,0.8975,0.7912,0.9250,0.8836,0.9747,0.9767,-10.2975,-23.7520,0.5693,0.4439,-Infinity,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1397372,1248627,484215,878844,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22241656,44392459,86046872,44050939,26991000,22046000,19887000,20146000,20768000,18471000,16306000,18728000,20203000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22241656,44392459,86046872,44050939,26991000,22046000,19887000,20146000,20768000,18471000,16306000,18728000,20203000
9,Other Expenses,667904,983837,1432292,1629837,1066084,1505467,3177595,4246190,10001720,10123453,34531414,114836945,22741370,2605654,11515223,22091807,-0,- -,36000,401000,- -,- -,- -,- -,- -,- -
10,Operating Expenses,667904,983837,1432292,1629837,1066084,1505467,3177595,4246190,10001720,10123453,34531414,114836945,22741370,26244682,57156309,108622894,44929783,- -,22082000,20288000,20146000,20768000,18471000,16306000,18728000,20203000
11,COGS and Expenses,667904,983837,1432292,2852215,2331049,1644007,3329575,4502262,10238832,10490382,34715486,115002077,62694095,63898081,57409369,108838853,52276640,27028000,22082000,20288000,20179000,20802000,18493000,16321000,18735000,20210000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,391415,565953,395119,1523129,942000,854000,740000,947000,1172000,1998000,4190000,1744000,458000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17462418,14896226,14550649,15678260,12607000,6838000,5188000,4551000,5228000,6461000,7286000,6014000,5922000
14,Depreciation and Amortization,- -,- -,- -,271639,102529,147909,175977,122034,177084,184462,211082,286229,228381,243925,516910,836723,334223,37000,36000,35000,- -,- -,- -,- -,- -,938000
15,EBITDA,-816327,-2108222,-5533854,-1290288,1865301,-166397,-2032741,-5234468,-6877246,-7014527,-27878830,-61011849,-153191841,-57386783,-185377433,-139996126,-91107867,-54021000,-22046000,-20253000,-29200000,-32525000,-24232000,-19310000,-28156000,-32683000
