,https://roic.ai/company/IMV,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,6891,76093,- -,- -,- -,- -,93466,96498,- -,60204,45167,3000,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,6891,76093,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,3779793,4153165,3351314,2387493,3053214,3293277,2589869,4695875,9435916,14534514,26605000,23080000
6,General and Administrative Exp.,- -,- -,74910,3312800,- -,2960527,2529592,2387421,2834292,2859736,5109162,6786194,7762561,15205000,16020000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,74910,3312800,- -,2960527,2529592,2387421,2834292,2859736,5109162,6786194,7762561,15205000,16020000
9,Other Expenses,54575,21234,-6515,117982,2322609,- -,-0,- -,- -,- -,-857649,-779719,-1861790,-6690000,-3230000
10,Operating Expenses,54575,21234,68395,7210575,6475774,6311841,4917085,5440635,6127569,5449605,8947388,15442391,20435285,35120000,35870000
11,COGS and Expenses,54575,21234,68395,7210575,6475774,6311841,4917085,5440635,6127569,5449605,8947388,15442391,20435285,35120000,35870000
12,Interest Income ,- -,12729,6891,- -,- -,- -,303006,- -,- -,- -,150323,294413,389659,233696,188000
13,Interest Expense (Gain),- -,- -,- -,- -,190338,148394,322632,217014,289247,1120246,768239,1016865,948502,28232,907000
14,Depreciation and Amortization,- -,- -,- -,117982,128307,134241,107926,88658,71851,78241,111279,238614,404204,403871,541000
15,EBITDA,-54575,-21234,-61505,-6384047,-6347467,-6177600,-4809160,-5351976,-5962252,-5419935,-8685786,-14849159,-19596255,-34422897,-35141000
16,EBITDA ratio,-Infinity,-Infinity,-8.9258,-83.8981,-Infinity,-Infinity,-Infinity,-Infinity,-63.7905,-56.1663,-Infinity,-246.6463,-433.8644,-11474.2991,-Infinity
17,Operating Income,-54575,-21234,-61505,-7134482,-6475774,-6426836,-5235565,-6315815,-8373464,-7195111,-12140803,-15382187,-20390118,-35117000,-35870000
18,Operating Income ratio,-Infinity,-Infinity,-8.9258,-93.7603,-Infinity,-Infinity,-Infinity,-Infinity,-89.5882,-74.5623,-Infinity,-255.5000,-451.4407,-11705.6667,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,632454,- -,-33399,621486,658166,2050114,576689,2575500,-722451,-558843,262000,-719000
20,Income Before Tax,- -,- -,- -,- -,- -,-6460235,-4614079,-5657649,-6323350,-6618422,-9565303,-16104638,-20948962,-34855000,-36589000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-67.6539,-68.5861,-Infinity,-267.5000,-463.8136,-11618.3333,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-27140,-217418,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-54575,-9252,-61505,-6502029,-6666112,-6433095,-4396661,-5657649,-6323350,-6618422,-9565303,-16104638,-20948962,-34855000,-36589000
24,Net Income ratio,-Infinity,-Infinity,-8.9258,-85.4486,-Infinity,-Infinity,-Infinity,-Infinity,-67.6539,-68.5861,-Infinity,-267.5000,-463.8136,-11618.3333,-Infinity
25,EPS,-0.15,-0.01,-0.15,-0.45,-0.41,-0.32,-0.21,-0.22,-0.23,-0.21,-0.25,-0.37,-0.42,-0.45,-0.74
26,EPS Diluted,-0.15,-0.01,-0.15,-0.45,-0.41,-0.32,-0.21,-0.22,-0.23,-0.21,-0.25,-0.37,-0.42,-0.45,-0.74
27,Weighted Average Shares Outstanding,483490,733948,750000,14934186,16869237,19308993,21489265,26059272,28710383,31602737,38656777,43766951,49653578,60305264,49653580
28,Weighted Average Shares Outstanding Diluted,483490,733948,750000,14934186,16869237,19308993,21489265,26059272,28710383,31602737,38656777,43766951,49653578,60305264,49653580
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1734768/000117625619000085/0001176256-19-000085-index.html,https://www.sec.gov/Archives/edgar/data/1734768/000117625620000112/0001176256-20-000112-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,439764,570973,482030,10411381,4966650,2012335,3320902,9184969,2768924,10078788,11856339,10935882,10768065,36357790,38616000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,439764,570973,482030,10411381,4966650,2012335,3320902,9184969,2768924,10078788,11856339,10935882,10768065,36357790,38616000
34,Net Receivables,684,124,3303,1287890,987782,896621,791213,894280,992883,572036,573920,1797317,1918440,3100787,1737000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,-0,- -,258200,288022,296833,301713,159893,227663,163556,349127,666449,1981601,2321113,4426895,6037000
