,https://roic.ai/company/DTIL,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,6484000,10883000,22238000,24285000,115529000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,24285000,- -
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,20324000,45122000,82416000,98061000,115238000
6,General and Administrative Exp.,8016000,13673000,27026000,36052000,39693000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8016000,13673000,27026000,36052000,39693000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,28340000,58795000,109442000,134113000,154931000
11,COGS and Expenses,28340000,58795000,109442000,134113000,154931000
12,Interest Income ,872000,1875000,4267000,822000,208000
13,Interest Expense (Gain),- -,- -,182000,- -,132000
14,Depreciation and Amortization,1435000,2354000,5317000,9813000,10197000
15,EBITDA,-19667000,-43683000,-87378000,-99193000,-20273000
16,EBITDA ratio,-3.0332,-4.0139,-3.9292,-4.0845,-0.1755
17,Operating Income,-21974000,-47912000,-87204000,-109828000,-39402000
18,Operating Income ratio,-3.3890,-4.4025,-3.9214,-4.5225,-0.3411
19,Total Other Income Expenses (Gains),872000,1875000,-5673000,822000,8800000
20,Income Before Tax,-21102000,-46037000,-92877000,-109006000,-30602000
21,Income Before Tax Ratio,-3.2545,-4.2302,-4.1765,-4.4886,-0.2649
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-21102000,-46037000,-92877000,-109006000,-30602000
24,Net Income ratio,-3.2545,-4.2302,-4.1765,-4.4886,-0.2649
25,EPS,-0.63,-1.37,-2.21,-2.09,-0.52
26,EPS Diluted,-0.63,-1.37,-2.21,-2.09,-0.52
27,Weighted Average Shares Outstanding,33653835,33653835,41991162,52031740,58688102
28,Weighted Average Shares Outstanding Diluted,33653835,33653835,41991162,52031740,58688102
