,https://roic.ai/company/ADXS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,116406,552868,431961,154201,65736,29690,508481,- -,- -,- -,1000000,- -,3994856,12031050,6063000,20884000,253000,3240000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,29690,508481,- -,- -,- -,- -,- -,- -,- -,- -,- -,253,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,- -,- -,125942,1175536,1404164,2128096,2481840,2315557,4904298,8078901,6646094,5621989,8687168,24220610,48774589,71900462,56970000,26677000,15612000,10562000
6,General and Administrative Exp.,10000,10000,524368,1219792,2077062,2629094,3035680,2701133,3530198,4939935,5688677,9071613,11851410,24450047,31712505,38658464,19472000,12179000,11090000,11464000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",10000,10000,524368,1219792,2077062,2629094,3035680,2701133,3530198,4939935,5688677,9071613,11851410,24450047,31712505,38658464,19472000,12179000,11090000,11464000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,10000,10000,650310,2395328,3481226,4757190,5517520,5016690,8434496,13018836,12334771,14693602,20538578,48670657,80487094,110558926,76442000,38856000,26702000,22026000
11,COGS and Expenses,10000,10000,650310,2395328,3481226,4757190,5517520,5016690,8434496,13018836,12334771,14693602,20538578,48670657,80487094,110558926,76442000,38856000,26702000,22026000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5400,36305,114219,331529,669759,577000,435000,110000,5000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,851008,3814863,4698983,4536528,987746,5253,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,15818,41101,144390,263776,197345,111156,138948,160694,161778,178636,203297,265390,536192,1120420,1501000,1483000,1978000,990000
15,EBITDA,-10000,-10000,-522258,-1764688,-6053354,-2190677,-5219073,969385,-7137367,-12858142,-12172993,-14514966,-18673644,-48405267,-75555663,-96717664,-64964000,-15079000,-24441000,-16822000
16,EBITDA ratio,-Infinity,-Infinity,-4.4865,-3.1919,-14.0137,-14.2066,-79.3944,32.6502,-14.0366,-Infinity,-Infinity,-Infinity,-18.6736,-Infinity,-18.9132,-8.0390,-10.7148,-0.7220,-96.6047,-5.1920
17,Operating Income,-10000,-10000,-533904,-1842460,-3049265,-4602989,-5451784,-4987000,-7926015,-13018836,-12334771,-14693602,-19538578,-48670657,-76492238,-98527876,-70379000,-17972000,-26449000,-18786000
18,Operating Income ratio,-Infinity,-Infinity,-4.5866,-3.3325,-7.0591,-29.8506,-82.9345,-167.9690,-15.5876,-Infinity,-Infinity,-Infinity,-19.5386,-Infinity,-19.1477,-8.1895,-11.6079,-0.8606,-104.5415,-5.7981
19,Total Other Income Expenses (Gains),- -,- -,57,- -,-2711179,2755729,46629,4994221,-3165163,4523624,-81703,-6018414,656384,30190,400383,689792,3914000,1410000,30000,974000
20,Income Before Tax,-10000,-10000,- -,- -,- -,- -,- -,7221,-11091178,-8495212,-12416474,-20712016,-18882194,-48640467,-76091855,-97838084,-66465000,-16562000,-26419000,-17812000
21,Income Before Tax Ratio,-Infinity,-Infinity,- -,- -,- -,- -,- -,0.2432,-21.8124,-Infinity,-Infinity,-Infinity,-18.8822,-Infinity,-19.0475,-8.1321,-10.9624,-0.7930,-104.4229,-5.4975
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-922023,-278978,-379472,-346787,-725190,-2356880,-1609349,-2535625,-4402682,50000,50000,50000,50000
23,Net Income,-10000,-10000,-538076,-1805789,-6197744,-2454453,-5416418,929244,-10812200,-8115740,-12069687,-19986826,-16525314,-47031118,-73556230,-93435402,-66515000,-16612000,-26469000,-17862000
24,Net Income ratio,-Infinity,-Infinity,-4.6224,-3.2662,-14.3479,-15.9172,-82.3965,31.2982,-21.2637,-Infinity,-Infinity,-Infinity,-16.5253,-Infinity,-18.4127,-7.7662,-10.9706,-0.7954,-104.6206,-5.5130
25,EPS,-0.00,-0.00,-75.00,-93.75,-300.00,-93.75,-93.75,18.75,-131.25,-75.00,-75.00,-61.50,-14.55,-25.20,-31.20,-34.65,-19.35,-1.09,-0.43,-0.29
26,EPS Diluted,-0.00,-0.00,-75.00,-93.75,-300.00,-93.75,-93.75,18.75,-131.25,-75.00,-75.00,-61.50,-14.55,-25.20,-31.20,-34.65,-19.35,-1.09,-0.43,-0.29
27,Weighted Average Shares Outstanding,145638000,145638000,8318,19084,20611,24897,57982,60461,80495,118890,170988,334142,1140444,1868422,2360077,2701869,3434841,15207637,61003839,61003839
28,Weighted Average Shares Outstanding Diluted,145638000,145638000,8318,19084,20611,24897,57982,63074,80495,118890,170988,334142,1140444,1868422,2360077,2701869,3434841,15207637,61003839,61003839
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1100397/000114420406002692/v033650_10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420407007215/v063533_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420408002607/v099746_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420409004207/v138144_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420410008982/v174517_10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420411004968/v209406_10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420412004201/0001144204-12-004201-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000114420413008315/v331295_10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000114420414004716/v365567_10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000149315215000050/form10k.htm,https://www.sec.gov/Archives/edgar/data/1100397/000149315216006703/0001493152-16-006703-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000149315217000250/0001493152-17-000250-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000149315217014889/0001493152-17-014889-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000149315219000489/0001493152-19-000489-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000149315219019523/0001493152-19-019523-index.html,https://www.sec.gov/Archives/edgar/data/1100397/000149315221001656/0001493152-21-001656-index.htm,https://www.sec.gov/Archives/edgar/data/1100397/000149315222004469/0001493152-22-004469-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,32279,2075206,2761166,4041984,59738,659822,108381,1096538,232,20552062,17606860,66561683,112750980,23899809,44141000,32363000,25178000,41614000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45594495,39336548,46398304,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,32279,2075206,2761166,4041984,59738,659822,108381,1096538,232,20552062,17606860,112156178,152087528,70298113,44141000,32363000,25178000,41614000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,244479,477788,- -,- -,1731317,1754648,2630004,4452682,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,38100,199917,38862,36445,38511,39695,894273,257444,1155884,1103747,5157666,6492029,6324000,3786000,2673000,1643000
37,Total Current Assets,- -,- -,32279,2075206,2799266,4241901,98600,696267,391371,1614021,894505,20809506,20494061,115014573,159875198,81242824,50465000,36149000,27851000,43257000
38,PP&E,- -,- -,- -,73145,64742,116442,91147,54499,28406,- -,78068,80385,77369,1087244,4389074,7111081,6684000,4350000,7232000,158000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,469804,751088,956409,1098135,1137397,1371638,2125991,2256852,2413755,2528551,2767945,3355033,4329121,4856775,4838000,4575000,3261000,3354000
41,Intangible Assets,- -,- -,469804,751088,956409,1098135,1137397,1371638,2125991,2256852,2413755,2528551,2767945,3355033,4329121,4856775,4838000,4575000,3261000,3354000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,4600,182287,3876,3876,591913,329418,1769689,429469,167479,38438,148843,450667,431098,280000,183000,182000,11000
45,Total Non-Current Assets,- -,- -,469804,828833,1203438,1218453,1232420,2018050,2483815,4026541,2921292,2776415,2883752,4591120,9168862,12398954,11802000,9108000,10675000,3523000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,502083,2904039,4002704,5460354,1331020,2714317,2875186,5640562,3815797,23585921,23377813,119605693,169044060,93641778,62267000,45257000,38526000,46780000
48,Accounts Payable,- -,- -,823152,651887,810221,787297,998856,2368716,2586008,2420260,5155797,3841771,1532258,1696696,3819220,7933362,9306000,4170000,1081000,2255000
49,Short-Term Debt,- -,- -,605190,57577,191577,80409,563317,3199945,1438490,408069,477274,226014,62882,29549,- -,- -,- -,- -,962000,28000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22527,220933,141652,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,20350,- -,- -,- -,- -,- -,- -,- -,- -,- -,15020576,6995336,4476000,- -,165000,- -
52,Other Current Liabilities,- -,100000,- -,- -,522467,305023,603345,917250,647125,8067632,3706511,869260,1120596,2191362,8866593,5935600,9090000,351000,1083000,5597000
53,Total Current Liabilities,- -,100000,1428342,709464,1544615,1172729,2165518,6485911,4671623,10895961,9339582,4937045,2715736,3917607,27706389,20864298,22872000,4521000,3291000,7880000
54,Long-Term Debt,- -,- -,413237,443000,5330696,19646,4813,- -,- -,570802,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,62441,4803,- -,- -,- -,21234568,17478758,14189000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,834534,- -,- -,11961734,13006194,6391071,434136,646734,32091,89211,800909,1038555,1155000,1205000,5055000,- -
58,Total Non-Current Liabilities,- -,- -,413237,443000,6165230,19646,4813,11961734,13006194,7024314,438939,646734,32091,89211,22035477,18517313,15344000,1205000,5055000,12000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6017000,40000
61,Total Liabilities,- -,100000,1841579,1152464,7709845,1192375,2170331,18447645,17677817,17920275,9778521,5583779,2747827,4006818,49741866,39381611,38216000,5726000,8346000,7892000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,15598,37686,40239,107957,109319,115638,198101,250173,394804,13720,19630,33592,40057,41207,70000,50000,78000,146000
64,Retained Earnings,- -,- -,-1658641,-3464430,-9662173,-12116626,-17533044,-16603800,-27416000,-35531740,-47601427,-70465823,-86991137,-134054259,-207706825,-301142227,-367657000,-384269000,-410738000,-428600000
65,Other Comprehensive Income/Loss,- -,- -,- -,-7432,-24441,-55953,-55953,- -,- -,- -,-209450,-228747,-256358,-142997,-426535,-1206585,-2319000,-2626000,-2332000,- -
66,Other Total Stockholders Equity,- -,- -,303547,5185751,5939234,16332601,16640367,754834,12415268,23001854,41453349,88682992,107857851,249762539,327395497,356567772,393957000,426376000,443172000,467342000
67,Total Stockholders Equity,- -,- -,-1339496,1751575,-3707141,4267979,-839311,-15733328,-14802631,-12279713,-5962724,18002142,20629986,115598875,119302194,54260167,24051000,39531000,30180000,38888000
