,https://roic.ai/company/SIEN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,10447000,35171000,44733000,38106000,20734000,36542000,68126000,83699000,71241000,80683000
2,COGS,2352000,8592000,11500000,10654000,6880000,14171000,26822000,33012000,32302000,36348000
3,Gross Profit,8095000,26579000,33233000,27452000,13854000,22371000,41304000,50687000,38939000,44335000
4,Gross Profit Ratio,0.7749,0.7557,0.7429,0.7204,0.6682,0.6122,0.6063,0.6056,0.5466,0.5495
5,Research and Development Exp.,3670000,4479000,4707000,7199000,9704000,9813000,10945000,13537000,10311000,10456000
6,General and Administrative Exp.,9938000,18078000,10712000,18738000,23577000,41537000,42418000,46771000,38191000,31773000
7,Selling and Marketing Exp.,17919000,22229000,23599000,25762000,20607000,33911000,67715000,80189000,52553000,48456000
8,"Selling, General and Administrative Exp.",27857000,40307000,34311000,44500000,44184000,75448000,110133000,126960000,90744000,80229000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,31527000,44786000,39018000,51699000,53888000,85261000,121078000,140497000,101055000,90685000
11,COGS and Expenses,33879000,53378000,50518000,62353000,60768000,99432000,147900000,173509000,133357000,127033000
12,Interest Income ,- -,- -,- -,32000,63000,172000,532000,1406000,206000,4000
13,Interest Expense (Gain),- -,872000,2172000,3097000,98000,1232000,3428000,4568000,9451000,-8254000
14,Depreciation and Amortization,288000,280000,275000,318000,1177000,3034000,3321000,3524000,4094000,4360000
15,EBITDA,-23145000,-17973000,-3364000,-37815000,-38830000,-59779000,-75882000,-98692000,-76369000,-66392000
16,EBITDA ratio,-2.2155,-0.5110,-0.0752,-0.9924,-1.8728,-1.6359,-1.1138,-1.1791,-1.0720,-0.8229
17,Operating Income,-23432000,-18207000,-5785000,-38525000,-40034000,-62890000,-79774000,-103567000,-70310000,-46350000
18,Operating Income ratio,-2.2429,-0.5177,-0.1293,-1.0110,-1.9308,-1.7210,-1.1710,-1.2374,-0.9869,-0.5745
19,Total Other Income Expenses (Gains),-1000,-918000,-26000,-2705000,-71000,-1155000,-2857000,-3217000,-19604000,-16148000
20,Income Before Tax,-23433000,-19125000,-5811000,-41230000,-40105000,-64045000,-82631000,-106784000,-89914000,-62498000
21,Income Before Tax Ratio,-2.2430,-0.5438,-0.1299,-1.0820,-1.9343,-1.7526,-1.2129,-1.2758,-1.2621,-0.7746
22,Income Tax expense (Gain),- -,- -,- -,- -,61000,-17000,-4000,34000,33000,-16000
23,Net Income,-23433000,-19125000,-5811000,-41230000,-40166000,-64028000,-82627000,-106818000,-89947000,-62482000
24,Net Income ratio,-2.2430,-0.5438,-0.1299,-1.0820,-1.9372,-1.7522,-1.2129,-1.2762,-1.2626,-0.7744
25,EPS,-2.56,-2.08,-2.28,-2.61,-2.20,-3.34,-3.25,-2.63,-1.79,-1.24
26,EPS Diluted,-2.56,-2.08,-2.28,-2.61,-2.20,-3.34,-3.25,-2.63,-1.79,-1.24
27,Weighted Average Shares Outstanding,9151224,9175442,2545371,15770972,18233177,19159057,25402241,40654272,50233175,50233175
28,Weighted Average Shares Outstanding Diluted,9151224,9175442,2545371,15770972,18233177,19159057,25402241,40654272,50233175,50233175
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1551693/000104746915002407/0001047469-15-002407-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000155837016003967/0001558370-16-003967-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000155837017001775/0001558370-17-001775-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000156459018005488/0001564590-18-005488-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000156459019007851/0001564590-19-007851-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000156459020011207/0001564590-20-011207-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000156459021012519/0001564590-21-012519-index.htm,https://www.sec.gov/Archives/edgar/data/1551693/000095017022005233/0000950170-22-005233-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,39208000,9722000,96729000,112801000,67212000,26588000,86899000,87608000,54967000,51772000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,39208000,9722000,96729000,112801000,67212000,26588000,86899000,87608000,54967000,51772000
34,Net Receivables,3350000,6111000,5198000,4249000,12457000,6608000,22527000,27548000,23503000,33105000
35,Inventory,10680000,21533000,20174000,20602000,18484000,20896000,24085000,39612000,48648000,52914000
36,Other Current Assets,883000,884000,1782000,1473000,1852000,1473000,2612000,2489000,2154000,2983000
37,Total Current Assets,54121000,38250000,123883000,139125000,100005000,55565000,136123000,157257000,129272000,140774000
38,PP&E,331000,254000,555000,1404000,2986000,4763000,2536000,12314000,13106000,13998000
39,Goodwill,14278000,14278000,14278000,- -,4878000,12507000,12507000,9202000,9202000,9202000
40,Intangible Assets,339000,207000,114000,53000,6186000,18803000,16495000,17390000,9387000,28765000
41,Intangible Assets,14617000,14485000,14392000,53000,11064000,31310000,29002000,26592000,18589000,37967000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,289000,177000,248000,223000,228000,575000,698000,8241000,8011000,- -
45,Total Non-Current Assets,15237000,14916000,15195000,1680000,14278000,36648000,32236000,47147000,39706000,51965000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,69358000,53166000,139078000,140805000,114283000,92213000,168359000,204404000,168978000,192739000
48,Accounts Payable,2864000,4768000,2589000,4069000,3555000,5811000,13184000,9352000,6504000,7402000
49,Short-Term Debt,- -,- -,3757000,- -,- -,24639000,6866000,6508000,4670000,2237000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1315000,4908000,8614000,9488000,6559000,5423000,9936000,13943000,17905000,35182000
52,Other Current Liabilities,22224000,4065000,5772000,6959000,17407000,14474000,34155000,40667000,41581000,35197000
53,Total Current Liabilities,26403000,13741000,20732000,20516000,27521000,50347000,64141000,70470000,70660000,80018000
