,https://roic.ai/company/RBA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,60000000,94900000,104600000,106125000,116991000,133552000,161542000,182257000,182843000,224077000,315231000,292228000,377211000,357369000,396099000,437955000,467403000,481097000,515875000,566395000,610517000,1170026000,1318641000,1377260000,1416971000
2,COGS,13000000,16000000,17500000,17936000,18861000,19684000,22099000,23472000,23247000,31740000,42413000,40974000,49890000,47021000,48044000,49687000,54008000,57884000,56026000,66062000,79013000,533397000,645816000,615589000,594783000
3,Gross Profit,47000000,78900000,87100000,88189000,98130000,113868000,139443000,158785000,159596000,192337000,272818000,251254000,327321000,310348000,348055000,388268000,413395000,423213000,459849000,500333000,531504000,636629000,672825000,761671000,822188000
4,Gross Profit Ratio,0.7833,0.8314,0.8327,0.8310,0.8388,0.8526,0.8632,0.8712,0.8729,0.8584,0.8655,0.8598,0.8677,0.8684,0.8787,0.8865,0.8845,0.8797,0.8914,0.8834,0.8706,0.5441,0.5102,0.5530,0.5802
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201935000,227091000,243736000,248220000,254990000,259145000,292830000,345948000,344141000,417523000,464599000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18754000,20728000,22454000,22307000,24384000,30440000,36728000,38248000,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201935000,245845000,264464000,270674000,277297000,283529000,323270000,382676000,382389000,417523000,464599000
9,Other Expenses,28900000,42100000,52900000,60703000,65593000,72994000,83038000,98375000,92734000,114324000,161431000,155924000,200073000,218345000,42408000,23275000,20030000,17916000,19725000,40861000,52694000,66614000,70501000,74921000,87889000
10,Operating Expenses,28900000,42100000,52900000,60703000,65593000,72994000,83038000,98375000,92734000,114324000,161431000,155924000,200073000,218345000,244343000,269120000,284494000,288590000,297022000,324390000,375964000,449290000,452890000,492444000,552488000
11,COGS and Expenses,41900000,58100000,70400000,78639000,84454000,92678000,105137000,121847000,115981000,146064000,203844000,196898000,249963000,265366000,292387000,318807000,338502000,346474000,353048000,390452000,454977000,982687000,1098706000,1108033000,1147271000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4113000,2400000,2035000,2326000,2420000,2708000,2222000,2660000,1863000,3194000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,1600000,- -,3378000,4024000,4302000,4772000,3217000,1912000,1006000,1206000,707000,544000,5216000,5541000,6860000,7434000,5277000,4962000,5564000,38291000,44527000,41277000,35568000,36993000
14,Depreciation and Amortization,1500000,2800000,5600000,7761000,9076000,9208000,11773000,12708000,11327000,12891000,19417000,20396000,31761000,37813000,42408000,41138000,43280000,44536000,42032000,40861000,52694000,66614000,82781000,87161000,100721000
15,EBITDA,8400000,42900000,39400000,36499000,43022000,52537000,69238000,74171000,84192000,92927000,132518000,135817000,163828000,133875000,155964000,160013000,184668000,177269000,221069000,175239000,168100000,263626000,314720000,358354000,342960000
16,EBITDA ratio,0.1400,0.4521,0.3767,0.3439,0.3677,0.3934,0.4286,0.4070,0.4605,0.4147,0.4204,0.4648,0.4343,0.3746,0.3938,0.3654,0.3951,0.3685,0.4285,0.3094,0.2753,0.2253,0.2387,0.2602,0.2420
17,Operating Income,18100000,36800000,34200000,27486000,32537000,40874000,56405000,60410000,66862000,78013000,111387000,95330000,127248000,92003000,103712000,119148000,128901000,134623000,162827000,135722000,107454000,185189000,223202000,263160000,240147000
