,https://roic.ai/company/MDWD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,259000,601000,1558000,2496000,3401000,31789000,21763000,23763000
2,COGS,- -,- -,- -,2785000,2519000,2158000,1578000,2088000,11849000,14218000,14992000
3,Gross Profit,- -,- -,- -,-2526000,-1918000,-600000,918000,1313000,19940000,7545000,8771000
4,Gross Profit Ratio,- -,- -,- -,-9.7529,-3.1913,-0.3851,0.3678,0.3861,0.6273,0.3467,0.3691
5,Research and Development Exp.,3021000,1557000,3635000,5349000,6016000,7040000,5420000,17864000,9728000,7698000,10256000
6,General and Administrative Exp.,1242000,1140000,1630000,4674000,3923000,4000000,3713000,3747000,4946000,5351000,6109000
7,Selling and Marketing Exp.,- -,- -,2259000,8829000,9284000,8403000,5362000,4188000,4064000,3228000,3388000
8,"Selling, General and Administrative Exp.",1242000,1140000,3889000,13503000,13207000,12403000,9075000,7935000,9010000,8579000,9497000
9,Other Expenses,- -,- -,- -,49000,86000,112000,110000,-12989000,-3291000,108000,239000
10,Operating Expenses,4263000,2697000,7524000,18901000,19309000,19555000,14605000,12810000,15447000,16385000,19992000
11,COGS and Expenses,4287000,2730000,7581000,21686000,21828000,21713000,16183000,7361000,27296000,30603000,34984000
12,Interest Income ,32000,6000,1000,174000,288000,414000,349000,412000,434000,297000,11000
13,Interest Expense (Gain),591000,673000,2441000,3221000,-1170000,-302000,-421000,-863000,-530000,832000,903000
14,Depreciation and Amortization,196000,267000,336000,492000,503000,589000,567000,577000,1149000,1090000,1238000
15,EBITDA,-4096000,-2469000,-4860000,-15162000,-22755000,-18598000,-22003000,-1343000,5574000,-7274000,-11383000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-58.5405,-37.8619,-11.9371,-8.8153,-0.3949,0.1753,-0.3342,-0.4790
17,Operating Income,-4287000,-2730000,-7581000,-21427000,-21227000,-20155000,-13687000,-3960000,4493000,-8840000,-11221000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-82.7297,-35.3195,-12.9365,-5.4836,-1.1644,0.1413,-0.4062,-0.4722
19,Total Other Income Expenses (Gains),-532000,14715000,-920000,2552000,-444000,1270000,-846000,-1705000,-2427000,-436000,-2303000
20,Income Before Tax,-4819000,11985000,-8501000,-18875000,-21671000,-18885000,-14533000,-5665000,2066000,-9276000,-13524000
21,Income Before Tax Ratio,-Infinity,Infinity,-Infinity,-72.8764,-36.0582,-12.1213,-5.8225,-1.6657,0.0650,-0.4262,-0.5691
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000
23,Net Income,-6169000,10940000,-15351000,-18875000,-22088000,-18885000,-22149000,-1057000,4955000,-9196000,-13551000
24,Net Income ratio,-Infinity,Infinity,-Infinity,-72.8764,-36.7521,-12.1213,-8.8738,-0.3108,0.1559,-0.4226,-0.5703
25,EPS,-0.30,0.54,-0.75,-0.95,-1.02,-0.86,-0.95,-0.04,0.18,-0.34,-0.50
