,https://roic.ai/company/CNBX,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112500,5680,9600,9840,7157,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7157,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,110000,- -,- -,- -,- -,- -,139440,177610,246940,1003920,1543760,1682462,1771533
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,57932,210650,327248,214610,1325180,2392398,1481528,1308149,808399
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62715,960,287460,422015,288163,59997,20245
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,57932,210650,389963,215570,1612640,2814413,1769691,1368146,828644
9,Other Expenses,1800,-20021,23203,13563,4921,27430,125660,20389,- -,4511,7097,-3,2,-4,-1,- -,- -
10,Operating Expenses,1800,-20021,23203,13563,114921,27430,125660,20389,57932,215161,536500,393177,1859582,3818329,3313450,3050608,2600177
11,COGS and Expenses,- -,20000,20000,30000,110000,110000,110000,- -,60000,220000,536500,393180,1859580,3818330,3313450,3050609,2600177
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,10000,- -,- -,971,3026,7178,4373,852,4436580,- -,2391
14,Depreciation and Amortization,- -,- -,1077,1076,- -,- -,- -,- -,- -,86,1304,1577,7019,88440,188928,215155,220926
15,EBITDA,- -,-20000,-18923,-28924,-110000,-110000,-100000,- -,-60000,-219914,-535200,-298425,-1922448,-3687328,5758478,-2828296,-3145113
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-2.6527,-338.4592,-384.0967,585.2112,-395.1790,-Infinity
17,Operating Income,-1800,20021,-23203,-27458,-114921,-111170,144410,-1652,-58111,-216132,-539526,-280677,-1853898,-3808728,-3303607,-3043451,-2600177
18,Operating Income ratio,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.4949,-326.3905,-396.7425,-335.7324,-425.2412,-Infinity
19,Total Other Income Expenses (Gains),- -,-40021,3203,-2542,4921,1170,-254410,- -,-1889,-3868,-1864,-26503,-79942,32108,4436577,- -,-594270
20,Income Before Tax,- -,-20000,-20000,-30000,-110000,-110000,-110000,- -,-60000,-220000,-541390,-307180,-1933840,-3776620,1132970,- -,-3194447
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-2.7305,-340.4648,-393.3979,115.1392,- -,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-20000,-20000,-30000,-110000,-110000,-110000,- -,-60000,-270000,-541390,-307180,-1933840,-3776620,1132970,- -,-3194447
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-2.7305,-340.4648,-393.3979,115.1392,- -,-Infinity
25,EPS,-0.01,-0.02,-0.02,-0.02,-0.10,-0.09,-0.08,-0.02,-0.04,-0.00,-0.01,-0.00,-0.02,-0.03,0.02,-0.10,-0.02
26,EPS Diluted,-0.01,-0.02,-0.02,-0.02,-0.10,-0.09,-0.08,-0.02,-0.04,-0.00,-0.01,-0.00,-0.02,-0.03,0.02,-0.10,-0.02
27,Weighted Average Shares Outstanding,250712,1000000,1271530,1360395,1360395,1360396,1360404,1360404,1360406,100250000,100706876,103258456,110380381,120377746,132450953,134551721,138519509
28,Weighted Average Shares Outstanding Diluted,250712,1000000,1271530,1360395,1360395,1360396,1360404,1360404,1360406,100250000,100706876,103258456,110380381,120377746,132450953,134551721,138519509
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1343009/000130368109000077/0001303681-09-000077-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000130368110000176/0001303681-10-000176-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000130368111000207/0001303681-11-000207-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000130368112000140/0001303681-12-000140-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000130368113000105/0001303681-13-000105-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000101968715003780/0001019687-15-003780-index.htm,https://www.sec.gov/Archives/edgar/data/1343009/000101968716004727/0001019687-16-004727-index.htm,https://www.sec.gov/Archives/edgar/data/1343009/000168316816000925/0001683168-16-000925-index.htm,https://www.sec.gov/Archives/edgar/data/1343009/000168316817003260/0001683168-17-003260-index.htm,https://www.sec.gov/Archives/edgar/data/1343009/000168316818003584/0001683168-18-003584-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000168316819003852/0001683168-19-003852-index.html,https://www.sec.gov/Archives/edgar/data/1343009/000168316820003686/0001683168-20-003686-index.htm,https://www.sec.gov/Archives/edgar/data/1343009/000168316821006005/0001683168-21-006005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12864,157647,300123,291562,177741,- -,- -,- -,72755,98768,25229,19127,3367694,1393608,265982,777611,1386472
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3256456,426522,- -
33,Cash and Short-Term Investments,12864,157647,300123,291562,177741,- -,- -,- -,72755,98768,25229,19127,3367694,1393608,3522438,1204133,1386472
34,Net Receivables,- -,- -,- -,- -,- -,94960,- -,- -,- -,- -,- -,2966,149684,227244,284496,152299,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,2235,- -,- -,- -,- -,- -,- -,13989,274,- -,- -,- -,500000,-426522,204375
37,Total Current Assets,12864,157647,302358,291562,177741,94960,- -,- -,72755,112757,25503,22093,3517378,1620852,4306934,929910,1590847
38,PP&E,13894,13894,14971,- -,- -,- -,- -,- -,- -,1465,3201,1623,120378,974331,1002286,862879,642896
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4409899,- -,- -,- -,- -,3863000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4409899,- -,- -,- -,- -,3863000,- -,- -
