,https://roic.ai/company/REYN,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,2935000000,2957000000,3142000000,3032000000,3263000000,3556000000
2,COGS,2048000000,2095000000,2310000000,2152000000,2290000000,2745000000
3,Gross Profit,887000000,862000000,832000000,880000000,973000000,811000000
4,Gross Profit Ratio,0.3022,0.2915,0.2648,0.2902,0.2982,0.2281
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,338000000,304000000,298000000,346000000,358000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",338000000,304000000,298000000,346000000,358000000,-320000000
9,Other Expenses,15000000,18000000,21000000,24000000,-2000000,- -
10,Operating Expenses,353000000,322000000,319000000,370000000,356000000,-320000000
11,COGS and Expenses,2401000000,2417000000,2629000000,2522000000,2646000000,2425000000
12,Interest Income ,14000000,26000000,52000000,33000000,- -,- -
13,Interest Expense (Gain),403000000,347000000,331000000,241000000,66000000,-48000000
14,Depreciation and Amortization,97000000,90000000,87000000,91000000,99000000,109000000
15,EBITDA,633000000,655000000,651000000,633000000,681000000,279000000
16,EBITDA ratio,0.2157,0.2215,0.2072,0.2088,0.2087,0.0785
17,Operating Income,534000000,540000000,513000000,510000000,586000000,478000000
18,Operating Income ratio,0.1819,0.1826,0.1633,0.1682,0.1796,0.1344
19,Total Other Income Expenses (Gains),-401000000,-322000000,-280000000,-209000000,-70000000,-48000000
20,Income Before Tax,133000000,218000000,233000000,301000000,516000000,430000000
21,Income Before Tax Ratio,0.0453,0.0737,0.0742,0.0993,0.1581,0.1209
22,Income Tax expense (Gain),54000000,-84000000,57000000,76000000,153000000,-106000000
23,Net Income,79000000,302000000,176000000,225000000,363000000,324000000
24,Net Income ratio,0.0269,0.1021,0.0560,0.0742,0.1112,0.0911
25,EPS,0.39,1.49,1.69,1.11,1.78,1.55
26,EPS Diluted,0.39,1.49,1.69,1.11,1.77,1.54
27,Weighted Average Shares Outstanding,202625000,202680331,202625000,202625000,204500000,209700000
28,Weighted Average Shares Outstanding Diluted,202681121,202751471,202681121,202625000,204500000,209800000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1786431/000156459020009733/0001564590-20-009733-index.htm,https://www.sec.gov/Archives/edgar/data/1786431/000156459021005649/0001564590-21-005649-index.htm,https://www.sec.gov/Archives/edgar/data/1786431/000156459022004307/0001564590-22-004307-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,23000000,23000000,102000000,312000000,164000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,23000000,23000000,102000000,312000000,164000000
34,Net Receivables,- -,85000000,58000000,35000000,309000000,328000000
35,Inventory,- -,371000000,429000000,418000000,419000000,583000000
36,Other Current Assets,- -,8000000,6000000,15000000,13000000,29000000
37,Total Current Assets,- -,487000000,516000000,570000000,1053000000,1104000000
38,PP&E,- -,424000000,464000000,579000000,673000000,732000000
39,Goodwill,- -,1879000000,1879000000,1879000000,1879000000,1879000000
40,Intangible Assets,- -,1186000000,1155000000,1123000000,1092000000,1061000000
41,Intangible Assets,- -,3065000000,3034000000,3002000000,2971000000,2940000000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,351000000
44,Other Non-Current Assets,- -,1935000000,2407000000,9000000,25000000,-315000000
45,Total Non-Current Assets,- -,5424000000,5905000000,3590000000,3669000000,3708000000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5911000000,6421000000,4160000000,4722000000,4812000000
48,Accounts Payable,- -,121000000,136000000,135000000,185000000,261000000
