,https://roic.ai/company/IAG,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,72966,49597761,60275212,63523882,57980397,81655000,89800000,101100000,121900000,129800000,303300000,678100000,869600000,914300000,1167200000,1673200000,1670000000,1147100000,1007900000,917000000,987100000,1094900000,1111000000,1065300000,1241700000,1151700000
2,COGS,1605254,27282267,29265457,35321767,29707294,47180000,49000000,57700000,69300000,79300000,157100000,426500000,451800000,446800000,570600000,914800000,948000000,807000000,892900000,971600000,884900000,942000000,974100000,995700000,991400000,1149000000
3,Gross Profit,-1532288,22315494,31009755,28202115,28273103,34475000,40800000,43400000,52600000,50500000,146200000,251600000,417800000,467500000,596600000,758400000,722000000,340100000,115000000,-54600000,102200000,152900000,136900000,69600000,250300000,2700000
4,Gross Profit Ratio,-21.0000,0.4499,0.5145,0.4440,0.4876,0.4222,0.4543,0.4293,0.4315,0.3891,0.4820,0.3710,0.4805,0.5113,0.5111,0.4533,0.4323,0.2965,0.1141,-0.0595,0.1035,0.1396,0.1232,0.0653,0.2016,0.0023
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,6100000,5500000,7800000,9000000,11800000,28400000,33600000,39800000,46000000,73300000,112700000,69200000,42700000,30700000,31700000,38400000,39200000,34500000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55900000,47400000,40600000,32600000,34600000,40400000,41700000,47100000,44900000,43300000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55900000,47400000,40600000,32600000,34600000,40400000,41700000,47100000,44900000,43300000
9,Other Expenses,3210507,13850997,14794237,14308426,16475531,18124000,20883000,27678000,37744000,27074000,56845000,122694000,8435000,13074000,46876000,54272000,7200000,5600000,59300000,11800000,-4100000,16600000,13100000,28600000,58100000,109700000
10,Operating Expenses,3210507,13850997,14794237,14308426,16475531,18124000,26983000,33178000,45544000,36074000,68645000,151094000,42035000,52874000,92876000,127572000,175800000,122200000,142600000,75100000,62200000,95400000,94000000,110200000,103000000,153000000
11,COGS and Expenses,4815761,41133264,44059694,49630193,46182825,65304000,82100000,85900000,110500000,107600000,206000000,677100000,808000000,683500000,733800000,1046700000,1147900000,1886400000,1046700000,1676700000,950600000,535100000,1076900000,1403400000,1094400000,1302000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,860000,56704000,37636000,3000000,3400000,1000000,2400000,3300000,9400000,13300000,12600000,8900000,4200000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,675000,1540000,3765000,7131000,11200000,17600000,19600000,33500000,23000000,7100000,2700000,8100000,9100000,- -
14,Depreciation and Amortization,218898,9933543,11822469,11889127,12196960,15637000,20626000,26646000,25814000,26445000,38918000,82646000,151755000,143375000,132693000,156800000,163900000,175200000,231200000,264200000,263500000,266000000,266200000,276600000,268000000,349100000
15,EBITDA,-3721270,12451906,20608566,25091588,23175758,30817000,28326000,41846000,37214000,48645000,136218000,81946000,210930000,367015000,551658000,749635000,709200000,-648900000,161900000,-446100000,372500000,872300000,278700000,-97500000,363800000,30200000
16,EBITDA ratio,-51.0001,0.2511,0.3419,0.3950,0.3997,0.3774,0.3154,0.4139,0.3053,0.3748,0.4491,0.1208,0.2426,0.4014,0.4726,0.4480,0.4247,-0.5657,0.1606,-0.4865,0.3774,0.7967,0.2509,-0.0915,0.2930,0.0262
17,Operating Income,-4742795,8464498,16215518,13893689,11797573,16351000,7727000,3746000,-1223000,5411000,65801000,72104000,66926000,162730000,427579000,628160000,546200000,-670200000,-42600000,-762000000,32500000,580000000,34100000,-338100000,145400000,-374500000
18,Operating Income ratio,-65.0001,0.1707,0.2690,0.2187,0.2035,0.2002,0.0860,0.0371,-0.0100,0.0417,0.2170,0.1063,0.0770,0.1780,0.3663,0.3754,0.3271,-0.5843,-0.0423,-0.8310,0.0329,0.5297,0.0307,-0.3174,0.1171,-0.3252
19,Total Other Income Expenses (Gains),1313389,489682,387622,1866316,-818775,-1171000,-27000,11454000,12623000,16789000,31599000,-72804000,-8426000,59370000,-12379000,20840000,24400000,-199600000,-101100000,-21800000,62700000,28100000,-15800000,9800000,-46600000,54900000
20,Income Before Tax,- -,- -,- -,- -,10978798,15180000,7700000,15200000,11400000,22200000,97400000,-700000,58500000,222100000,415200000,649000000,570600000,-869800000,-143700000,-783800000,95200000,608100000,18300000,-328300000,98800000,-319600000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.1894,0.1859,0.0857,0.1503,0.0935,0.1710,0.3211,-0.0010,0.0673,0.2429,0.3557,0.3879,0.3417,-0.7583,-0.1426,-0.8547,0.0964,0.5554,0.0165,-0.3082,0.0796,-0.2775
22,Income Tax expense (Gain),- -,- -,- -,- -,104681,4232000,2200000,200000,-200000,1700000,24800000,41400000,68400000,108000000,135400000,-220996000,199400000,-9200000,117900000,11500000,33400000,97600000,38000000,30400000,44100000,-64500000
23,Net Income,-3940168,2518363,8786097,13202461,10874117,10948000,5500000,15000000,11600000,20500000,72500000,-42100000,-9900000,114100000,279800000,806700000,334700000,-832500000,-206800000,-755300000,52600000,501600000,-28200000,-412600000,42600000,-254400000
