,https://roic.ai/company/MPLX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,395900000,410600000,442200000,463100000,520100000,668000000,2556000000,3691000000,6079000000,8625000000,8246000000,9575000000
2,COGS,259700000,162900000,257600000,279400000,293000000,383000000,1717000000,2381000000,3559000000,4966000000,4653000000,5520000000
3,Gross Profit,136200000,247700000,184600000,183700000,227100000,285000000,839000000,1310000000,2520000000,3659000000,3593000000,4055000000
4,Gross Profit Ratio,0.3440,0.6033,0.4175,0.3967,0.4366,0.4266,0.3282,0.3549,0.4145,0.4242,0.4357,0.4235
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,30300000,- -,49800000,53700000,64800000,104000000,193000000,241000000,291000000,388000000,378000000,353000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",30300000,- -,49800000,53700000,64800000,104000000,193000000,241000000,291000000,388000000,378000000,353000000
9,Other Expenses,2500000,115700000,-8700000,-17000000,-21000000,-25000000,-64000000,-44000000,-34000000,-13000000,-134000000,-11000000
10,Operating Expenses,32800000,115700000,41100000,36700000,43800000,79000000,129000000,197000000,257000000,375000000,244000000,342000000
11,COGS and Expenses,292500000,278600000,298700000,316100000,336800000,462000000,1846000000,2578000000,3816000000,5341000000,4897000000,5862000000
12,Interest Income ,200000,2300000,1300000,300000,- -,- -,- -,-2000000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,200000,200000,200000,4100000,35000000,211000000,298000000,539000000,862000000,834000000,879000000
14,Depreciation and Amortization,52600000,36300000,39400000,48900000,50200000,89000000,546000000,683000000,766000000,1254000000,1377000000,- -
15,EBITDA,156200000,170600000,53000000,126800000,175500000,282000000,978000000,1776000000,3131000000,3149000000,1493000000,3957000000
16,EBITDA ratio,0.3945,0.4155,0.1199,0.2738,0.3374,0.4222,0.3826,0.4812,0.5151,0.3651,0.1811,0.4133
17,Operating Income,103400000,132000000,143200000,147000000,183300000,206000000,507000000,1191000000,2503000000,2377000000,211000000,3992000000
18,Operating Income ratio,0.2612,0.3215,0.3238,0.3174,0.3524,0.3084,0.1984,0.3227,0.4117,0.2756,0.0256,0.4169
19,Total Other Income Expenses (Gains),200000,2100000,1100000,-1100000,-5300000,-47000000,-261000000,-354000000,-661000000,-915000000,-896000000,-879000000
20,Income Before Tax,103600000,134100000,144300000,145900000,178000000,159000000,246000000,837000000,1842000000,1462000000,-685000000,3113000000
21,Income Before Tax Ratio,0.2617,0.3266,0.3263,0.3151,0.3422,0.2380,0.0962,0.2268,0.3030,0.1695,-0.0831,0.3251
22,Income Tax expense (Gain),300000,100000,300000,-200000,-100000,2000000,-12000000,1000000,8000000,- -,2000000,1000000
