,https://roic.ai/company/NTRA,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,55171000,159289000,190355000,217074000,210939000,257654000,302328000,391005000,625486000
2,COGS,37275000,78396000,112845000,135574000,139596000,166055000,175470000,203620000,318418000
3,Gross Profit,17896000,80893000,77510000,81500000,71343000,91599000,126858000,187385000,307068000
4,Gross Profit Ratio,0.3244,0.5078,0.4072,0.3754,0.3382,0.3555,0.4196,0.4792,0.4909
5,Research and Development Exp.,11550000,17292000,27711000,41862000,50064000,51355000,51357000,100035000,264208000
6,General and Administrative Exp.,- -,- -,109637000,136126000,155306000,154872000,206176000,303627000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,109637000,136126000,155306000,154872000,206176000,303627000,511034000
9,Other Expenses,31614000,62936000,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,43164000,80228000,137348000,177988000,205370000,206227000,257533000,403662000,775242000
11,COGS and Expenses,80439000,158624000,250193000,313562000,344966000,372282000,433003000,607282000,1093660000
12,Interest Income ,-2166000,118000,964000,1398000,2380000,-2729000,4152000,7562000,5381000
13,Interest Expense (Gain),11940000,4219000,3505000,533000,4213000,10476000,10693000,15082000,8305000
14,Depreciation and Amortization,2528000,5148000,5535000,6176000,7143000,7501000,7730000,8613000,11254000
15,EBITDA,-22642000,4215000,-61235000,-88914000,-124504000,-109856000,-104405000,-205950000,-451539000
16,EBITDA ratio,-0.4104,0.0265,-0.3217,-0.4096,-0.5902,-0.4264,-0.3453,-0.5267,-0.7219
17,Operating Income,-25268000,665000,-59838000,-96488000,-134027000,-114628000,-116287000,-216277000,-468174000
18,Operating Income ratio,-0.4580,0.0042,-0.3143,-0.4445,-0.6354,-0.4449,-0.3846,-0.5531,-0.7485
19,Total Other Income Expenses (Gains),-11842000,-5817000,-10437000,865000,-1833000,-13205000,-6541000,-13368000,-2924000
20,Income Before Tax,-37110000,-5152000,-70275000,-95623000,-135860000,-127833000,-122828000,-229645000,-471098000
21,Income Before Tax Ratio,-0.6726,-0.0323,-0.3692,-0.4405,-0.6441,-0.4961,-0.4063,-0.5873,-0.7532
22,Income Tax expense (Gain),- -,- -,- -,142000,454000,321000,1999000,98000,618000
23,Net Income,-37110000,-5152000,-70275000,-95765000,-136314000,-128154000,-124827000,-229743000,-471716000
24,Net Income ratio,-0.6726,-0.0323,-0.3692,-0.4412,-0.6462,-0.4974,-0.4129,-0.5876,-0.7542
25,EPS,-1.01,-0.16,-2.68,-1.86,-2.56,-2.22,-1.79,-2.84,-5.21
26,EPS Diluted,-1.01,-0.16,-2.68,-1.86,-2.56,-2.22,-1.79,-2.84,-5.21
27,Weighted Average Shares Outstanding,36686000,32326000,26204000,51576000,53312000,57848000,69555000,81011000,90558000
28,Weighted Average Shares Outstanding Diluted,36686000,32326000,26204000,51576000,53604000,57848000,69555000,81011000,90558000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1604821/000155837016004339/0001558370-16-004339-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837017001890/0001558370-17-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837018002153/0001558370-18-002153-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837019002131/0001558370-19-002131-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837020001821/0001558370-20-001821-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837021001907/0001558370-21-001907-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837022002022/0001558370-22-002022-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,30496000,87176000,28947000,15256000,12620000,46407000,61926000,48668000,84386000
32,Short-Term Investments,- -,- -,201586000,130860000,106247000,107461000,379065000,688606000,829896000
33,Cash and Short-Term Investments,30496000,87176000,230533000,146116000,118867000,153868000,440991000,737274000,914282000
34,Net Receivables,6632000,5942000,5862000,13396000,8252000,62223000,53351000,78565000,122074000
35,Inventory,10652000,11542000,8093000,6414000,8998000,13633000,12394000,20031000,26909000
36,Other Current Assets,1327000,1817000,6238000,8189000,8671000,10794000,16431000,26793000,29873000
37,Total Current Assets,49107000,106477000,250726000,174115000,144788000,240518000,523167000,862663000,1093138000
38,PP&E,9791000,14574000,12710000,32289000,29667000,24336000,47013000,54747000,124529000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,825000,2572000,1804000,4276000,4321000,3317000,12476000,14743000,18820000
45,Total Non-Current Assets,10616000,17146000,14514000,36565000,33988000,27653000,59489000,69490000,143349000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,59723000,123623000,265240000,210680000,178776000,268171000,582656000,932153000,1236487000
48,Accounts Payable,11297000,8867000,7332000,11479000,8529000,14587000,8604000,8096000,27206000
49,Short-Term Debt,- -,- -,42090000,49624000,50112000,50153000,50123000,50054000,55804000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,2230000
51,Deferred Revenue,970000,112000,144000,574000,1420000,4131000,56016000,50125000,7404000
52,Other Current Liabilities,11302000,20893000,30909000,34738000,45450000,45110000,65131000,90778000,128542000
53,Total Current Liabilities,23569000,29872000,80475000,96415000,105511000,113981000,179874000,199053000,218956000
54,Long-Term Debt,22464000,24474000,- -,- -,73065000,73357000,73656000,202493000,341430000
55,Deferred Revenue,- -,- -,- -,- -,- -,40058000,23808000,22805000,21318000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,185199000,240612000,- -,7789000,10570000,8613000,26607000,21566000,1479000
58,Total Non-Current Liabilities,207663000,265086000,- -,7789000,83635000,122028000,124071000,246864000,364227000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,32036000,28546000,66788000
61,Total Liabilities,231232000,294958000,80475000,104204000,189146000,236009000,303945000,445917000,583183000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,5000,5000,6000,7000,8000,9000,10000
64,Retained Earnings,-174656000,-179808000,-250083000,-345848000,-482162000,-574529000,-699171000,-929318000,-1394836000
65,Other Comprehensive Income/Loss,-4449000,-9594000,-1000000,-1000000,-1000000,-1000000,1000000,4259000,-2287000
66,Other Total Stockholders Equity,7595000,18066000,435843000,453319000,472786000,607684000,976874000,1411286000,- -
67,Total Stockholders Equity,-171509000,-171335000,184765000,106476000,-10370000,32162000,278711000,486236000,653304000
68,Total Liabilities And Stockholders Equity,59723000,123623000,265240000,210680000,178776000,268171000,582656000,932153000,1236487000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,59723000,123623000,265240000,210680000,178776000,268171000,582656000,932153000,1236487000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1604821/000155837016004339/0001558370-16-004339-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837017001890/0001558370-17-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837018002153/0001558370-18-002153-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837019002131/0001558370-19-002131-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837020001821/0001558370-20-001821-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837021001907/0001558370-21-001907-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837022002022/0001558370-22-002022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-37110000,-5152000,-70275000,-95765000,-136314000,-128154000,-124827000,-229743000,-471716000
74,Depreciation and Amortization,2528000,5148000,5535000,6176000,7143000,7501000,7730000,8613000,11254000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1657000,5157000,7326000,10601000,11402000,14198000,28624000,50171000,115219000
77,Change in Working Capital,-1764000,51067000,93646000,-92551000,-38423000,87260000,216756000,320317000,-46073000
78,Accounts Receivable,-5848000,341000,-450000,-8518000,5001000,-18093000,2418000,-25831000,-43353000
79,Inventory,-9054000,-890000,2929000,-431000,-3086000,-4900000,917000,-7474000,-7506000
80,Accounts Payable,6792000,-2430000,1354000,1256000,217000,3781000,-6262000,-118000,19222000
81,Other Working Capital,25538000,76605000,170251000,77700000,39277000,126537000,343293000,663610000,-33640000
82,Other Non-Cash Items,10557000,-45730000,-74064000,97637000,59400000,-51386000,-191727000,-331870000,56080000
83,Cash Provided by Operating Activities,-24132000,10490000,-37832000,-73902000,-96792000,-70581000,-63444000,-182512000,-335236000
84,CAPEX,-8245000,-9957000,-7852000,-23136000,-9867000,-3880000,-4968000,-19604000,-41030000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,10000000,- -,- -
86,Purchases of Investments,- -,- -,-203290000,-53522000,-272819000,-170268000,-446626000,-685239000,-876095000
87,Sales/Maturities of Investments,- -,- -,- -,123685000,296470000,168987000,175566000,373382000,720490000
88,Other Investing Activites,- -,15000,463000,- -,- -,- -,-325000,- -,-8558000
89,Cash Used for Investing Activites,-8245000,-9942000,-210679000,47027000,13784000,-5161000,-266353000,-331461000,-205193000
90,Debt Repayment,-475000,-2480000,-33163000,-1000000,- -,- -,- -,-78757000,- -
91,Common Stock Issued,259000,170000,180001000,2589000,- -,96777000,323410000,270650000,550822000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,57342000,58442000,43444000,11595000,80372000,16948000,17364000,308954000,25366000
95,Cash Used/Provided by Financing Activities,57126000,56132000,190282000,13184000,80372000,113725000,340774000,500847000,576188000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,24749000,56680000,-58229000,-13691000,-2636000,37983000,10977000,-13126000,35759000
98,Cash at the End of Period,30496000,87176000,28947000,15256000,12620000,51004000,61981000,48855000,84614000
99,Cash at the Beginning of Period,5747000,30496000,87176000,28947000,15256000,13021000,51004000,61981000,48855000
100,Free Cash Flow,-32377000,533000,-45684000,-97038000,-106659000,-74461000,-68412000,-202116000,-376266000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1604821/000155837016004339/0001558370-16-004339-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837017001890/0001558370-17-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837018002153/0001558370-18-002153-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837019002131/0001558370-19-002131-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837020001821/0001558370-20-001821-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837021001907/0001558370-21-001907-index.htm,https://www.sec.gov/Archives/edgar/data/1604821/000155837022002022/0001558370-22-002022-index.htm
102,false,,,,,,,,,
