,https://roic.ai/company/IFNNY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3175000000,3990796737,7295818573,6168106926,5201021760,6148210950,7194194280,6774198500,7926877600,7654510710,4315198680,3027000000,3295000000,3997000000,3904000000,3843000000,4320000000,5795000000,6473000000,7063000000,7599000000,8029000000,8567000000,11060000000
2,COGS,2728000000,2835505211,4117863505,5333599162,4600514380,4610943750,4669069080,4919813610,5852178920,6070069740,2839207810,2368000000,2058000000,2343000000,2477000000,2520000000,2673000000,3715000000,4143000000,4442000000,4714000000,5035000000,5791000000,6800000000
3,Gross Profit,447000000,1155291526,3177955068,834507764,600507380,1537267200,2525125200,1854384890,2074698680,1584440970,1475990870,659000000,1237000000,1654000000,1427000000,1323000000,1647000000,2080000000,2330000000,2621000000,2885000000,2994000000,2776000000,4260000000
4,Gross Profit Ratio,0.1408,0.2895,0.4356,0.1353,0.1155,0.2500,0.3510,0.2737,0.2617,0.2070,0.3420,0.2177,0.3754,0.4138,0.3655,0.3443,0.3812,0.3589,0.3600,0.3711,0.3797,0.3729,0.3240,0.3852
5,Research and Development Exp.,637000000,695623853,1027239935,1293262939,1058229700,1088611650,1219136880,1295825210,1248916600,1164679740,692956790,468000000,399000000,439000000,455000000,525000000,550000000,717000000,770000000,776000000,836000000,945000000,1113000000,1448000000
6,General and Administrative Exp.,481000000,520302811,671043963,854998530,642026440,678559350,718132740,656640100,750925880,743516970,564578920,392000000,386000000,449000000,- -,- -,- -,- -,- -,- -,- -,865000000,1042000000,1354000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,475000000,440000000,496000000,778000000,791000000,819000000,850000000,- -,- -,- -
8,"Selling, General and Administrative Exp.",481000000,520302811,671043963,854998530,642026440,678559350,718132740,656640100,750925880,743516970,564578920,392000000,386000000,449000000,475000000,440000000,496000000,778000000,791000000,819000000,850000000,865000000,1042000000,1354000000
9,Other Expenses,9000000,- -,-1540644,-216797945,-45569700,84927150,256533420,92262090,107950520,- -,245407420,-54000000,92000000,30000000,- -,5000000,17000000,3000000,6000000,43000000,-270000000,23000000,40000000,-12000000
