,https://roic.ai/company/HVT-A,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,196100000,188700000,217500000,228000000,232100000,250400000,246400000,282000000,322900000,370100000,395500000,456900000,490000000,540300000,618800000,680917000,678112000,703959000,744635000,784162000,827658000,861924000,787063000,693053000,589474000,621048000,621363000,670073000,746090000,768409000,804870000,821571000,819866000,817733000,802291000,748252000,1012799000
2,COGS,106700000,101000000,115300000,119800000,118300000,127200000,124100000,144600000,163400000,186100000,198400000,227300000,245400000,271500000,311000000,357498000,354488000,364527000,378985000,386789000,432091000,432946000,394863000,333990000,282766000,301564000,300187000,318038000,344594000,356043000,374094000,378234000,374943000,371191000,367803000,329258000,438174000
3,Gross Profit,89400000,87700000,102200000,108200000,113800000,123200000,122300000,137400000,159500000,184000000,197100000,229600000,244600000,268800000,307800000,323419000,323624000,339432000,365650000,397373000,395567000,428978000,392200000,359063000,306708000,319484000,321176000,352035000,401496000,412366000,430776000,443337000,444923000,446542000,434488000,418994000,574625000
4,Gross Profit Ratio,0.4559,0.4648,0.4699,0.4746,0.4903,0.4920,0.4963,0.4872,0.4940,0.4972,0.4984,0.5025,0.4992,0.4975,0.4974,0.4750,0.4772,0.4822,0.4910,0.5067,0.4779,0.4977,0.4983,0.5181,0.5203,0.5144,0.5169,0.5254,0.5381,0.5366,0.5352,0.5396,0.5427,0.5461,0.5416,0.5600,0.5674
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,328826000,348599000,386277000,384801000,399236000,402884000,404856000,407456000,377288000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",72500000,77700000,89500000,97300000,101000000,110800000,114600000,127000000,150300000,154500000,167500000,196900000,211900000,231400000,253900000,280753000,288088000,307196000,331600000,367616000,378446000,404518000,391105000,364080000,310523000,311897000,315865000,328826000,348599000,386277000,384801000,399236000,402884000,404856000,407456000,377288000,456267000
9,Other Expenses,2600000,3400000,3900000,4600000,4900000,5200000,5500000,6100000,6900000,8600000,10600000,12600000,13800000,14300000,14800000,- -,- -,- -,- -,- -,- -,656000,1328000,1654000,978000,380000,167000,-128000,-200000,-41000,28000,154000,63000,-35000,11000,- -,- -
