,https://roic.ai/company/MTL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,31071020628,41960790711,60296716736,100718971343,109351827405,115750473476,164206023558,294034178101,173396010979,298135139654,401339848831,342494919013,282026670890,356073782999,253141000000,276009000000,299113000000,312574000000,296567000000,265454000000,402074000000
2,COGS,21971560197,30254546585,42354507624,61636784423,70960491409,75500661851,102369889675,155431352101,119351918931,188109852624,262987460714,243748779181,196078396676,224105459931,151334000000,146322000000,160356000000,177756000000,187857000000,170605000000,223993000000
3,Gross Profit,9099460431,11706244126,17942209112,39082186920,38391335996,40249811625,61836133883,138602826001,54044092047,110025287030,138352388117,98746139832,85948274213,131968323068,101807000000,129687000000,138757000000,134818000000,108710000000,94849000000,178081000000
4,Gross Profit Ratio,0.2929,0.2790,0.2976,0.3880,0.3511,0.3477,0.3766,0.4714,0.3117,0.3690,0.3447,0.2883,0.3048,0.3706,0.4022,0.4699,0.4639,0.4313,0.3666,0.3573,0.4429
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,16391347461,11736538866,15895811914,20961069727,14250971717,12611213507,17072541249,12146000000,13881000000,10009000000,13147000000,11386000000,12014000000,16513000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,39861383880,32026822821,43905881083,55165829691,53522507850,56734791596,81191833308,51117000000,56233000000,55686000000,54988000000,54320000000,49994000000,54721000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,56252731341,43763361687,59801692997,76126899418,67773479567,69346005103,98264374557,63263000000,70114000000,65695000000,68135000000,65706000000,62008000000,71234000000
9,Other Expenses,205154308,8859875315,12272325738,18284209850,23476474353,20890147234,27424429961,6686956804,2247461446,3023126870,3280829152,35520412284,31437586547,18549472960,11104000000,9888000000,9305000000,9081000000,8291000000,8488000000,1282000000
10,Operating Expenses,205154308,8859875315,12272325738,18284209850,23476474353,20890147234,27424429961,62939688145,46010823133,62824819867,79407728570,103293891851,100783591650,116813847518,74367000000,80002000000,75000000000,77216000000,73997000000,70496000000,72516000000
11,COGS and Expenses,22176714505,39114421900,54626833362,79920994273,94436965761,96390809085,129794319636,218371040246,165362742064,250934672491,342395189284,347042671032,296861988326,340919307449,225701000000,226324000000,235356000000,254972000000,261854000000,241101000000,296509000000
12,Interest Income ,13802896,142950655,67411777,65789471,288798412,218824646,301641116,343183015,646225775,525145397,536962990,2141828625,241335089,133296283,134000000,177000000,158000000,207000000,180000000,119000000,676000000
13,Interest Expense (Gain),442606784,1174162258,1427294375,1424071969,1173385448,1004977324,2431603767,9576354494,15036494023,17081587589,17961357623,20332715195,24401249765,44092720628,40737000000,46271000000,42153000000,37241000000,33797000000,23714000000,23371000000
14,Depreciation and Amortization,- -,2515222678,3015412307,3859972156,4861291450,5274795208,7132345697,13690000117,12466688109,14517592032,17949233890,13325060439,12946169117,17940356751,12397000000,11813000000,12555000000,13859000000,15176000000,14818000000,13357000000
15,EBITDA,2807137396,6623944435,10068207695,47347255866,20916402451,28226668569,40749361138,60481381984,30294624351,60166605878,70706823279,-11464124881,-57173200017,-189180610852,-53707000000,70103000000,69415000000,66409000000,59369000000,41868000000,123809000000
16,EBITDA ratio,0.0903,0.1579,0.1670,0.4701,0.1913,0.2439,0.2482,0.2057,0.1747,0.2018,0.1762,-0.0335,-0.2027,-0.5313,-0.2122,0.2540,0.2321,0.2125,0.2002,0.1577,0.3079
17,Operating Income,3192765336,2846368811,5669883374,20797977070,14821517307,19100385874,34335519763,75535397183,7402260860,46870825013,58592591475,-27274452576,-17398914956,7027682436,24068000000,42690000000,57167000000,49780000000,31498000000,19925000000,102666000000
18,Operating Income ratio,0.1028,0.0678,0.0940,0.2065,0.1355,0.1650,0.2091,0.2569,0.0427,0.1572,0.1460,-0.0796,-0.0617,0.0197,0.0951,0.1547,0.1911,0.1593,0.1062,0.0751,0.2553
19,Total Other Income Expenses (Gains),-371063295,-577390371,-588764812,22002436859,291155012,3662035983,-298398191,-35695318189,-4532771322,-17240045861,-21379226537,-14563365391,-32280598720,-177670382308,-131196000000,-28539000000,-41447000000,-33563000000,-19226000000,-57550000000,-13536000000
20,Income Before Tax,2821702042,2268978441,5081118562,42800413929,15112672318,22762421857,34037121572,39840078993,2869489538,29630779152,37213364938,-41837817968,-49679513676,-170642699871,-107128000000,14151000000,15720000000,16217000000,12272000000,-37625000000,89130000000
21,Income Before Tax Ratio,0.0908,0.0541,0.0843,0.4249,0.1382,0.1967,0.2073,0.1355,0.0165,0.0994,0.0927,-0.1222,-0.1762,-0.4792,-0.4232,0.0513,0.0526,0.0519,0.0414,-0.1417,0.2217
22,Income Tax expense (Gain),919705574,84710317,1404676723,4869141094,3926985910,6069370292,8753930795,3513001474,569323551,8463017702,11512107751,5442132314,1763959237,-10222791008,8322000000,4893000000,3150000000,2681000000,7987000000,2528000000,6511000000
23,Net Income,1444825037,2849849183,4220824289,37194070646,10954739644,15877525745,22431480878,33702025900,2222118668,20104408555,23284124015,-50564032829,-96284578135,-240990897223,-115163000000,7126000000,11557000000,12628000000,2409000000,808000000,80570000000
