,https://roic.ai/company/NWN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,409400000,314900000,308900000,277600000,260900000,296300000,295900000,274400000,358700000,368300000,356300000,380300000,361800000,416700000,455800000,532110000,650252000,641376000,611256000,707604000,910486000,1013172000,1033193000,1037855000,1012711000,812106000,848796000,730607000,758518000,754037000,723791000,675967000,762173000,706143000,746372000,773679000,860400000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,162800000,144100000,142800000,129300000,173400000,212200000,274160000,374241000,353832000,323190000,399244000,563860000,648156000,639150000,656568000,611168000,444525000,479363000,484812000,509911000,502472000,484826000,410562000,490041000,442299000,463427000,473175000,531281000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,205500000,212200000,237500000,232500000,243300000,243600000,257950000,276011000,287544000,288066000,308360000,346626000,365016000,394043000,381287000,401543000,367581000,369433000,245795000,248607000,251565000,238965000,265405000,272132000,263844000,282945000,300504000,329119000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5580,0.5956,0.6245,0.6426,0.5839,0.5344,0.4848,0.4245,0.4483,0.4713,0.4358,0.3807,0.3603,0.3814,0.3674,0.3965,0.4526,0.4352,0.3364,0.3278,0.3336,0.3302,0.3926,0.3570,0.3736,0.3791,0.3884,0.3825
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3513000,13298000,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3513000,13298000,15291000,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,133300000,136800000,144800000,142500000,163600000,148900000,153608000,165800000,171286000,185794000,198334000,219679000,228254000,239120000,237251000,193515000,209976000,224588000,103615000,105861000,108600000,111204000,112827000,117590000,131682000,139471000,152153000,166002000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,133300000,136800000,144800000,142500000,163600000,148900000,153608000,165800000,171286000,185794000,198334000,219679000,228254000,239120000,237251000,193515000,209976000,224588000,103615000,105861000,108600000,114717000,126125000,132881000,131682000,139471000,152153000,166002000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,296100000,280900000,287600000,271800000,337000000,361100000,427768000,540041000,525118000,508984000,597578000,783539000,876410000,878270000,893819000,829339000,654501000,703951000,588427000,615772000,611072000,599543000,536687000,622922000,573981000,602898000,625328000,697283000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,537000,250000,- -,- -,50000,5000000,4600000,2500000,8300000,100000,2200000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,25200000,26300000,27500000,- -,33200000,- -,33561000,33805000,34132000,35099000,35751000,37283000,39247000,37811000,37579000,40637000,42578000,42088000,43157000,45172000,44563000,42539000,39228000,38501000,37059000,42685000,43052000,44486000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62814000,65124000,70004000,73017000,75905000,79193000,80923000,82289000,85578000,85156000,91496000,103683000,113534000
15,EBITDA,22700000,19600000,20500000,23700000,28400000,30700000,14400000,15800000,37600000,81200000,86500000,101600000,64200000,72800000,69900000,110614000,111545000,101368000,104422000,112854000,128152000,138896000,156368000,147782000,225244000,229831000,219372000,220133000,223320000,224091000,212918000,221126000,37699000,210975000,208558000,244598000,264092000
16,EBITDA ratio,0.0554,0.0622,0.0664,0.0854,0.1089,0.1036,0.0487,0.0576,0.1048,0.2205,0.2428,0.2672,0.1774,0.1747,0.1534,0.2079,0.1715,0.1580,0.1708,0.1595,0.1408,0.1371,0.1513,0.1424,0.2224,0.2830,0.2585,0.3013,0.2944,0.2972,0.2942,0.3271,0.0495,0.2988,0.2794,0.3161,0.3069
17,Operating Income,409400000,314900000,308900000,277600000,260900000,296300000,295900000,274400000,358700000,72200000,75400000,92700000,90000000,79700000,94700000,104342000,110211000,116258000,102272000,110026000,126947000,136762000,154923000,144036000,158716000,157605000,144845000,142180000,142746000,142965000,124248000,139280000,-53227000,132162000,143474000,148351000,163117000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1960,0.2116,0.2438,0.2488,0.1913,0.2078,0.1961,0.1695,0.1813,0.1673,0.1555,0.1394,0.1350,0.1499,0.1388,0.1567,0.1941,0.1706,0.1946,0.1882,0.1896,0.1717,0.2060,-0.0698,0.1872,0.1922,0.1917,0.1896
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-16200000,-15200000,-18600000,-25800000,-40100000,-25200000,-29701000,-32471000,-49022000,-32949000,-32923000,-36078000,-37113000,-36366000,-33833000,-36923000,-35476000,-37565000,-38221000,-40503000,-42630000,-34792000,-39671000,-33153000,-40660000,-65521000,-56996000,-57045000
