,https://roic.ai/company/W,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,601028000,915843000,1318951000,2249885000,3380360000,4720895000,6779174000,9127057000,14145156000,13708000000
2,COGS,455879000,691602000,1007853000,1709161000,2572549000,3602072000,5192451000,6979725000,10032985000,9813000000
3,Gross Profit,145149000,224241000,311098000,540724000,807811000,1118823000,1586723000,2147332000,4112171000,3895000000
4,Gross Profit Ratio,0.2415,0.2448,0.2359,0.2403,0.2390,0.2370,0.2341,0.2353,0.2907,0.2841
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,78691000,62246000,186505000,236810000,417368000,804317000,1285813000,356727000,2339649000,2599000000
7,Selling and Marketing Exp.,87640000,177475000,271397000,384373000,586660000,549959000,774189000,2720546000,- -,1378000000
8,"Selling, General and Administrative Exp.",166331000,239721000,457902000,621183000,1004028000,1354276000,2060002000,3077273000,2339649000,3977000000
9,Other Expenses,212000,539000,980000,891000,- -,- -,- -,- -,1412173000,- -
10,Operating Expenses,166543000,240260000,458882000,622074000,1004028000,1354276000,2060002000,3077273000,3751822000,3977000000
11,COGS and Expenses,622422000,931862000,1466735000,2331235000,3576577000,4956348000,7252453000,10056998000,13784807000,13790000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,146397000,32000000
14,Depreciation and Amortization,9335000,13091000,22003000,32446000,55572000,87020000,123542000,192419000,285711000,322000000
15,EBITDA,-11670000,-2389000,-125920000,-44902000,-138195000,-157108000,-378501000,-789155000,637427000,224000000
16,EBITDA ratio,-0.0194,-0.0026,-0.0955,-0.0200,-0.0409,-0.0333,-0.0558,-0.0865,0.0451,0.0163
17,Operating Income,-21394000,-16019000,-147784000,-81350000,-196217000,-235453000,-473279000,-929941000,360349000,-94000000
18,Operating Income ratio,-0.0356,-0.0175,-0.1120,-0.0362,-0.0580,-0.0499,-0.0698,-0.1019,0.0255,-0.0069
19,Total Other Income Expenses (Gains),389000,539000,-139000,4002000,2450000,-8675000,-28764000,-51633000,-155030000,-36000000
20,Income Before Tax,-21005000,-15480000,-147923000,-77348000,-193767000,-244128000,-502043000,-981574000,205319000,-130000000
21,Income Before Tax Ratio,-0.0349,-0.0169,-0.1122,-0.0344,-0.0573,-0.0517,-0.0741,-0.1075,0.0145,-0.0095
22,Income Tax expense (Gain),50000,46000,175000,95000,608000,486000,2037000,3010000,20323000,1000000
23,Net Income,-21055000,-15526000,-148098000,-77443000,-194375000,-244614000,-504080000,-984584000,184996000,-131000000
24,Net Income ratio,-0.0350,-0.0170,-0.1123,-0.0344,-0.0575,-0.0518,-0.0744,-0.1079,0.0131,-0.0096
25,EPS,-0.47,-0.87,-2.97,-0.92,-2.29,-2.81,-5.63,-10.68,1.93,-1.37
26,EPS Diluted,-0.47,-0.87,-2.97,-0.92,-2.29,-2.81,-5.63,-10.68,1.86,-1.32
27,Weighted Average Shares Outstanding,70348285,66304531,50641601,83726000,84977000,86983000,89472000,92200000,95825000,95825000
28,Weighted Average Shares Outstanding Diluted,70348285,66304531,50641601,83726000,84977000,86983000,89472000,92200000,99337000,99337000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1616707/000104746915002471/0001047469-15-002471-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670716000017/0001616707-16-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670717000133/0001616707-17-000133-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670718000087/0001616707-18-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670719000042/0001616707-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670720000025/0001616707-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670721000064/0001616707-21-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1616707/000161670722000031/0001616707-22-000031-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,77861000,65289000,355859000,334176000,279840000,558960000,849461000,582753000,2129440000,1706000000
32,Short-Term Investments,23017000,50019000,60000000,51895000,68743000,61032000,114278000,404252000,461698000,693000000
33,Cash and Short-Term Investments,100878000,115308000,415859000,386071000,348583000,619992000,963739000,987005000,2591138000,2399000000
34,Net Receivables,15766000,7689000,5949000,34566000,54156000,80825000,100112000,148048000,110299000,296000000
35,Inventory,7909000,14963000,19798000,19900000,18550000,28042000,46164000,61692000,52152000,69000000
36,Other Current Assets,15571000,25167000,45262000,51786000,55802000,87961000,145921000,180393000,292213000,248000000
37,Total Current Assets,140124000,163127000,486868000,492323000,477091000,816820000,1255936000,1377138000,3045802000,3012000000
38,PP&E,18370000,22088000,60639000,112325000,239354000,361141000,606977000,1387944000,684306000,1523000000
39,Goodwill,3420000,5165000,3624000,1924000,1924000,1924000,2099000,400000,- -,- -
40,Intangible Assets,780000,3919000,2854000,1778000,2306000,1181000,486000,18409000,- -,- -
41,Intangible Assets,4200000,9084000,6478000,3702000,4230000,3105000,2585000,18809000,- -,16000000
42,Investments,- -,- -,- -,79883000,30967000,21561000,6526000,155690000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,883000,2001000,1538000,6348000,10041000,10776000,18826000,13467000,- -,19000000
45,Total Non-Current Assets,23453000,33173000,68655000,202258000,284592000,396583000,634914000,1575910000,684306000,1558000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,163577000,196300000,555523000,694581000,761683000,1213403000,1890850000,2953048000,3730108000,4570000000
48,Accounts Payable,66603000,102153000,147873000,270913000,379493000,440366000,650174000,908097000,1156624000,1166000000
