,https://roic.ai/company/PBYI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27685000,250991000,272260000,225110000,253155000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5572000,34621000,36815000,39374000,63701000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22113000,216370000,235445000,185736000,189454000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.7987,0.8621,0.8648,0.8251,0.7484
5,Research and Development Exp.,- -,- -,- -,- -,826372,49636000,45046000,122917000,208472000,222798000,207810000,164854000,132851000,97650000,71870000
6,General and Administrative Exp.,- -,14083,16836,15976,9319587,24521000,9787000,19358000,31808000,53798000,106693000,146188000,140509000,118488000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,14083,16836,15976,9319587,24521000,9787000,19358000,31808000,53798000,106693000,146188000,140509000,118488000,116294000
9,Other Expenses,- -,- -,- -,- -,10702,293000,- -,- -,- -,- -,- -,- -,- -,- -,63701000
10,Operating Expenses,- -,14083,16836,15976,10156661,74450000,54833000,142275000,240280000,276596000,314503000,311042000,273360000,216138000,251865000
11,COGS and Expenses,- -,14083,16836,15976,10156661,74450000,54833000,142275000,240280000,276596000,320075000,345663000,310175000,255512000,251865000
12,Interest Income ,- -,- -,- -,- -,3783,98000,172000,324000,971000,958000,1256000,1796000,2847000,489000,160000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,720000,10985000,15019000,14046000,-12807000
14,Depreciation and Amortization,- -,- -,- -,- -,10702,265000,423000,627000,776000,1149000,2811000,7384000,8077000,10033000,10598000
