,https://roic.ai/company/PRI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,2390338000,2196944000,2220401000,1361863000,1103093000,1190715000,1267448000,1340030000,1418362000,1537964000,1715967000,1937328000,2100829000,2275014000,2709732000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2217541000,2709732000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.9747,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,694948000,1079701000,749033000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,324524000,271952000,197144000,199828000,210603000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1019472000,1351653000,946177000,199828000,210603000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,- -,513823000,800172000,648397000,888000000,984000000,1061000000,1113000000,1181000000,1310000000,1484000000,1575000000,245195000,296851000
10,Operating Expenses,- -,- -,1460000000,1000000000,859000000,888000000,984000000,1061000000,1113000000,1181000000,1310000000,1484000000,1575000000,245195000,296851000
11,COGS and Expenses,1477166000,1843908000,1460446000,962720000,827249000,923827000,1016250000,1064308000,1127381000,1200369000,1336447000,1521244000,1623718000,1768284000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,20872000,27968000,33101000,35018000,34570000,46555000,47571000,55353000,66294000,77136000,86312000,30618000
14,Depreciation and Amortization,12415000,12938000,10342000,10063000,10731000,10095000,10803000,12266000,10998000,14595000,13551000,12417000,18300000,17697000,29836000
15,EBITDA,925587000,365974000,770297000,430078000,314543000,310084000,297019000,324136000,348534000,399761000,448424000,494795000,572547000,610739000,571625000
16,EBITDA ratio,0.3872,0.1666,0.3469,0.3158,0.2851,0.2604,0.2343,0.2419,0.2457,0.2599,0.2613,0.2554,0.2725,0.2685,0.2110
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1972346000,511171000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8670,0.1886
19,Total Other Income Expenses (Gains),41856000,56187000,53032000,48960000,48681000,46532000,42731000,42137000,43173000,50576000,56091000,56987000,55525000,-1465616000,- -
20,Income Before Tax,913172000,353036000,759955000,399143000,275844000,266888000,251198000,275722000,290981000,337595000,379520000,416084000,477111000,506730000,511171000
21,Income Before Tax Ratio,0.3820,0.1607,0.3423,0.2931,0.2501,0.2241,0.1982,0.2058,0.2052,0.2195,0.2212,0.2148,0.2271,0.2227,0.1886
22,Income Tax expense (Gain),319538000,185354000,265366000,141365000,97568000,93082000,88473000,95888000,101110000,118181000,29265000,91990000,110720000,120566000,139191000
23,Net Income,593634000,167682000,494589000,257778000,178276000,173806000,162725000,181412000,189871000,219414000,350255000,324094000,366391000,386164000,371980000
24,Net Income ratio,0.2483,0.0763,0.2227,0.1893,0.1616,0.1460,0.1284,0.1354,0.1339,0.1427,0.2041,0.1673,0.1744,0.1697,0.1373
25,EPS,7.92,2.24,6.59,3.43,2.39,2.77,2.87,3.29,3.70,4.59,7.63,7.35,8.65,9.60,9.40
26,EPS Diluted,7.92,2.24,6.59,3.40,2.36,2.71,2.83,3.29,3.70,4.59,7.61,7.33,8.62,9.57,9.37
27,Weighted Average Shares Outstanding,75000000,75000000,75000000,72099000,72283000,61059000,55834008,54567006,50881078,47411000,45598180,43854102,42181000,40065000,39561000
28,Weighted Average Shares Outstanding Diluted,75000000,75000000,75000000,72882000,73107000,62401000,56624865,54598376,50912796,47453000,45689192,43985148,42314000,40185000,39679000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1475922/000119312511070177/0001193125-11-070177-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000144530512000508/0001445305-12-000508-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000147592213000004/0001475922-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000147592214000011/0001475922-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459015001024/0001564590-15-001024-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459016013368/0001564590-16-013368-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459017002594/0001564590-17-002594-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459018003151/0001564590-18-003151-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459019004515/0001564590-19-004515-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459020007489/0001564590-20-007489-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459021009754/0001564590-21-009754-index.htm,https://www.sec.gov/Archives/edgar/data/1475922/000156459022007995/0001564590-22-007995-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,625350000,302354000,625260000,126038000,136078000,112216000,149189000,192516000,152294000,211976000,279962000,262138000,256876000,547569000,392501000
32,Short-Term Investments,- -,- -,- -,- -,- -,1924161000,1795606000,1812510000,1779298000,1837332000,1968949000,2077806000,2356996000,2464611000,2702567000
33,Cash and Short-Term Investments,625350000,302354000,625260000,126038000,136078000,2036377000,1944795000,2005026000,1931592000,2049308000,2248911000,2339944000,2613872000,3012180000,3095068000
34,Net Receivables,1075693000,998758000,1038382000,168026000,163845000,4175850000,4230843000,4297193000,4304469000,4404010000,4434695000,4406827000,4397943000,4537387000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,-168026000,-163845000,-6100011000,-6026449000,-6109703000,-6083767000,-6241342000,-6403644000,-6484633000,-6754939000,-7001998000,- -
37,Total Current Assets,- -,- -,- -,126038000,136078000,112216000,149189000,192516000,152294000,211976000,279962000,262138000,256876000,547569000,3095068000
38,PP&E,- -,- -,- -,- -,- -,13358000,25050000,26463000,29409000,27466000,28101000,35996000,93381000,104294000,47942000
39,Goodwill,194992000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179154000
40,Intangible Assets,85973000,82434000,78895000,75357000,71928000,69816000,68863000,61720000,58318000,54915000,51513000,48111000,45275000,45275000,195825000
41,Intangible Assets,280965000,82434000,78895000,75357000,71928000,69816000,68863000,61720000,58318000,54915000,51513000,48111000,45275000,45275000,374979000
42,Investments,5463488000,5327154000,6444501000,2127341000,1995508000,1931923000,1808597000,2040221000,2149876000,2347945000,2712327000,3099485000,3625283000,3865284000,1561861000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-2127341000,5751947000,6234488000,6522539000,6331477000,6026639000,6401260000,6626992000,9124090000,5992145000,-3969578000,-1561861000
45,Total Non-Current Assets,- -,- -,- -,75357000,7819383000,8249585000,8425049000,8459881000,8264242000,8831586000,9418933000,12307682000,9756084000,45275000,422921000
46,Other Assets,12176049000,11161133000,13227781000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13451076000
47,Total Assets,12176049000,11161133000,13227781000,201395000,7955461000,8361801000,8574238000,8652397000,8416536000,9043562000,9698895000,12569820000,10012960000,592844000,16123223000
