,https://roic.ai/company/CYBR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,36365000,47208000,66157000,102999000,160812000,216613000,261701000,343199000,433895000,464431000,502917000
2,COGS,5416000,6924000,9076000,14707000,22660000,30151000,41848000,48461000,62615000,82571000,93307000
3,Gross Profit,30949000,40284000,57081000,88292000,138152000,186462000,219853000,294738000,371280000,381860000,409610000
4,Gross Profit Ratio,0.8511,0.8533,0.8628,0.8572,0.8591,0.8608,0.8401,0.8588,0.8557,0.8222,0.8145
5,Research and Development Exp.,6272000,7273000,10404000,14400000,21734000,34614000,42389000,57112000,72520000,95426000,142121000
6,General and Administrative Exp.,3077000,3297000,4758000,8495000,16990000,22117000,30399000,42044000,52308000,60429000,71425000
7,Selling and Marketing Exp.,15929000,22081000,32840000,44943000,66206000,93775000,126739000,148290000,184168000,219999000,274401000
8,"Selling, General and Administrative Exp.",19006000,25378000,37598000,53438000,83196000,115892000,157138000,190334000,236476000,280428000,345826000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,25278000,32651000,48002000,67838000,104930000,150506000,199527000,247446000,308996000,375854000,487947000
11,COGS and Expenses,30694000,39575000,57078000,82545000,127590000,180657000,241375000,295907000,371611000,458425000,581254000
12,Interest Income ,79000,106000,77000,201000,330000,1358000,2526000,5778000,10843000,10380000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,1966000,17183000,- -
14,Depreciation and Amortization,210000,329000,475000,746000,2254000,6488000,7856000,10078000,10646000,15475000,14228000
15,EBITDA,5691000,7966000,8430000,15212000,33997000,42689000,32285000,61921000,82696000,32269000,-77101000
16,EBITDA ratio,0.1565,0.1687,0.1274,0.1477,0.2114,0.1971,0.1234,0.1804,0.1906,0.0695,-0.1533
17,Operating Income,5671000,7633000,9079000,20454000,33222000,35956000,20326000,47292000,62284000,6006000,-78337000
18,Operating Income ratio,0.1559,0.1617,0.1372,0.1986,0.2066,0.1660,0.0777,0.1378,0.1435,0.0129,-0.1558
19,Total Other Income Expenses (Gains),-190000,4000,-1124000,-5988000,-1479000,245000,4103000,4551000,7800000,-6395000,-12992000
20,Income Before Tax,5481000,7637000,7955000,14466000,31743000,36201000,24429000,51843000,70084000,-389000,-91329000
21,Income Before Tax Ratio,0.1507,0.1618,0.1202,0.1404,0.1974,0.1671,0.0933,0.1511,0.1615,-0.0008,-0.1816
22,Income Tax expense (Gain),-392000,-225000,1320000,4512000,5949000,8077000,8414000,4771000,7020000,5369000,-7383000
23,Net Income,5873000,7862000,6635000,9954000,25794000,28124000,16015000,47072000,63064000,-5758000,-83946000
24,Net Income ratio,0.1615,0.1665,0.1003,0.0966,0.1604,0.1298,0.0612,0.1372,0.1453,-0.0124,-0.1669
25,EPS,0.07,0.11,0.06,0.46,0.80,0.83,0.46,1.30,1.68,-0.15,-2.12
26,EPS Diluted,0.07,0.11,0.06,0.34,0.73,0.78,0.44,1.27,1.62,-0.15,-2.12
27,Weighted Average Shares Outstanding,29580336,29580336,29580336,13335059,32124772,33741359,34824312,36174316,37586387,38628770,39645453
28,Weighted Average Shares Outstanding Diluted,29580336,29580336,29580336,29704730,35322716,35838863,36175824,37065727,38890108,38628770,39645453
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1598110/000119312515066968/d868692d20f.htm,https://www.sec.gov/Archives/edgar/data/1598110/000117891316004658/0001178913-16-004658-index.html,https://www.sec.gov/Archives/edgar/data/1598110/000117891317000810/0001178913-17-000810-index.html,https://www.sec.gov/Archives/edgar/data/1598110/000117891318000853/0001178913-18-000853-index.html,https://www.sec.gov/Archives/edgar/data/1598110/000117891319000824/0001178913-19-000824-index.html,https://www.sec.gov/Archives/edgar/data/1598110/000117891320000737/0001178913-20-000737-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,42887000,62379000,124184000,234539000,172957000,161261000,260636000,792363000,499992000,356850000
32,Short-Term Investments,- -,3108000,3182000,52997000,3713000,102075000,141672000,166347000,272479000,452999000,569578000
33,Cash and Short-Term Investments,- -,45995000,65561000,177181000,238252000,275032000,302933000,426983000,1064842000,952991000,926428000
34,Net Receivables,- -,9471000,12728000,19263000,20410000,33330000,45315000,48431000,72953000,93128000,113211000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,3423000,4795000,5866000,3293000,4804000,7407000,6349000,8406000,15312000,22225000
37,Total Current Assets,- -,58889000,83084000,202310000,261955000,313166000,355655000,481763000,1146201000,1061431000,1061864000
38,PP&E,- -,937000,1272000,2148000,3584000,4760000,9230000,15120000,16472000,18537000,20183000
39,Goodwill,- -,- -,- -,- -,35145000,35145000,69217000,82400000,82400000,123717000,123717000
40,Intangible Assets,- -,- -,- -,- -,18558000,14035000,15664000,14732000,9143000,23676000,17866000
41,Intangible Assets,- -,- -,- -,- -,53703000,49180000,84881000,97132000,91543000,147393000,141583000
42,Investments,- -,- -,- -,- -,- -,20443000,27407000,24261000,54408000,202190000,300662000
43,Tax Assets,- -,1138000,1478000,2013000,9998000,10389000,19343000,23481000,24451000,32809000,47167000
44,Other Non-Current Assets,- -,3415000,3890000,4081000,5184000,5093000,6060000,31863000,72091000,99992000,121743000
45,Total Non-Current Assets,- -,5490000,6640000,8242000,72469000,89865000,146921000,191857000,258965000,500921000,631338000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,64379000,89724000,210552000,334424000,403031000,502576000,673620000,1405166000,1562352000,1693202000
48,Accounts Payable,- -,1057000,1766000,1835000,2530000,2699000,1960000,4924000,5675000,8250000,10076000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,5925000,7025000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,10552000,18175000,22594000,37104000,50111000,66986000,92375000,118519000,161679000,230908000
52,Other Current Liabilities,- -,5832000,11403000,17264000,25226000,25346000,35462000,46124000,62552000,70059000,99018000
53,Total Current Liabilities,- -,17441000,31344000,41693000,64860000,78156000,104408000,143423000,192671000,247013000,340002000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,485119000,502302000,520094000
55,Deferred Revenue,- -,4516000,6303000,9566000,17285000,23395000,38249000,57159000,71836000,80829000,86367000
56,Deferred Tax Liabilities,- -,20000,27000,- -,754000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,3908000,6204000,4285000,4855000,5264000,5954000,6268000,31408000,24920000,20227000
58,Total Non-Current Liabilities,- -,8444000,12534000,13851000,22894000,28659000,44203000,63427000,588363000,608051000,626688000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,5925000,7025000,- -
61,Total Liabilities,- -,25885000,43878000,55544000,87754000,106815000,148611000,206850000,781034000,855064000,966690000
62,Preferred Stock,- -,41000,41000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,16000,17000,79000,86000,88000,91000,95000,99000,101000,104000
64,Retained Earnings,- -,4187000,10822000,20776000,46570000,74694000,103893000,163714000,226778000,221020000,137074000
65,Other Comprehensive Income/Loss,- -,- -,155000,-333000,-93000,-175000,107000,-939000,818000,4175000,397000
66,Other Total Stockholders Equity,- -,34250000,34811000,134486000,200107000,221609000,249874000,303900000,396437000,481992000,588937000
67,Total Stockholders Equity,- -,38494000,45846000,155008000,246670000,296216000,353965000,466770000,624132000,707288000,726512000
68,Total Liabilities And Stockholders Equity,- -,64379000,89724000,210552000,334424000,403031000,502576000,673620000,1405166000,1562352000,1693202000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,64379000,89724000,210552000,334424000,403031000,502576000,673620000,1405166000,1562352000,1693202000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1598110/000119312515066968/d868692d20f.htm,https://www.sec.gov/Archives/edgar/data/1598110/000117891316004658/0001178913-16-004658-index.html,https://www.sec.gov/Archives/edgar/data/1598110/000117891317000810/0001178913-17-000810-index.html,https://www.sec.gov/Archives/edgar/data/1598110/000117891318000853/0001178913-18-000853-index.html,https://www.sec.gov/Archives/edgar/data/1598110/000117891319000824/0001178913-19-000824-index.html,https://www.sec.gov/Archives/edgar/data/1598110/000117891320000737/0001178913-20-000737-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,5873000,7862000,6635000,9954000,25794000,28124000,16015000,47072000,63064000,-5758000,-83946000
74,Depreciation and Amortization,210000,329000,475000,746000,2254000,6488000,7856000,10078000,10646000,15475000,14228000
75,Deferred Income Tax,-512000,-458000,-769000,45000,-4093000,-1130000,5856000,-7056000,-6974000,-1988000,-11972000
76,Stock Based Compensation,1676000,284000,403000,1573000,7049000,17535000,25237000,35964000,55517000,71849000,95436000
77,Change in Working Capital,1950000,5464000,11969000,6568000,31964000,6484000,25391000,43774000,17538000,6940000,35670000
78,Accounts Receivable,-870000,-3074000,-3257000,-6535000,-187000,-12920000,-11631000,-3116000,-24522000,-17315000,-20083000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-431000,583000,651000,-145000,322000,-177000,-1288000,1955000,1571000,558000,1499000
81,Other Working Capital,2935000,5848000,9653000,7724000,21648000,19383000,32046000,47818000,40821000,45397000,74767000
82,Other Non-Cash Items,179000,176000,1446000,4954000,-3808000,-1191000,382000,293000,1919000,20251000,25324000
