,https://roic.ai/company/V,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,2664605000,2948126000,3589796000,6263000000,6911000000,8065000000,9188000000,10421000000,11778000000,12702000000,13880000000,15082000000,18358000000,20609000000,22977000000,21846000000,24105000000
2,COGS,- -,957011000,- -,- -,1538000000,1536000000,1647000000,1816000000,2140000000,2400000000,2382000000,2553000000,2764000000,3248000000,3856000000,4165000000,4512000000,4970000000
3,Gross Profit,- -,1707594000,- -,- -,4725000000,5375000000,6418000000,7372000000,8281000000,9378000000,10320000000,11327000000,12318000000,15110000000,16753000000,18812000000,17334000000,19135000000
4,Gross Profit Ratio,- -,0.6408,- -,- -,0.7544,0.7777,0.7958,0.8024,0.7946,0.7962,0.8125,0.8161,0.8167,0.8231,0.8129,0.8187,0.7935,0.7938
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,665416000,117837000,210948000,770000000,691000000,645000000,751000000,836000000,863000000,835000000,883000000,1185000000,1469000000,1591000000,1650000000,1504000000,1388000000
7,Selling and Marketing Exp.,- -,456922000,539258000,580883000,1016000000,918000000,964000000,870000000,873000000,876000000,900000000,872000000,869000000,922000000,988000000,1105000000,971000000,1136000000
8,"Selling, General and Administrative Exp.",- -,1122338000,657095000,791831000,1786000000,1609000000,1609000000,1621000000,1709000000,1739000000,1735000000,1755000000,2054000000,2391000000,2579000000,2755000000,2475000000,2524000000
9,Other Expenses,- -,- -,- -,4247460000,237000000,226000000,265000000,288000000,333000000,397000000,435000000,494000000,502000000,556000000,613000000,656000000,767000000,804000000
10,Operating Expenses,- -,1122338000,- -,5039291000,2023000000,1835000000,1874000000,1909000000,2042000000,2136000000,2170000000,2249000000,2556000000,2947000000,3192000000,3411000000,3242000000,3328000000
11,COGS and Expenses,- -,2079349000,2218456000,5039291000,3561000000,3371000000,3521000000,3725000000,4182000000,4536000000,4552000000,4802000000,5320000000,6195000000,7048000000,7576000000,7754000000,8298000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,108485000,- -,80658000,143000000,115000000,72000000,32000000,- -,- -,- -,- -,427000000,563000000,612000000,533000000,516000000,513000000
14,Depreciation and Amortization,- -,135528000,720206000,625693000,237000000,226000000,265000000,288000000,333000000,397000000,435000000,494000000,502000000,556000000,613000000,656000000,767000000,804000000
15,EBITDA,- -,692010000,1426105000,-685737000,1716000000,4342000000,4977000000,5980000000,2542000000,7654000000,8159000000,9489000000,8941000000,12813000000,14031000000,16073000000,15073000000,17380000000
16,EBITDA ratio,- -,0.2597,0.4837,-0.1910,0.2740,0.6283,0.6171,0.6508,0.2439,0.6499,0.6423,0.6836,0.5928,0.6980,0.6808,0.6995,0.6900,0.7210
17,Operating Income,- -,452922000,729670000,-1449495000,1232000000,3538000000,4589000000,5456000000,2139000000,7239000000,7697000000,9064000000,7883000000,12144000000,12954000000,15001000000,14081000000,15804000000
18,Operating Income ratio,- -,0.1700,0.2475,-0.4038,0.1967,0.5119,0.5690,0.5938,0.2053,0.6146,0.6060,0.6530,0.5227,0.6615,0.6286,0.6529,0.6446,0.6556
19,Total Other Income Expenses (Gains),- -,3323000,-7854000,62077000,104000000,462000000,49000000,200000000,68000000,18000000,27000000,-69000000,129000000,-450000000,-148000000,-117000000,-291000000,259000000
20,Income Before Tax,- -,456245000,721816000,-1387418000,1336000000,4000000000,4638000000,5656000000,2207000000,7257000000,7724000000,8995000000,8012000000,11694000000,12806000000,14884000000,13790000000,16063000000
21,Income Before Tax Ratio,- -,0.1712,0.2448,-0.3865,0.2133,0.5788,0.5751,0.6156,0.2118,0.6161,0.6081,0.6481,0.5312,0.6370,0.6214,0.6478,0.6312,0.6664
22,Income Tax expense (Gain),- -,183296000,251338000,-315993000,532000000,1648000000,1674000000,2010000000,65000000,2277000000,2286000000,2667000000,2021000000,4995000000,2505000000,2804000000,2924000000,3752000000
23,Net Income,- -,264701000,454561000,-1076095000,804000000,2353000000,2966000000,3650000000,2144000000,4980000000,5438000000,6328000000,5991000000,6699000000,10301000000,12080000000,10866000000,12311000000
24,Net Income ratio,- -,0.0993,0.1542,-0.2998,0.1284,0.3405,0.3678,0.3973,0.2057,0.4228,0.4281,0.4559,0.3972,0.3649,0.4998,0.5257,0.4974,0.5107
25,EPS,- -,0.12,0.15,-0.35,0.24,0.78,2.59,1.11,0.66,1.90,2.16,2.58,2.49,2.80,4.43,5.32,4.90,5.63
26,EPS Diluted,- -,0.12,0.15,-0.35,0.24,0.78,2.58,0.89,0.56,1.90,2.15,2.58,2.48,2.80,4.42,5.32,4.89,5.63
27,Weighted Average Shares Outstanding,- -,3100000000,3100000000,3100000000,2672000000,1804000000,3356000000,3296000000,3240000000,2604000000,2508000000,2446000000,2386000000,2305000000,2239301000,2189301000,2140301000,2130301000
28,Weighted Average Shares Outstanding Diluted,- -,3100000000,3100000000,3100000000,3076000000,3032000000,4384000000,4088000000,3856000000,2624000000,2524000000,2457000000,2414000000,2395000000,2329000000,2272000000,2223000000,2188000000
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1403161/000119312507270394/0001193125-07-270394-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000119312508240384/0001193125-08-240384-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000119312509239249/0001193125-09-239249-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000119312510265236/0001193125-10-265236-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000119312511315956/0001193125-11-315956-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000138410812000011/0001384108-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316113000011/0001403161-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316114000017/0001403161-14-000017-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316115000013/0001403161-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000058/0001403161-16-000058-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000044/0001403161-17-000044-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000055/0001403161-18-000055-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/0001403161-19-000050-index.html,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000070/0001403161-20-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316121000060/0001403161-21-000060-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,270124000,275379000,4979000000,4617000000,3867000000,2127000000,2074000000,2186000000,1971000000,3518000000,5619000000,9874000000,8162000000,7838000000,16289000000,16487000000
