,https://roic.ai/company/EVER,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,122778000,126242000,163349000,248811000,346935000,418515000
2,COGS,5888000,7745000,11678000,15903000,21373000,23949000
3,Gross Profit,116890000,118497000,151671000,232908000,325562000,394566000
4,Gross Profit Ratio,0.9520,0.9386,0.9285,0.9361,0.9384,0.9428
5,Research and Development Exp.,6585000,9194000,14173000,20214000,29662000,35732000
6,General and Administrative Exp.,4894000,4519000,10667000,16827000,20444000,24703000
7,Selling and Marketing Exp.,105820000,109473000,140743000,202689000,284880000,354990000
8,"Selling, General and Administrative Exp.",110714000,113992000,151410000,219516000,305324000,379693000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,117299000,123186000,165583000,239730000,334986000,415425000
11,COGS and Expenses,123187000,130931000,177261000,255633000,356359000,439374000
12,Interest Income ,- -,- -,320000,- -,189000,37000
13,Interest Expense (Gain),506000,382000,199000,- -,- -,- -
14,Depreciation and Amortization,1437000,1360000,1341000,2186000,3350000,5072000
15,EBITDA,1028000,-3329000,-12251000,-4931000,-7852000,-16872000
16,EBITDA ratio,0.0084,-0.0264,-0.0750,-0.0198,-0.0226,-0.0403
17,Operating Income,-409000,-4689000,-13912000,-8049000,-11682000,-21924000
18,Operating Income ratio,-0.0033,-0.0371,-0.0852,-0.0323,-0.0337,-0.0524
19,Total Other Income Expenses (Gains),-506000,-382000,121000,932000,480000,-20000
20,Income Before Tax,-915000,-5071000,-13791000,-7117000,-11202000,-21944000
21,Income Before Tax Ratio,-0.0075,-0.0402,-0.0844,-0.0286,-0.0323,-0.0524
22,Income Tax expense (Gain),18000,- -,- -,- -,- -,-2510000
23,Net Income,-933000,-5071000,-13791000,-7117000,-11202000,-19434000
24,Net Income ratio,-0.0076,-0.0402,-0.0844,-0.0286,-0.0323,-0.0464
25,EPS,-0.04,-0.24,-3.03,-0.28,-0.41,-0.66
26,EPS Diluted,-0.04,-0.24,-3.03,-0.28,-0.41,-0.66
27,Weighted Average Shares Outstanding,21442932,21442932,16922000,25759000,27329000,29277000
28,Weighted Average Shares Outstanding Diluted,21442932,21442932,16922000,25759000,27329000,29277000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1640428/000119312519094588/0001193125-19-094588-index.htm,https://www.sec.gov/Archives/edgar/data/1640428/000119312520072378/0001193125-20-072378-index.htm,https://www.sec.gov/Archives/edgar/data/1640428/000119312521063397/0001193125-21-063397-index.htm,https://www.sec.gov/Archives/edgar/data/1640428/000119312522054390/0001193125-22-054390-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,12400000,2363000,41634000,46054000,42870000,34851000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,12400000,2363000,41634000,46054000,42870000,34851000
34,Net Receivables,12216000,14694000,17460000,32214000,46079000,- -
