,https://roic.ai/company/IOR,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,10400000,12300000,12300000,8500000,5600000,6600000,7300000,7000000,7900000,9005000,12487000,14498000,15997000,13731000,13001000,9884000,7814000,5905000,6447000,7669000,2298000,1291000,246000,313000,- -,- -,- -,- -,- -,- -,- -,- -,- -,768,1108
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,962000,191000,164000,22000,67000,87000,50000,61000,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,329000,55000,149000,-22000,-67000,-87000,-50000,-61000,- -,- -,- -,- -,768,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2548,0.2236,0.4760,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,1800000,- -,700000,700000,600000,700000,1316000,973000,755000,747000,1549000,739000,1037000,779000,563000,615000,492000,759000,1501000,1286000,1268000,- -,1329000,1564000,1265000,1170000,1035000,1098000,1179000,1231000,1218000,470
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,1800000,- -,700000,700000,600000,700000,1316000,973000,755000,747000,1549000,739000,1037000,779000,563000,615000,492000,759000,1501000,1286000,1268000,1295000,1329000,1564000,1265000,1170000,1035000,1098000,1179000,1231000,1218000,470
9,Other Expenses,-6200000,-14100000,-12100000,-13100000,-11300000,-5200000,-5400000,-5300000,-6800000,8342000,12202000,20471000,9943000,5420000,5852000,4610000,3781000,2566000,4817000,5502000,3243000,206000,40000,- -,- -,- -,- -,- -,- -,- -,- -,631000,357000,371000,1108
