,https://roic.ai/company/RLAY,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,- -,82654000,3029000
2,COGS,- -,- -,- -,- -
3,Gross Profit,- -,- -,83,- -
4,Gross Profit Ratio,- -,- -,0.0000,- -
5,Research and Development Exp.,41034000,70306000,99862000,172650000
6,General and Administrative Exp.,8855000,13742000,38588000,57386000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8855000,13742000,38588000,57386000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,49889000,84048000,138450000,230036000
11,COGS and Expenses,49889000,84048000,138450000,230036000
12,Interest Income ,1113000,8801000,3400000,830000
13,Interest Expense (Gain),- -,- -,- -,- -
14,Depreciation and Amortization,2154000,2845000,3549000,3925000
15,EBITDA,-47735000,-81203000,-48863000,-359947000
16,EBITDA ratio,-Infinity,-Infinity,-0.5912,-118.8336
17,Operating Income,-49889000,-84048000,-55796000,-364698000
18,Operating Income ratio,-Infinity,-Infinity,-0.6751,-120.4021
19,Total Other Income Expenses (Gains),1104000,8743000,3384000,826000
20,Income Before Tax,-48785000,-75305000,-52412000,-363872000
21,Income Before Tax Ratio,-Infinity,-Infinity,-0.6341,-120.1294
22,Income Tax expense (Gain),- -,- -,- -,- -
23,Net Income,-48785000,-75305000,-52412000,-363872000
24,Net Income ratio,-Infinity,-Infinity,-0.6341,-120.1294
25,EPS,-0.75,-1.15,-5.40,-3.93
26,EPS Diluted,-0.75,-1.15,-5.40,-3.93
27,Weighted Average Shares Outstanding,65428521,65428521,42619582,92692515
28,Weighted Average Shares Outstanding Diluted,65428521,65428521,42619582,92692515
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1812364/000156459021015518/0001564590-21-015518-index.htm,https://www.sec.gov/Archives/edgar/data/1812364/000095017022001978/0000950170-22-001978-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,421505000,41954000,447646000,280119000
32,Short-Term Investments,- -,313862000,230415000,677954000
33,Cash and Short-Term Investments,421505000,355816000,678061000,958073000
34,Net Receivables,- -,- -,82654000,4940000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,2597000,4720000,9385000,13229000
37,Total Current Assets,424102000,360536000,770100000,976242000
38,PP&E,3631000,31654000,28829000,27323000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,2300000
