,https://roic.ai/company/QTXB,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,50000,190000,90000,420000,70000,30000,10000,- -,44429,66364,55645,91463,747119,624495,2551269,1493677,19085,15236,6113,2430,156,- -,- -,- -,- -,- -
2,COGS,- -,40000,70000,160000,500000,270000,230000,130000,- -,- -,102033,285815,- -,4056,61896,27853,375,409,346,586,1978,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,10000,120000,-70000,-80000,-200000,-200000,-120000,- -,- -,-35669,-230170,91463,743063,562599,2523416,1493302,18676,14890,5527,452,156,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,0.2000,0.6316,-0.7778,-0.1905,-2.8571,-6.6667,-12.0000,- -,- -,-0.5375,-4.1364,1.0000,0.9946,0.9009,0.9891,0.9997,0.9786,0.9773,0.9041,0.1860,1.0000,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,250000,670000,990000,1070000,790000,230000,- -,- -,- -,136862,665636,2012419,2032677,2324286,1536057,47868,24894,27917,65735,13154,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1050000,4120000,4220000,3290000,3550000,1220000,900000,540000,- -,- -,- -,- -,- -,- -,- -,2500546,768664,733688,473946,345387,387534,336046,56231,154315,235879,201739,12726
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10118,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1050000,4120000,4220000,3290000,3550000,1220000,900000,540000,- -,- -,- -,- -,- -,- -,- -,2510664,768664,733688,473946,345387,387534,336046,56231,154315,235879,201739,12726
9,Other Expenses,- -,- -,- -,-10000,-10000,10000,- -,-10000,119271,94499,55516,700987,2437160,4718810,4229606,92484,1193349,33885,10338,9184,9665,9665,82608,10856,- -,- -,47898
10,Operating Expenses,1050000,4120000,4470000,3950000,4530000,2300000,1690000,760000,119271,94499,55516,837849,3102796,6731229,6262283,4927434,3498070,815441,509178,382488,462934,358865,138839,165171,235879,201739,60624
11,COGS and Expenses,1050000,4160000,4540000,4110000,5030000,2570000,1920000,890000,119271,94499,157549,1123664,3102796,6735285,6324179,4955287,3498445,815850,509524,383074,464912,358865,138839,165171,235879,201739,60624
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8724,44221,76571,22622,40095,22016,16000,16000,13706,4376,- -,- -,- -,1134,- -,- -
13,Interest Expense (Gain),- -,-270000,10000,20000,-60000,-60000,-20000,-40000,- -,- -,- -,- -,- -,- -,- -,465027,7641,6501,140999,95957,104687,123899,196146,245413,232167,198181,216720
14,Depreciation and Amortization,20000,90000,150000,150000,160000,130000,100000,70000,53575,4825,4825,37639,4458547,294604,283436,92484,60613,33885,10338,9184,9665,9665,7173,10856,- -,- -,- -
15,EBITDA,-1030000,-4380000,-4170000,-1820000,-4530000,-2420000,-1740000,-840000,-65696,-41580,-15017,-1054919,-3233967,-5749733,-7437965,-2595985,899442,-743230,-566630,-253190,-712633,-334216,-131665,-154315,-134485,-201739,-60624
16,EBITDA ratio,-Infinity,-87.6000,-21.9474,-20.2222,-10.7857,-34.5714,-58.0000,-84.0000,-Infinity,-0.9359,-0.2263,-18.9580,-35.3582,-7.6959,-11.9104,-1.0175,0.6022,-38.9431,-37.1902,-41.4183,-293.2646,-2142.4103,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-1050000,-4110000,-4340000,-4020000,-4610000,-2500000,-1890000,-880000,-119271,-50070,-91185,-1068019,-3011333,-5988166,-5699684,-2404018,-2004768,-796765,-494288,-376961,-462482,-358709,-138839,-165171,-235879,-201739,-60624
18,Operating Income ratio,-Infinity,-82.2000,-22.8421,-44.6667,-10.9762,-35.7143,-63.0000,-88.0000,-Infinity,-1.1270,-1.3740,-19.1934,-32.9241,-8.0150,-9.1269,-0.9423,-1.3422,-41.7482,-32.4421,-61.6655,-190.3218,-2299.4167,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,-90000,10000,2030000,-20000,10000,70000,10000,-4762,3665,71343,-24539,-4681181,-474227,-2021717,-749478,2821581,242447,-223679,18630,-364503,-109071,-259155,1034310,-500971,-420181,-192110
20,Income Before Tax,-1050000,-4200000,-4330000,-1990000,-4630000,-2490000,-1820000,-870000,-124033,-46405,-19842,-1092558,-7692514,-6462393,-7721401,-3153496,- -,-554318,-717967,-358331,-826985,-467780,-397994,869139,-736850,-621920,- -
21,Income Before Tax Ratio,-Infinity,-84.0000,-22.7895,-22.1111,-11.0238,-35.5714,-60.6667,-87.0000,-Infinity,-1.0445,-0.2990,-19.6344,-84.1052,-8.6498,-12.3642,-1.2360,- -,-29.0447,-47.1231,-58.6179,-340.3230,-2998.5897,-Infinity,Infinity,-Infinity,-Infinity,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1050000,-4200000,-4330000,-1990000,-4630000,-2490000,-1820000,-870000,-124033,-46405,-19842,-1092558,-7692514,-6044337,-7721401,-3153496,831188,-783616,-717967,-358331,-826985,-467780,-397994,869139,-736850,-621920,- -
24,Net Income ratio,-Infinity,-84.0000,-22.7895,-22.1111,-11.0238,-35.5714,-60.6667,-87.0000,-Infinity,-1.0445,-0.2990,-19.6344,-84.1052,-8.0902,-12.3642,-1.2360,0.5565,-41.0593,-47.1231,-58.6179,-340.3230,-2998.5897,-Infinity,Infinity,-Infinity,-Infinity,- -
