,https://roic.ai/company/LMAT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,12550000,17364000,20664000,26183000,30727000,34628000,41446000,48720000,50908000,56060000,57685000,56735000,64549000,71097000,78352000,89151000,100867000,105568000,117232000,129366000,154424000
2,COGS,4833000,6080000,- -,7780000,8927000,9367000,10739000,14817000,13604000,14341000,17458000,15867000,19434000,22666000,24186000,26215000,30170000,31629000,37379000,44748000,53042000
3,Gross Profit,7717000,11284000,- -,18403000,21800000,25261000,30707000,33903000,37304000,41719000,40227000,40868000,45115000,48431000,54166000,62936000,70697000,73939000,79853000,84618000,101382000
4,Gross Profit Ratio,0.6149,0.6499,- -,0.7029,0.7095,0.7295,0.7409,0.6959,0.7328,0.7442,0.6974,0.7203,0.6989,0.6812,0.6913,0.7059,0.7009,0.7004,0.6812,0.6541,0.6565
5,Research and Development Exp.,862000,1295000,- -,2120000,3015000,3301000,4591000,5328000,5910000,5488000,4425000,5092000,5243000,4671000,5479000,6141000,6636000,8197000,9276000,10099000,11801000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,28977000,9999000,9852000,10506000,11228000,10973000,12576000,13889000,14010000,14354000,17010000,17689000,19055000,22501000,25501000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,19762000,17710000,19409000,19375000,20811000,22143000,22087000,22780000,26105000,25948000,27318000,30339000,23700000,27655000
8,"Selling, General and Administrative Exp.",7137000,9156000,- -,14691000,17365000,22288000,28977000,29761000,27562000,29915000,30603000,31784000,34719000,35976000,36790000,40459000,42958000,45007000,49394000,46201000,53156000
9,Other Expenses,- -,- -,- -,- -,- -,94000,7000,- -,- -,- -,- -,- -,635000,689000,744000,- -,- -,- -,- -,- -,- -
10,Operating Expenses,7999000,10451000,- -,16811000,20380000,25683000,33575000,35089000,33472000,35403000,35028000,36876000,40597000,41336000,43013000,46600000,49594000,53204000,58670000,56300000,64957000
11,COGS and Expenses,12832000,16531000,- -,24591000,29307000,35050000,44314000,49906000,47076000,49744000,52486000,52743000,60031000,64002000,67199000,72815000,79764000,84833000,96049000,101048000,117999000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,530000,38000,31000,11000,78000,4000,1000,13000,81000,179000,631000,698000,207000,197000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,61000,26000,5000,- -,1000,12000,5000,- -,14000,21000,2000,- -,1310000,2219000
14,Depreciation and Amortization,- -,- -,- -,967000,1208000,1308000,1394000,1593000,1419000,1376000,2037000,2234000,2793000,3334000,3394000,3591000,4055000,4324000,5416000,8395000,11070000
15,EBITDA,-602000,961000,-222000,2108000,1786000,788000,-1308000,-1167000,3660000,5406000,5789000,6228000,7133000,9659000,14818000,19847000,25182000,32770000,27095000,37061000,47576000
16,EBITDA ratio,-0.0480,0.0553,-0.0107,0.0805,0.0581,0.0228,-0.0316,-0.0240,0.0719,0.0964,0.1004,0.1098,0.1105,0.1359,0.1891,0.2226,0.2497,0.3104,0.2311,0.2865,0.3081
17,Operating Income,-282000,833000,20664000,1157000,422000,-679000,-4283000,-2930000,1949000,4015000,3690000,4240000,4518000,6340000,11513000,16336000,21103000,28209000,21183000,28788000,36425000
18,Operating Income ratio,-0.0225,0.0480,1.0000,0.0442,0.0137,-0.0196,-0.1033,-0.0601,0.0383,0.0716,0.0640,0.0747,0.0700,0.0892,0.1469,0.1832,0.2092,0.2672,0.1807,0.2225,0.2359
19,Total Other Income Expenses (Gains),-320000,128000,- -,-16000,156000,159000,1581000,109000,266000,10000,62000,-247000,-190000,-20000,-89000,-94000,3000,235000,496000,-1432000,-2138000
20,Income Before Tax,-602000,961000,- -,1141000,578000,-520000,-2702000,-2821000,2215000,4025000,3752000,3993000,4328000,6320000,11424000,16242000,21106000,28444000,21679000,27356000,34287000
21,Income Before Tax Ratio,-0.0480,0.0553,- -,0.0436,0.0188,-0.0150,-0.0652,-0.0579,0.0435,0.0718,0.0650,0.0704,0.0670,0.0889,0.1458,0.1822,0.2092,0.2694,0.1849,0.2115,0.2220
22,Income Tax expense (Gain),3000,478000,- -,214000,523000,652000,232000,493000,617000,-1988000,1609000,1422000,1126000,2405000,3666000,5652000,3929000,5501000,3745000,6136000,7380000
23,Net Income,-605000,483000,-222000,927000,55000,-1172000,-2934000,-3314000,1598000,6013000,2143000,2571000,3202000,3915000,7758000,10590000,17177000,22943000,17934000,21220000,26907000
24,Net Income ratio,-0.0482,0.0278,-0.0107,0.0354,0.0018,-0.0338,-0.0708,-0.0680,0.0314,0.1073,0.0372,0.0453,0.0496,0.0551,0.0990,0.1188,0.1703,0.2173,0.1530,0.1640,0.1742
25,EPS,-0.08,0.06,-0.04,0.10,0.01,-0.15,-0.19,-0.21,0.10,0.38,0.14,0.17,0.21,0.24,0.44,0.57,0.91,1.18,0.91,1.05,1.27
26,EPS Diluted,-0.08,0.06,-0.04,0.10,0.01,-0.15,-0.19,-0.21,0.10,0.37,0.13,0.16,0.20,0.23,0.42,0.55,0.86,1.13,0.88,1.04,1.25
27,Weighted Average Shares Outstanding,7160000,7291000,7649726,7941000,8246000,9904000,15398000,15572000,15687000,15627000,15458000,15194000,15317000,16614000,17764000,18485000,18961000,19426000,19813000,20246000,21157000
28,Weighted Average Shares Outstanding Diluted,7160000,7693000,7649726,8354000,8701000,9904000,15398000,15572000,15916000,16114000,15989000,15638000,15764000,17008000,18316000,19241000,20033000,20242000,20326000,20479000,21475000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158895/000119312508071258/0001193125-08-071258-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312509069450/0001193125-09-069450-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312510069986/0001193125-10-069986-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312511082920/0001193125-11-082920-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312512133838/0001193125-12-133838-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312513129404/0001193125-13-129404-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312514109881/0001193125-14-109881-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312515096794/0001193125-15-096794-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312516499592/0001193125-16-499592-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312517074936/0001193125-17-074936-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000119312518076905/0001193125-18-076905-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000143774919004574/0001437749-19-004574-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000143774920004836/0001437749-20-004836-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000143774921005956/0001437749-21-005956-index.htm,https://www.sec.gov/Archives/edgar/data/1158895/000143774922004662/0001437749-22-004662-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,337000,- -,724000,817000,15391000,6691000,15895000,23192000,22614000,20132000,16448000,14711000,18692000,27451000,24288000,19096000,26318000,11786000,26764000,13855000
32,Short-Term Investments,- -,- -,- -,300000,- -,15417000,16198000,5359000,808000,- -,- -,- -,- -,- -,- -,- -,22564000,21668000,20895000,214000,56104000
33,Cash and Short-Term Investments,- -,337000,- -,1024000,817000,30808000,22889000,21254000,24000000,22614000,20132000,16448000,14711000,18692000,27451000,24288000,41660000,47986000,32681000,26978000,69959000
34,Net Receivables,- -,- -,- -,3745000,4207000,5060000,7020000,7244000,7778000,8475000,8541000,9048000,10590000,10803000,11971000,13191000,15000000,15721000,16572000,19552000,19631000
35,Inventory,- -,- -,- -,3272000,5147000,6081000,9589000,6959000,6498000,8375000,8003000,10859000,13255000,16714000,15205000,16961000,19223000,25571000,34629000,39165000,46104000
36,Other Current Assets,5866000,5599000,- -,1061000,646000,1692000,2562000,1659000,1274000,3447000,3011000,2776000,3169000,2379000,3557000,4587000,4428000,4739000,8210000,8568000,4189000
