,https://roic.ai/company/AASP,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,1900000,1700000,1700000,- -,387200,1583800,7006670,2457832,2425781,2320184,2218617,2168802,2152867,2207979,2268658,2340433,2083640,1959524,2121541,2127027,2091515,2131959,2017102,- -,- -,- -,- -,- -,- -
2,COGS,- -,100000,- -,200000,- -,570300,941800,2081218,436612,328353,310501,347301,505555,529261,597763,641934,591322,493825,690788,646070,723107,752257,671118,620296,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,1800000,1700000,1500000,- -,-183100,642000,4925452,2021220,2097428,2009683,1871316,1663247,1623606,1610216,1626724,1749111,1589815,1268736,1475471,1403920,1339258,1460841,1396806,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,0.9474,1.0000,0.8824,- -,-0.4729,0.4054,0.7030,0.8224,0.8646,0.8662,0.8435,0.7669,0.7542,0.7293,0.7170,0.7473,0.7630,0.6475,0.6955,0.6600,0.6403,0.6852,0.6925,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1300000,1400000,1700000,- -,1736100,3008700,5627371,1805001,2076322,1954172,2041668,1978385,2938551,2018384,2099458,2134123,1964247,1582277,1490957,1566246,1499676,1444714,1432615,354536,85739,80719,83826,70828,98362
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1300000,1400000,1700000,512600,1736100,3008700,5627371,1805001,2076322,1954172,2041668,1978385,2938551,2018384,2099458,2134123,1964247,1582277,1490957,1566246,1499676,1444714,1432615,354536,85739,80719,83826,70828,98362
9,Other Expenses,- -,- -,- -,- -,- -,138700,464400,1863073,98880,90061,85848,67903,71154,95122,74828,82442,85001,88897,98205,109628,108669,111321,112892,110031,1049,251,55,- -,- -,- -
10,Operating Expenses,- -,1300000,1400000,1700000,512600,1874800,3473100,7490444,1903881,2166383,2040020,2109571,2049539,3033673,2093212,2181900,2219124,2053144,1680482,1600585,1674915,1610997,1557606,1542646,355585,85990,80774,83826,70828,98362
11,COGS and Expenses,- -,1400000,1400000,1900000,512600,2445100,4414900,9571662,2340493,2494736,2350521,2456872,2555094,3562934,2690975,2823834,2810446,2546969,2371270,2246655,2398022,2363254,2228724,2162942,355585,85990,80774,83826,70828,- -
12,Interest Income ,- -,- -,- -,- -,69800,- -,- -,- -,- -,- -,- -,- -,- -,2256,- -,- -,- -,81,27,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,552000,- -,211642,514449,504766,470895,483792,503811,504547,541270,529045,470748,517000,493044,540445,529922,531229,530507,309527,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,10800,205000,470400,1863073,98880,90061,85848,67903,71154,95122,74828,82442,85000,88897,98205,109628,108669,111321,112892,110031,1049,251,55,55,- -,- -
15,EBITDA,- -,-200000,300000,-200000,-527500,325700,-541100,-2225046,-10815189,-372281,383550,876222,632317,-1054648,-259914,-201764,706799,-179958,-263689,-91191,-252270,-225872,-61206,-78852,-354536,-85739,-80719,-83771,-70828,-98362
16,EBITDA ratio,- -,-0.1053,0.1765,-0.1176,-Infinity,0.8412,-0.3416,-0.3176,-4.4003,-0.1535,0.1653,0.3949,0.2916,-0.4899,-0.1177,-0.0889,0.3020,-0.0864,-0.1346,-0.0430,-0.1186,-0.1080,-0.0287,-0.0391,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,500000,300000,200000,512600,- -,2831100,- -,117339,68955,30337,238255,386292,1410067,482996,585176,470013,463329,411746,- -,270995,271739,93765,145840,355585,- -,-80774,-83826,-70828,-98362
18,Operating Income ratio,- -,0.2632,0.1765,0.1176,Infinity,- -,1.7875,- -,0.0477,0.0284,0.0131,0.1074,0.1781,0.6550,0.2188,0.2579,0.2008,0.2224,0.2101,- -,0.1274,0.1299,0.0440,0.0723,Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,-700000,-200000,100000,-933700,94500,1638900,-1523127,-211642,- -,239425,1196991,923436,6622,-11835,300970,-377259,-1404712,-1340465,-456658,-1145588,-1169426,-718759,-822187,-1020697,- -,- -,- -,- -,- -
20,Income Before Tax,- -,- -,- -,- -,-421100,-1963400,- -,-4088119,-94303,- -,- -,- -,- -,- -,- -,- -,92754,-941383,-928719,-581772,-874593,-897687,-624994,-676347,-665112,-85990,-80774,-83826,-70828,-98362
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,-5.0708,- -,-0.5835,-0.0384,- -,- -,- -,- -,- -,- -,- -,0.0396,-0.4518,-0.4740,-0.2742,-0.4112,-0.4292,-0.2932,-0.3353,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,200000,- -,- -,- -,- -,-269332,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5193,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-200000,- -,-200000,-750200,120700,-1563500,-3818787,-11125711,-976791,-207064,337424,77371,-1653581,-839289,-825476,92754,-739603,-884087,-693863,-901384,-867115,-705327,-719390,-628040,-85990,-80774,-83826,-70828,-98362
24,Net Income ratio,- -,-0.1053,- -,-0.1176,-Infinity,0.3117,-0.9872,-0.5450,-4.5266,-0.4027,-0.0892,0.1521,0.0357,-0.7681,-0.3801,-0.3639,0.0396,-0.3550,-0.4512,-0.3271,-0.4238,-0.4146,-0.3308,-0.3566,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,-0.08,-0.02,-0.07,-0.25,0.07,-0.50,-1.27,-3.54,-0.31,-0.06,0.10,0.02,-0.49,-0.24,-0.24,0.03,-0.21,-0.23,-0.15,-0.20,-0.20,-0.14,-0.15,-0.13,-0.02,-0.01,-0.02,-0.01,-0.02
26,EPS Diluted,- -,-0.08,-0.02,-0.07,-0.25,0.06,-0.50,-1.27,-3.54,-0.31,-0.06,0.10,0.02,-0.49,-0.24,-0.24,0.03,-0.21,-0.23,-0.15,-0.20,-0.20,-0.14,-0.15,-0.13,-0.02,-0.01,-0.02,-0.01,-0.02
27,Weighted Average Shares Outstanding,- -,2500000,3000000,2857143,3000800,1724286,3127000,3006919,3142856,3150939,3451067,3374240,3868550,3374655,3497038,3439483,3519000,3570000,3815204,4522123,4522123,4622123,4624123,4624123,4826309,5637013,5658123,5658123,5658123,5658123
28,Weighted Average Shares Outstanding Diluted,- -,2500000,3000000,2857143,3000800,2011667,3127000,3006919,3142856,3150939,3451067,3374240,3868550,3374655,3497038,3439483,3519000,3570000,3815204,4522123,4522123,4622123,4624123,4624123,4826309,5637013,5658123,5658123,5658123,5658123
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/930245/000126327910000052/0001263279-10-000052-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327911000039/0001263279-11-000039-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327912000006/0001263279-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327913000011/0001263279-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327914000003/0001263279-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327915000008/0001263279-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327916000019/0001263279-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000126327917000012/0001263279-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000147237518000039/0001472375-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000147237519000019/0001472375-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000147237520000023/0001472375-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000147237521000024/0001472375-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/930245/000147237522000023/0001472375-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,20000,3200000,100000,5818100,176000,2494300,118796,150556,27322,30108,17521,6125,14164,44914,- -,- -,272750,10647,1900,5500,- -,2200,5856,29368000,- -,- -,- -,- -,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,20000,3200000,100000,5818100,176000,2494300,118796,150556,27322,30108,17521,6125,14164,44914,- -,- -,272750,10647,1900,5500,- -,2200,5856,29368000,- -,- -,- -,- -,- -
34,Net Receivables,- -,400000,400000,3800000,479900,172800,799200,122847,28150,90267,36968,23696,902,2664,5446,5667,1478,1193,6421,2807,5942,961,3000,18339,- -,- -,- -,- -,- -,- -
35,Inventory,- -,100000,100000,100000,- -,- -,99500,52796,- -,3907,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,280000,- -,-100000,17000,130400,65000,231251,65189,79756,54431,16278,11626,27363,4345,5473,13939,23792,12650,107472,5733,3671,5737,15274,-29367962,14225,14215,37,69,64
37,Total Current Assets,- -,800000,3700000,3900000,6315000,479200,3458000,525690,243895,201252,121507,57495,18653,44191,54705,11140,15417,297735,29718,112179,17175,4632,10937,39469,38,14225,14215,37,69,64
38,PP&E,- -,200000,100000,100000,83800,9981400,24513600,24040832,945002,881785,801513,808112,1034033,971010,937501,972127,887127,1246447,729754,693364,669441,663569,601164,527373,306,55,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
