,https://roic.ai/company/KNDI,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,34702168,40500000,33800000,42900000,40200000,64500000,94536045,170200000,201069170,129492010,102805620,112438830,135741340,76920513,91484792
2,COGS,- -,- -,- -,- -,27235275,30900000,25600000,33300000,31000000,51600000,72793517,146800000,172649960,111770200,88461430,92191380,110310430,63432580,75238522
3,Gross Profit,- -,- -,- -,- -,7466893,9600000,8200000,9600000,9200000,12900000,21742528,23400000,28419210,17721810,14344190,20247450,25430910,13487933,16246270
4,Gross Profit Ratio,- -,- -,- -,- -,0.2152,0.2370,0.2426,0.2238,0.2289,0.2000,0.2300,0.1375,0.1413,0.1369,0.1395,0.1801,0.1873,0.1753,0.1776
5,Research and Development Exp.,- -,- -,- -,- -,- -,800000,2300000,1900000,2300000,2900000,3728730,2800000,3482510,26504650,27628090,10084380,6207750,7246312,-38971986
6,General and Administrative Exp.,- -,- -,- -,- -,- -,1836394,2573509,3371829,3458388,4250832,16056107,14058548,28255267,20665709,11333336,8612393,14243625,13042103,-19605468
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,477413000,1023210000,1120739000,1120739,- -,399504,-1345588000,633863000,1567707000,1567707,1465007,4070001,6619355,-4736000
8,"Selling, General and Administrative Exp.",- -,23500,4308,6138,2277825,479249394,1025783509,1124110829,4579127,4706815,16455611,-1331529452,662118267,1588372709,12901043,10077400,18313626,19661458,-24341468
9,Other Expenses,- -,- -,- -,- -,- -,-476895598,-1022145397,-1119610127,-702111,-154856,-228396,1346600727,-634874168,-1592052833,-6016259,-16063432,-792631,-1130262,48401797
10,Operating Expenses,- -,- -,- -,- -,2277825,3153796,5938112,6400702,6177016,7451959,19955945,17871275,30726609,22824526,34512874,4098348,23728745,25777508,-14911657
11,COGS and Expenses,- -,23500,50308,6138,29513100,34100000,31600000,39700000,37100000,59200000,92749462,165000000,205021600,160508260,128887860,114077180,134831800,89210088,60326865
12,Interest Income ,- -,- -,- -,- -,- -,- -,333654,769942,2200678,2658104,1516477,1701121,3138717,2961153,2269844,1324812,791888,2190678,4208751
13,Interest Expense (Gain),- -,- -,- -,- -,1206299,2017323,1811930,2922960,1945260,2775891,4395353,3480646,2214635,1831667,2280286,1871851,4822734,3750233,-407620
14,Depreciation and Amortization,- -,- -,- -,- -,1453253,1976369,3436004,4714058,4696848,4978626,7708923,5571465,5788780,4863277,4777992,4326296,8202869,8222984,- -
15,EBITDA,- -,-23500,-50308,-6138,7316143,8884087,6547934,7037018,16342108,15254517,-7442453,23752111,28796145,865734,-24252222,8274197,5144613,-3468116,28802668
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,0.2108,0.2194,0.1937,0.1640,0.4065,0.2365,-0.0787,0.1396,0.1432,0.0067,-0.2359,0.0736,0.0379,-0.0451,0.3148
17,Operating Income,- -,-23500,-50308,-6138,5189068,6440124,2276563,3221747,3035959,5309292,1558187,5244160,-3952423,-31016250,-26082239,-1638348,909536,754396,1336205
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,0.1495,0.1590,0.0674,0.0751,0.0755,0.0823,0.0165,0.0308,-0.0197,-0.2395,-0.2537,-0.0146,0.0067,0.0098,0.0146
