,https://roic.ai/company/MOMO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,18962491,277619293,869825978,3840601892,8606582695,13408421000,17015089000,15024188000,14575719000
2,COGS,- -,17738322,97773105,196780048,1676670779,4238915200,7182897000,8492096000,7976781000,8383431000
3,Gross Profit,- -,1224168,179846188,673045930,2163931113,4367667495,6225524000,8522993000,7047407000,6192288000
4,Gross Profit Ratio,- -,0.0646,0.6478,0.7738,0.5634,0.5075,0.4643,0.5009,0.4691,0.4248
5,Research and Development Exp.,9075592,21404768,57465426,151032192,218028376,336168777,760644000,1095031000,1167677000,1131781000
6,General and Administrative Exp.,12290124,18241322,64226794,148526350,270690155,408571949,640023000,1527282000,763150000,624700000
7,Selling and Marketing Exp.,2615318,18289804,220445412,341670978,674749877,1419578768,1812262000,2690824000,2813922000,2604309000
8,"Selling, General and Administrative Exp.",14905442,36531127,284672206,490197328,945440033,1828150716,2452285000,4218106000,3577072000,3229009000
9,Other Expenses,-0,- -,-161280,-4628668,-2819183,-152634244,-253697000,-344843000,-228777000,-175947000
10,Operating Expenses,23981034,57935894,341976352,636600853,1160649226,2011685250,2959232000,4968294000,4515972000,4184843000
11,COGS and Expenses,23981034,75674217,439749456,833380901,2837320006,6250600449,10142129000,13460390000,12492753000,12568274000
12,Interest Income ,18725,193928,4478631,50668655,56897497,141248208,272946000,407542000,444471000,384279000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,56503000,78611000,78872000,73776000
14,Depreciation and Amortization,917546,5102722,17399667,43144636,58355695,81190789,241268000,356191000,366248000,264599000
15,EBITDA,-23063488,-51415076,-140251865,132660342,1102606002,2591772414,3813194000,4289493000,3304224000,-1752777000
16,EBITDA ratio,-Infinity,-2.7114,-0.5052,0.1525,0.2871,0.3011,0.2844,0.2521,0.2199,-0.1203
17,Operating Income,-23981034,-56711726,-162130163,36445077,1003281887,2355982246,3266292000,3554699000,2531435000,-2389567000
18,Operating Income ratio,-Infinity,-2.9907,-0.5840,0.0419,0.2612,0.2737,0.2436,0.2089,0.1685,-0.1639
19,Total Other Income Expenses (Gains),18725,193928,4478631,50668655,16866490,112613374,173243000,313220000,367099000,294503000
20,Income Before Tax,-23962309,-56517798,-157651532,87113733,1020148377,2468595619,3439535000,3867919000,2898534000,-2095064000
21,Income Before Tax Ratio,-Infinity,-2.9805,-0.5679,0.1002,0.2656,0.2868,0.2565,0.2273,0.1929,-0.1437
22,Income Tax expense (Gain),- -,- -,- -,597247,35663357,430762966,699648000,883801000,755620000,822556000
23,Net Income,-23962309,-56517798,-157651532,88918459,1008586950,2079818659,2815775000,2970890000,2103484000,-2913708000
24,Net Income ratio,-Infinity,-2.9805,-0.5679,0.1022,0.2626,0.2417,0.2100,0.1746,0.1400,-0.1999
25,EPS,-0.23,-0.57,-12.03,0.52,5.28,10.58,13.84,14.30,10.10,-14.40
26,EPS Diluted,-0.23,-0.57,-12.03,0.39,5.00,10.05,13.18,13.52,9.66,-14.40
27,Weighted Average Shares Outstanding,186478055,186478055,42646888,171323141,188667962,197274662,203504938,207658314,208457449,202350955
28,Weighted Average Shares Outstanding Diluted,186478055,186478055,42646888,200698274,203520582,207632539,216541822,225603046,226040821,202350955
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1610601/000119312516554145/d114760d20f.htm,https://www.sec.gov/Archives/edgar/data/1610601/000119312517138056/d300817d20f.htm,https://www.sec.gov/Archives/edgar/data/1610601/000119312518133102/d504595d20f.htm,https://www.sec.gov/Archives/edgar/data/1610601/000119312519120962/d682290d20f.htm,https://www.sec.gov/Archives/edgar/data/1610601/000119312520123373/d861912d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,115716916,335579730,2797395091,1100162244,1788472903,4477551877,2468034000,2612743000,3363942000,5570563000
32,Short-Term Investments,- -,- -,- -,1947546000,2734183744,2450922456,8824610000,12312585000,7566250000,2860000000
33,Cash and Short-Term Investments,115716916,335579730,2797395091,3047708244,4522656647,6928474332,11292644000,14925328000,10930192000,8430563000
34,Net Receivables,5935961,14629419,59419399,162087762,305214729,371449818,875738000,522866000,389243000,205225000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2091006,5593602,33918496,61023108,172727025,460677424,464847000,345671000,427414000,775072000
37,Total Current Assets,123743883,355802751,2890732986,3270819113,5000598401,7760601573,12633229000,15793865000,11746849000,9410860000
38,PP&E,5985896,20380587,61633902,105550501,96741022,259593772,387532000,536897000,543940000,438598000
39,Goodwill,- -,- -,- -,- -,- -,22204075,4306829000,4360610000,4088403000,- -
40,Intangible Assets,- -,- -,- -,447936,- -,48717085,1036986000,890303000,687211000,27320000
41,Intangible Assets,- -,- -,- -,447936,- -,70921159,5343815000,5250913000,4775614000,27320000
42,Investments,- -,5763288,10917438,125408979,221729422,289462529,447465000,495905000,454996000,820006000
43,Tax Assets,- -,- -,- -,- -,1444310,46986982,57786000,37064000,32495000,34849000
44,Other Non-Current Assets,- -,- -,4919050,17359127,24393569,72768779,95711000,369037000,5666662000,7379605000
45,Total Non-Current Assets,5985896,26143875,77470391,248766542,344308323,739733220,6332309000,6689816000,11473707000,8700378000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,129729779,381946626,2968203377,3519585656,5344906724,8500334794,18965538000,22483681000,23220556000,18111238000
48,Accounts Payable,- -,2084723,36598231,67807060,280925317,486615909,718362000,714323000,699394000,726207000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,135169000,132793000,162950000
50,Tax Payable,74902,436337,1600397,13418592,72868237,248305667,246262000,239823000,320394000,125773000
51,Deferred Revenue,- -,24507611,103455135,189697472,286619233,516027658,554380000,624396000,639137000,539967000
52,Other Current Liabilities,892579,7138963,96365003,209549458,360820679,695116153,1423534000,1132866000,1045416000,1086641000
53,Total Current Liabilities,892579,33731296,236418369,467053990,928365229,1697759720,2696276000,2606754000,2516740000,2515765000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,4877116000,5010850000,4795402000,4668397000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,12182536,259247000,222576000,171803000,213384000
57,Other Non-Current Liabilities,- -,- -,- -,11854063,14040364,15048630,110040000,924719000,901282000,128095000
58,Total Non-Current Liabilities,- -,- -,- -,11854063,14040364,27231166,5246403000,6158145000,5868487000,5009876000
59,Other Liabilities,- -,- -,- -,23708127,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,191667000,269229000,266055000
61,Total Liabilities,892579,33731296,236418369,478908053,942405592,1724990886,7942679000,8764899000,8385227000,7525641000
62,Preferred Stock,169770990,486752417,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,93627,90904,248124,266165,291640,280734,270000,272000,274000,- -
64,Retained Earnings,-45452860,-149857615,-668730321,-610938688,355112876,2413702394,5361154000,7464585000,8444086000,- -
65,Other Comprehensive Income/Loss,-143562,957518,-6370573,-29381977,-112267358,104158720,313564000,302687000,183922000,- -
66,Other Total Stockholders Equity,4569005,10272107,3406637779,3680732104,4159363975,4238601823,5255571000,5762514000,6010698000,- -
67,Total Stockholders Equity,128837200,348215330,2731785008,3040677603,4402501132,6756743670,10930559000,13530058000,14638980000,10585597000
68,Total Liabilities And Stockholders Equity,129729779,381946626,2968203377,3519585656,5344906724,8481734556,18873238000,22294957000,23024207000,18111238000
69,Minority Interest,0,- -,- -,0,- -,18600238,92300000,188724000,196349000,- -
70,Total Liabilities & Equity,129729779,381946626,2968203377,3519585656,5344906724,8500334794,18965538000,22483681000,23220556000,18111238000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1610601/000119312516554145/d114760d20f.htm,https://www.sec.gov/Archives/edgar/data/1610601/000119312517138056/d300817d20f.htm,https://www.sec.gov/Archives/edgar/data/1610601/000119312518133102/d504595d20f.htm,https://www.sec.gov/Archives/edgar/data/1610601/000119312519120962/d682290d20f.htm,https://www.sec.gov/Archives/edgar/data/1610601/000119312520123373/d861912d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-23962309,-56517798,-157651532,88918459,1008586950,2079818659,2815775000,2970890000,2103484000,-2913708000
74,Depreciation and Amortization,917546,5102722,17399667,43144636,58355695,81190789,241268000,356191000,366248000,264599000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,3695152,5836011,41176111,112840815,220160123,324195159,580813000,1408232000,678686000,475771000
77,Change in Working Capital,-6266777,14459733,61875823,129135283,212771920,317947203,-275582000,672823000,-145729000,-662011000
78,Accounts Receivable,- -,-11550817,-32287083,-55427159,-159554636,-8004174,-440644000,442176000,52247000,-10374000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,2048361,27876686,34237859,222333532,168296571,233713000,52246000,-11716000,30475000
81,Other Working Capital,- -,22162298,79554629,84367693,105976276,88019799,-48133000,36981000,-25836000,212925000
82,Other Non-Cash Items,0,0,396998,-2369514,16033234,-11438265,-34556000,40750000,78200000,4394547000
83,Cash Provided by Operating Activities,-25616388,-31119332,-36802933,371669679,1515907922,2791713545,3327718000,5448886000,3080889000,1559198000
84,CAPEX,-6497724,-19277623,-54215007,-87775898,-48787139,-230508458,-242843000,-186522000,-124460000,-95323000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8750000
86,Purchases of Investments,-5935961,- -,-5018300,-3050240053,-3657917458,-3984870814,-20864627000,-22590635000,-14973165000,-5391740000
87,Sales/Maturities of Investments,- -,- -,- -,973773000,2884482295,4037028519,14390093000,19046430000,19599159000,9887570000
88,Other Investing Activites,- -,- -,0,- -,437459,-19488140,-3316627000,-299192000,-5250000000,-1841415000
89,Cash Used for Investing Activites,-12433686,-19277623,-59233306,-2164242952,-821784842,-178298524,-10034004000,-4029919000,-748466000,2550342000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-2041680000,- -,- -,- -
91,Common Stock Issued,- -,- -,1805173627,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-550797173,- -,- -,- -,- -,- -,-330207000,-862865000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-877346000,-1123983000,-852743000
94,Other Financing Activites,147000867,272710800,1302884617,-14496234,97213,2742050,6729631000,-396434000,-43960000,-71301000
95,Cash Used/Provided by Financing Activities,147000867,272710800,2557261071,-14496234,97213,2742050,4687951000,-1273780000,-1498150000,-1786909000
96,Effect of Forex Changes on Cash,-212222,915096,-7319646,-20371331,-82506232,179839295,24175000,-478000,-80944000,-41669000
97,Net Change In Cash,108738572,223228940,2453905185,-1827440838,611714061,2795996365,-1994160000,144709000,753329000,2280962000
98,Cash at the End of Period,115716916,335579730,2797395091,1100162244,1788472903,4477551877,2468034000,2612743000,3366072000,5647034000
99,Cash at the Beginning of Period,6978344,112350789,343489906,2927603082,1176758842,1681555511,4462194000,2468034000,2612743000,3366072000
100,Free Cash Flow,-32114112,-50396956,-91017940,283893780,1467120783,2561205087,3084875000,5262364000,2956429000,1463875000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1610601/000119312516554145/d114760d20f.htm,https://www.sec.gov/Archives/edgar/data/1610601/000119312517138056/d300817d20f.htm,https://www.sec.gov/Archives/edgar/data/1610601/000119312518133102/d504595d20f.htm,https://www.sec.gov/Archives/edgar/data/1610601/000119312519120962/d682290d20f.htm,https://www.sec.gov/Archives/edgar/data/1610601/000119312520123373/d861912d20f.htm,- -,- -
102,Forex Rate,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
