,https://roic.ai/company/DCTH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,346000,790000,1069000,1747000,1992000,2715000,3407000,1580000,1156000,3555000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000,464000,291000,462000,550000,701000,1009000,719000,640000,671000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307000,326000,778000,1285000,1442000,2014000,2398000,861000,516000,2884000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8873,0.4127,0.7278,0.7355,0.7239,0.7418,0.7038,0.5449,0.4464,0.8113
5,Research and Development Exp.,- -,- -,- -,- -,1173275,1598615,2306733,1744251,2718084,4241517,5378335,9637050,17555698,25173000,26215000,12688000,4299000,6486000,8448000,10495000,19650000,9490000,11201000,13778000
6,General and Administrative Exp.,1800000,370000,1031711,2068656,723763,707737,1059815,1367344,8980424,2671782,2687688,3898705,13187278,21283000,27963000,20657000,15783000,10009000,9434000,9684000,9819000,11279000,11108000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1800000,370000,1031711,2068656,723763,707737,1059815,1367344,8980424,2671782,2687688,3898705,13187278,21283000,27963000,20657000,15783000,10009000,9434000,9684000,9819000,11279000,11108000,13637000
9,Other Expenses,320000,230000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2120000,600000,1031711,2068656,1897038,2306352,3366548,3111595,11698508,6913299,8066023,13535755,30742976,46456000,54178000,33345000,20082000,16495000,17882000,20179000,29469000,20769000,22309000,27415000
11,COGS and Expenses,2120000,600000,1031711,2068656,1897038,2306352,3366548,3111595,11698508,6913299,8066023,13535755,30742976,46456000,54217000,33809000,20373000,16957000,18432000,20880000,30478000,21488000,22949000,28086000
12,Interest Income ,- -,- -,94555,208220,89992,55941,100216,246976,620403,532793,299956,73833,10698,5000,19000,20000,5000,9000,17000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),70000,30000,23029,15571,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175000,81000,- -,67000,14328000,21703000,7959000,4746000,175000,1186000
14,Depreciation and Amortization,- -,- -,3000,5014,6410,4990,5526,6052,3835,4323,5861,7981,472291,1035000,1331000,1126000,958000,617000,305000,310000,444000,1789000,192000,146000
15,EBITDA,-1980000,-540000,-1028711,-2063642,-1890628,-2301362,-3361022,-3105543,-11694673,-6908976,-8060162,-4933104,-30270685,-45421000,-50362000,-29117000,-16423000,-14020000,-3338000,-23104000,-10819000,-2344000,-23789000,-24317000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-145.5549,-36.8570,-15.3630,-8.0252,-1.6757,-8.5098,-3.1755,-1.4835,-20.5787,-6.8402
17,Operating Income,-2120000,-600000,-1031711,-2068656,-1897038,-2306352,-3366548,-3111595,-11698508,-6913299,-8066023,-13535755,-30742976,-46456000,-53871000,-33019000,-19304000,-15210000,-16440000,-18165000,-27071000,-19908000,-21303000,-24531000
