,https://roic.ai/company/OPTT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,2548294,4713202,5365235,1747715,2531315,4772017,4049445,5101311,6691082,5738506,3616129,1498892,4105424,704820,843000,511000,632000,1682000,1206000
2,COGS,2555267,4319850,5170521,2059318,3983742,7960042,4840403,4298955,6255437,5683731,3480821,1510336,4671403,667869,938000,763000,1303000,1787000,2279000
3,Gross Profit,-6973,393352,194714,-311603,-1452427,-3188025,-790958,802356,435645,54775,135308,-11444,-565979,36951,-95000,-252000,-671000,-105000,-1073000
4,Gross Profit Ratio,-0.0027,0.0835,0.0363,-0.1783,-0.5738,-0.6681,-0.1953,0.1573,0.0651,0.0095,0.0374,-0.0076,-0.1379,0.0524,-0.1127,-0.4932,-1.0617,-0.0624,-0.8897
5,Research and Development Exp.,180403,- -,904618,4224997,6219893,8255123,8372244,13001550,13319110,8337424,7327766,4564898,4149388,7050828,5029000,4320000,4984000,4344000,4747000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,7732577,9529071,9063482,8399325,8274096,9126757,9358967,9571193,6747506,6563000,6988000,7616000,6916000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",818596,1745955,2553911,3190687,4893580,7732577,9529071,9063482,8399325,8274096,9126757,9358967,9571193,6747506,6563000,6988000,7616000,6916000,7772000
9,Other Expenses,- -,255958,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,998999,2001913,3458529,7415684,11113473,15987700,17901315,22065032,21718435,16611520,16454523,13923865,13720581,13798334,11592000,11308000,12600000,11260000,12519000
11,COGS and Expenses,3554266,6321763,8629050,9475002,15097215,23947742,22741718,26363987,27973872,22295251,19935344,15434201,18391984,14466203,12530000,12071000,13903000,13047000,14798000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000,35000,124000,124000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,140984,233132,269075,241721,299405,365755,358722,436062,502099,421836,965156,111714,140000,122000,180000,355000,372000
15,EBITDA,-967058,-2967595,-316985,-6989742,-9369690,-14415002,-18015745,-18804552,-20441257,-15757867,-15632981,-12293251,-13287268,-14692104,-10044000,-11154000,-12916000,-10892000,-14388000
16,EBITDA ratio,-0.3795,-0.6296,-0.0591,-3.9994,-3.7015,-3.0207,-4.4489,-3.6862,-3.0550,-2.7460,-4.3231,-8.2016,-3.2365,-20.8452,-11.9146,-21.8278,-20.4367,-6.4756,-11.9303
17,Operating Income,-1005972,-1608561,-3263815,-7727287,-12565900,-19175725,-18692273,-21262676,-21282790,-16556745,-16319215,-13150309,-14286560,-14857983,-11687000,-11560000,-13271000,-11365000,-13592000
18,Operating Income ratio,-0.3948,-0.3413,-0.6083,-4.4214,-4.9642,-4.0184,-4.6160,-4.1681,-3.1808,-2.8852,-4.5129,-8.7734,-3.4799,-21.0805,-13.8636,-22.6223,-20.9984,-6.7568,-11.2703
19,Total Other Income Expenses (Gains),38914,-1359034,2805846,504413,2927135,4519002,-1295227,1098184,459861,313313,42961,213360,-74979,99505,1503000,284000,175000,118000,-1168000
20,Income Before Tax,-967058,-2967595,-457969,-7222874,-9638765,-14656723,- -,- -,-20822929,-16243432,-16276254,-12936949,-14361539,-14758478,-10184000,-11276000,-13096000,-11247000,-14760000
21,Income Before Tax Ratio,-0.3795,-0.6296,-0.0854,-4.1328,-3.8078,-3.0714,- -,- -,-3.1120,-2.8306,-4.5010,-8.6310,-3.4982,-20.9394,-12.0807,-22.0665,-20.7215,-6.6867,-12.2388
22,Income Tax expense (Gain),-146853,-118119,-29335,-143963,- -,- -,- -,- -,-364105,-1053427,-1453243,-1745895,-1137872,-1674862,-698000,-1119000,-850000,-895000,- -
23,Net Income,-820205,-2849476,-428634,-7078911,-9638765,-14656723,-18315150,-19170307,-20435874,-15140502,-14681837,-10969192,-13114552,-13128956,-9486000,-10157000,-12246000,-10352000,-14760000
24,Net Income ratio,-0.3219,-0.6046,-0.0799,-4.0504,-3.8078,-3.0714,-4.5229,-3.7579,-3.0542,-2.6384,-4.0601,-7.3182,-3.1944,-18.6274,-11.2527,-19.8767,-19.3766,-6.1546,-12.2388
25,EPS,-54.00,-142.00,-16.00,-274.00,-366.00,-288.00,-358.00,-376.00,-398.00,-294.00,-284.00,-182.00,-150.00,-145.00,-30.28,-13.20,-9.52,-1.44,-0.49
26,EPS Diluted,-54.00,-142.00,-16.00,-274.00,-366.00,-288.00,-358.00,-376.00,-398.00,-294.00,-284.00,-182.00,-150.00,-145.00,-30.28,-13.20,-9.52,-1.44,-0.49
27,Weighted Average Shares Outstanding,15087,20187,25677,25811,26303,51003,51051,51085,51234,51388,51520,60209,87452,90508,313296,767330,1286727,7209732,30018838
28,Weighted Average Shares Outstanding Diluted,15087,20187,25677,25811,26303,51003,51051,51085,51234,51388,51520,60209,87452,90508,313296,767330,1286727,7209732,30018838
