,https://roic.ai/company/LFER,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,101781,214502,193734,2458037,3255679,1009394,64407,- -
2,COGS,- -,128885,240017,215997,1779678,2529418,873412,166681,- -
3,Gross Profit,- -,-27104,-25515,-22263,678359,726261,135982,-102274,- -
4,Gross Profit Ratio,- -,-0.2663,-0.1189,-0.1149,0.2760,0.2231,0.1347,-1.5879,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,25250,164103,154385,328007,2054048,1303926,2428490,2032373,584292
7,Selling and Marketing Exp.,- -,400,3417,5021,23818,72907,- -,- -,- -
8,"Selling, General and Administrative Exp.",25250,164503,157802,333028,2077866,1376833,2428490,2032373,584292
9,Other Expenses,- -,- -,- -,- -,113983,375760,1553992,92000,79272
10,Operating Expenses,- -,164503,157802,333028,2191849,1752593,3982482,2124373,663564
11,COGS and Expenses,25250,293388,397819,549025,3971527,4282011,4855894,2291054,663564
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),23,178,2820,35438,1418496,1450523,1953829,744520,423546
14,Depreciation and Amortization,- -,- -,- -,4765,50133,59837,121500,92000,79273
15,EBITDA,-25250,-201571,-209773,-360004,-1511401,-966495,-6001706,-1489387,-548164
16,EBITDA ratio,-Infinity,-1.9804,-0.9780,-1.8582,-0.6149,-0.2969,-5.9459,-23.1246,-Infinity
17,Operating Income,-26250,-201571,-209773,-364769,-1513490,-1026332,-4837125,-2720647,-663564
18,Operating Income ratio,-Infinity,-1.9804,-0.9780,-1.8828,-0.6157,-0.3152,-4.7921,-42.2415,-Infinity
19,Total Other Income Expenses (Gains),-23,-178,-2820,-35438,-1466541,-1450523,-2336411,-417937,-745374
20,Income Before Tax,-26273,-201749,-212593,-400207,-2980031,-2476855,-7173536,-3138584,-1408938
21,Income Before Tax Ratio,-Infinity,-1.9822,-0.9911,-2.0658,-1.2124,-0.7608,-7.1068,-48.7305,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-26273,-201749,-212593,-400207,-2980030,-2476855,-8077035,-2325907,-1434073
24,Net Income ratio,-Infinity,-1.9822,-0.9911,-2.0658,-1.2124,-0.7608,-8.0019,-36.1126,-Infinity
25,EPS,-0.02,-0.10,-0.10,-0.15,-0.95,-0.60,-1.30,-0.34,-0.07
26,EPS Diluted,-0.02,-0.10,-0.10,-0.15,-0.95,-0.60,-1.30,-0.34,-0.07
27,Weighted Average Shares Outstanding,1367000,1962522,2340806,2544695,3175585,4156547,6136094,8987117,21123838
28,Weighted Average Shares Outstanding Diluted,1367000,1962522,2340806,2544695,3175585,4156547,6136094,8987117,21123838
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579010/000101738620000330/0001017386-20-000330-index.htm,https://www.sec.gov/Archives/edgar/data/1579010/000101738621000392/0001017386-21-000392-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,15200,21136,44101,27241,217598,189317,111053,3831,34629
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,15200,21136,44101,27241,217598,189317,111053,3831,34629
34,Net Receivables,- -,53447,1206,1692,160306,181551,305379,- -,75802
35,Inventory,- -,17121,18879,12887,293207,338920,231806,- -,- -
36,Other Current Assets,- -,- -,15000,14740,- -,102243,50077,- -,3226
37,Total Current Assets,15200,91704,79186,56560,671111,812031,698315,3831,113657
38,PP&E,- -,- -,- -,- -,60492,111777,31250,- -,3687
39,Goodwill,- -,- -,- -,- -,- -,785000,195000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,339375,801178,391000,- -,5102000
41,Intangible Assets,- -,- -,- -,- -,339375,1586178,586000,- -,5102000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,5245,70154,5245,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,405112,1768109,622495,- -,5105687
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,15200,91704,79186,56560,1076223,2580140,1320810,3831,5219344
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,2163858
49,Short-Term Debt,7500,10000,26000,31500,1076571,1648514,1652640,2252482,2147335
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,20880,- -,- -,- -,- -,- -
52,Other Current Liabilities,2023,64193,3718,28051,719193,1815962,2418440,2037193,5569942
53,Total Current Liabilities,9523,74193,29718,80431,1795764,3464476,4071080,4289675,9881135
54,Long-Term Debt,- -,- -,- -,55025,- -,107080,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,55025,- -,107080,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,9523,74193,29718,135456,1795764,3571556,4071080,4289675,9881135
62,Preferred Stock,1000,1000,1000,1200,1200,1200,1200,1200,1800
63,Common Stock,9200,11203,12169,13040,18717,23582,40210,13081,29549
64,Retained Earnings,-26273,-201749,-414342,-814549,-3794579,-6271434,-14875376,-17201283,-18635356
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-14508,-30937,- -,- -,- -
