,https://roic.ai/company/TAL,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,37475583,69593523,110600000,177500000,225900000,313900000,433969570,619948780,1043099660,1715016000,2562984000,3273308000,4495755000
2,COGS,18554255,37648875,56100000,95600000,115700000,151500000,203073960,303634830,522326990,882316000,1164454000,1468569000,2048561000
3,Gross Profit,18921328,31944648,54500000,81900000,110200000,162400000,230895610,316313950,520772670,832700000,1398530000,1804739000,2447194000
4,Gross Profit Ratio,0.5049,0.4590,0.4928,0.4614,0.4878,0.5174,0.5321,0.5102,0.4993,0.4855,0.5457,0.5514,0.5443
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,5889370,10871866,9963938000,9995938000,23245031000,133774000,199872830,288471250,462860080,754394000,1305774000,1647765000,1117324000
7,Selling and Marketing Exp.,2353011,5608116,-9934938000,-9934938000,-23166231000,-27674000,-35761000,-53882000,-73568000,-126005000,-242102000,- -,1680050000
8,"Selling, General and Administrative Exp.",8242381,16479982,29000000,61000000,78800000,106100000,164111830,234589250,389292080,628389000,1063672000,1647765000,2797374000
9,Other Expenses,- -,- -,-128585,-18807,-633137,-1143842,-464332,-3327165,-3113882,-4650189,-6724000,-9467000,-19491000
10,Operating Expenses,8242381,16479982,28871415,60981193,78166863,104956158,163647498,231262085,386178198,623738811,1056948000,1638298000,2777883000
11,COGS and Expenses,26796636,54128857,84900000,156700000,194500000,256500000,366721460,542400860,916580080,1508625000,2279493000,3289835000,4826444000
12,Interest Income ,119922,323861,1346284,3499926,5343445,9438263,16613656,17732879,18133229,39838177,59614000,72991000,114232000
13,Interest Expense (Gain),42967,40643,59212,- -,- -,- -,5811288,7499323,13144561,16640329,17628000,11820000,16946000
14,Depreciation and Amortization,1017309,2113267,3465578,5694730,7367332,10011334,12465780,19183024,33561797,59214098,88835000,117992000,165335000
15,EBITDA,10359198,17777394,-2600565210,-2598095270,-4115682668,66510334,78753648,120191867,130103368,240228427,429046000,88945000,-3606000
