,https://roic.ai/company/VITL,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,74000000,106713000,140733000,214280000,260901000
2,COGS,55612000,71894000,97856000,139752000,178002000
3,Gross Profit,18388000,34819000,42877000,74528000,82899000
4,Gross Profit Ratio,0.2485,0.3263,0.3047,0.3478,0.3177
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,14261000,19437000,29526000,47396000,57868000
7,Selling and Marketing Exp.,5724000,8615000,10001000,14904000,24979000
8,"Selling, General and Administrative Exp.",19985000,28052000,39527000,62300000,82847000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,19985000,28052000,39527000,62300000,82847000
11,COGS and Expenses,75597000,99946000,137383000,202052000,260849000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),524000,424000,349000,488000,52000
14,Depreciation and Amortization,821000,1437000,1921000,2550000,3540000
15,EBITDA,-542000,8381000,5761000,14608000,3993000
16,EBITDA ratio,-0.0073,0.0785,0.0409,0.0682,0.0153
17,Operating Income,-1597000,6767000,3350000,12228000,52000
18,Operating Income ratio,-0.0216,0.0634,0.0238,0.0571,0.0002
19,Total Other Income Expenses (Gains),-515000,-415000,1068000,-574000,302000
20,Income Before Tax,-2112000,6352000,4418000,11654000,354000
21,Income Before Tax Ratio,-0.0285,0.0595,0.0314,0.0544,0.0014
22,Income Tax expense (Gain),33000,723000,1106000,2770000,-2028000
23,Net Income,-1920000,5797000,2385000,8800000,2429000
24,Net Income ratio,-0.0259,0.0543,0.0169,0.0411,0.0093
25,EPS,-0.06,0.17,0.07,0.31,0.06
26,EPS Diluted,-0.06,0.16,0.07,0.27,0.06
27,Weighted Average Shares Outstanding,34090099,34135153,34090099,28667264,40027278
28,Weighted Average Shares Outstanding Diluted,36071015,37118484,36071015,32914653,43321733
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579733/000156459021014969/0001564590-21-014969-index.htm,https://www.sec.gov/Archives/edgar/data/1579733/000156459022009480/0001564590-22-009480-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,11815000,1274000,29544000,30966000
32,Short-Term Investments,- -,- -,- -,68357000,68621000
33,Cash and Short-Term Investments,- -,11815000,1274000,97901000,99587000
34,Net Receivables,- -,10287000,17723000,22488000,27137000
35,Inventory,- -,3866000,12947000,12902000,10945000
