,https://roic.ai/company/IRCP,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,111663199,116866894,174310229,114835834,143737486,230057719,361757329,472222075,639400695,642565000,784873000,856468000,923618000,1637411000,2113014000,2758081000,3858500000,4997162000,5949206000,10170612000,11672337000,11003000000
2,COGS,13743358,49658618,87594174,67941929,72243160,91804854,139524598,164472170,231152510,238517000,258832000,257760000,190609000,749865000,956238000,1183068000,1680192000,1899786000,2139447000,3417885000,4100522000,4422000000
3,Gross Profit,97919841,67208277,86716054,46893905,71494326,138252865,222232731,307749904,408248185,404048000,526041000,598708000,733009000,887546000,1156776000,1575013000,2178308000,3097376000,3809759000,6752727000,7571815000,6581000000
4,Gross Profit Ratio,0.8769,0.5751,0.4975,0.4084,0.4974,0.6009,0.6143,0.6517,0.6385,0.6288,0.6702,0.6990,0.7936,0.5420,0.5475,0.5711,0.5645,0.6198,0.6404,0.6639,0.6487,0.5981
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,60851000,81434000,76308000,90247000,67129000,100921000,136207000,213669000,316223000,403744000,881023000,965933000,1649000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,206958000,162739000,68440000,54629000,60740000,76766000,117554000,161990000,236163000,294550000,451073000,825569000,1243000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,267809000,244173000,144748000,144876000,127869000,177687000,253761000,375659000,552386000,698294000,1332096000,1791502000,2892000000
9,Other Expenses,68824784,29874104,79898378,40105145,31438451,56201816,93354952,156731735,246231095,46012000,-38632000,-19671000,-8870000,-1553000,-11961000,2521000,1732000,-4627000,-534000,50158000,232140000,319000000
10,Operating Expenses,68824784,29874104,79898378,40105145,31438451,56201816,93354952,156731735,246231095,313821000,205541000,125077000,136006000,126316000,165726000,256282000,377391000,547759000,697760000,1382254000,2023642000,3211000000
11,COGS and Expenses,82568142,79532722,167492552,108047074,103681611,148006670,232879550,321203906,477383606,552338000,464373000,382837000,326615000,876181000,1121964000,1439350000,2057583000,2447545000,2837207000,4800139000,6124164000,7633000000
12,Interest Income ,- -,- -,115812825,- -,- -,4780134,- -,14570779,- -,4815000,7989000,9081000,65309000,36261000,60024000,69307000,102169000,184296000,240005000,247503000,829908000,889000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,12360652,- -,30229839,- -,113694000,88638000,116225000,79551000,81665000,128716000,316213000,612486000,637458000,913833000,2049071000,3271208000,4947000000
14,Depreciation and Amortization,30262638,32856192,65181094,61716668,58603274,63406089,68650055,72907916,79091832,94725000,121959000,115921000,112945000,129806000,121014000,180410000,239494000,28540000,45114000,135929000,292002000,344000000
15,EBITDA,31681222,36853431,22983517,186496505,93871733,142609076,161889686,220706334,235391679,203141000,408924000,610875000,692063000,720267000,853433000,1368707000,1962914000,5535655000,16345389000,-20142207000,26026746000,-3056000000
16,EBITDA ratio,0.2837,0.3153,0.1319,1.6240,0.6531,0.6199,0.4475,0.4674,0.3681,0.3161,0.5210,0.7132,0.7493,0.4399,0.4039,0.4963,0.5087,1.1078,2.7475,-1.9804,2.2298,-0.2777
17,Operating Income,29095057,37334175,6817676,6788760,40055872,82051049,128877779,151018169,162017092,90227000,320500000,473631000,597003000,721658000,951398000,1348375000,1934589000,5620866000,19784863000,-20733178000,30677954000,-10615000000
18,Operating Income ratio,0.2606,0.3195,0.0391,0.0591,0.2787,0.3567,0.3563,0.3198,0.2534,0.1404,0.4083,0.5530,0.6464,0.4407,0.4503,0.4889,0.5014,1.1248,3.3256,-2.0385,2.6283,-0.9647
19,Total Other Income Expenses (Gains),-27676473,-33336936,-49015253,117991077,-4227374,-11165108,-30848421,-27224118,-6820891,-107135000,-117297000,-87797000,-83503000,-191929000,-314211000,-436945000,-728553000,-634171000,-3842334000,-1699195000,-7150695000,1664000000
20,Income Before Tax,1418584,3997239,-42197577,124779837,35828498,70885941,98029359,123794051,155196202,-16908000,203203000,385834000,513500000,529729000,637187000,911430000,1206036000,4986695000,15942529000,-22432373000,23527259000,-8951000000
21,Income Before Tax Ratio,0.0127,0.0342,-0.2421,1.0866,0.2493,0.3081,0.2710,0.2622,0.2427,-0.0263,0.2589,0.4505,0.5560,0.3235,0.3016,0.3305,0.3126,0.9979,2.6798,-2.2056,2.0156,-0.8135
22,Income Tax expense (Gain),4268345,1204786,1324501,47009070,16366821,33601326,48510967,54971365,76423923,16782000,79225000,118151000,171725000,178698000,226700000,290815000,294336000,1609181000,286506000,-4294652000,5373999000,13586000000
23,Net Income,-2849761,2792454,-43522078,77770767,18901639,33241009,44728664,62597214,79875923,-22060000,119102000,260578000,327842000,330098000,377003000,581269000,816598000,3260476000,15099936000,-18032555000,17089537000,-21933000000
24,Net Income ratio,-0.0255,0.0239,-0.2497,0.6772,0.1315,0.1445,0.1236,0.1326,0.1249,-0.0343,0.1517,0.3042,0.3550,0.2016,0.1784,0.2108,0.2116,0.6525,2.5381,-1.7730,1.4641,-1.9934
25,EPS,-0.04,0.04,-0.58,1.01,0.28,0.37,0.56,0.73,0.93,-0.26,1.42,2.15,2.42,2.42,2.79,4.28,6.05,24.09,111.60,-133.27,126.31,-37.74
26,EPS Diluted,-0.04,0.04,-0.58,0.28,0.19,0.19,0.28,0.27,0.37,-0.26,0.49,1.07,1.25,2.42,2.79,4.28,6.05,24.09,111.60,-133.27,126.31,-37.74
27,Weighted Average Shares Outstanding,72339432,75154931,75162448,76729732,67628792,89405443,79960904,85882913,85758653,83974063,83974063,121342577,135273400,135293908,135293908,135307438,135307438,135307438,135307438,135307438,135307438,580898344
28,Weighted Average Shares Outstanding Diluted,72339432,75154931,75162448,76729732,101433184,231401566,230365682,240467068,240823080,237374713,276523610,255379662,275374162,135293908,135293908,135307438,135307438,135307438,135307438,135307438,135307438,580898344
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
