,https://roic.ai/company/WYY,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1425360,9900000,27200000,12937825,5902728,3495160,3293508,5542118,13263164,17953209,14129439,35458953,43344053,50812776,41372490,55782742,46825032,53316210,70838017,78420864,75884246,83678896,101720247,180343015,87338097
2,COGS,667098,3500000,12100000,7014045,3122061,2489983,2460281,4066543,11868292,14255892,10565818,28877994,33845685,37548018,32128988,41920161,34713471,39802293,57605357,64410468,62194187,68409219,84342282,159887807,71997229
3,Gross Profit,758262,6400000,15100000,5923780,2780667,1005177,833227,1475575,1394872,3697317,3563621,6580959,9498368,13264758,9243502,13862581,12111561,13513917,13232660,14010396,13690059,15269677,17377965,20455208,15340868
4,Gross Profit Ratio,0.5320,0.6465,0.5551,0.4579,0.4711,0.2876,0.2530,0.2662,0.1052,0.2059,0.2522,0.1856,0.2191,0.2611,0.2234,0.2485,0.2587,0.2535,0.1868,0.1787,0.1804,0.1825,0.1708,0.1134,0.1756
5,Research and Development Exp.,- -,500000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,673093,699013,219141,- -,- -,- -,- -
6,General and Administrative Exp.,- -,5200000,12300000,10391756,2549661,- -,- -,- -,- -,- -,- -,6246914,6456870,8447897,7443197,9820695,9872655,14356372,14608014,14448270,14392660,13301052,13844689,14270342,12724522
7,Selling and Marketing Exp.,- -,- -,- -,- -,614786,- -,- -,- -,- -,- -,- -,901007,1145955,1811305,1484003,2741799,3125867,3432602,3030249,2667808,2202913,1743693,1659875,1871146,- -
8,"Selling, General and Administrative Exp.",5259076,5200000,12300000,10391756,3164447,1169093,1123285,1793271,3608825,4179780,4088051,7147921,7602825,10259202,8927200,12562494,12998522,17788974,17638263,17116078,16595573,15044745,15504564,16141488,12724522
9,Other Expenses,1008864,1300000,1800000,851562,6442483,51792,12777,70896,25217,35131,83458,160565,179413,201236,211129,281310,288333,375951,383265,358559,338314,415337,988146,1091463,3035571
10,Operating Expenses,6267940,7000000,14400000,11243318,9606930,1220885,1136062,1864167,3634042,4214911,4171509,7308486,7782238,10460438,9138329,12843804,13286855,18164925,18694621,18173650,17153028,15460082,16492710,17232951,15760093
11,COGS and Expenses,6935038,10500000,26500000,18257363,12728991,3710868,3596343,5930710,15502334,18470803,14737327,36186480,41627923,48008456,41267317,54763965,48000326,57967218,76299978,82584118,79347215,83869301,100834992,177120758,87757322
12,Interest Income ,- -,- -,- -,103351,44655,17658,11551,5841,6961,92669,104248,134531,27690,18440,12572,4881,7364,17002,23031,14591,15352,6797,5355,3944,4158
13,Interest Expense (Gain),- -,- -,- -,198971,5231,1559,1304,38144,164692,9713,13539,336638,176424,90052,69317,294244,175358,186796,142497,72231,52158,79540,310582,302924,273228
14,Depreciation and Amortization,1008864,1300000,1800000,851562,545290,51792,12777,80596,361042,463524,529845,1006904,1130360,1008839,860958,1792577,1751328,1838456,1566408,1563417,1493215,1307651,1910601,1151,1026080
15,EBITDA,-13197835,1000000,700000,-5543468,-6236318,-6258,-277007,-505035,-7274633,38599,26205,409981,2874131,3831599,978095,2819435,594665,-2782660,-3839513,-2571710,-1950597,1124041,2840088,3227808,2280851
