,https://roic.ai/company/MEIP,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,7000,145000,193000,308000,- -,645000,674000,228000,84000,- -,- -,- -,- -,- -,- -,23249000,1622000,4915000,28913000,25535000
2,COGS,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,3383000,4263000,2671000,1408000
3,Gross Profit,- -,-355000,- -,- -,- -,- -,- -,228000,84000,- -,- -,- -,- -,- -,- -,18249000,-1761000,652000,26242000,24127000
4,Gross Profit Ratio,- -,-2.4483,- -,- -,- -,- -,- -,1.0000,1.0000,- -,- -,- -,- -,- -,- -,0.7849,-1.0857,0.1327,0.9076,0.9449
5,Research and Development Exp.,- -,2024000,2381000,2279000,3427000,5761000,9325000,7777000,4031000,2115000,4915000,6084000,19331000,23823000,13403000,7237000,17038000,32300000,34065000,69398000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5138000,6448000,7175000,5667000,8628000,9787000,14597000,16717000,24414000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5138000,6448000,7175000,5667000,8628000,9787000,14597000,16717000,24414000
9,Other Expenses,129000,654000,6350000,4450000,3958000,8703000,4430000,3630000,3948000,4336000,3479000,- -,1449000,1773000,1934000,- -,- -,- -,- -,- -
10,Operating Expenses,129000,2678000,8731000,6729000,7385000,14464000,13755000,11407000,7979000,6451000,8394000,11222000,27228000,32771000,21004000,15865000,26825000,46897000,50782000,93812000
11,COGS and Expenses,129000,3178000,8731000,6729000,7385000,14464000,13755000,11407000,7979000,6451000,8394000,11222000,27228000,32771000,21004000,20865000,30208000,51160000,53453000,95220000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,228000,84000,130000,39000,37000,81000,78000,143000,287000,591000,1795000,1395000,510000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
