,https://roic.ai/company/FFNTF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4056163,31126000,57635000,104566
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,885,8707,29940,28677,- -,- -,17109000,21124000,55170
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,-885,- -,-29940,-28677,- -,- -,14017000,36511000,49396
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,- -,-Infinity,-Infinity,- -,- -,0.4503,0.6335,0.4724
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,14113,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,822696,1127816,1201152,609455,446573,52876,246321,128653,154941,4031611,30805000,25800000,27782
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13493000,23174000,20537
8,"Selling, General and Administrative Exp.",- -,- -,162311,1769538,822696,1127816,1201152,609455,446573,52876,246321,128653,154941,4031611,44298000,48974000,48319
9,Other Expenses,- -,- -,226,10315,-42321,40438,15186,14794,-70188,47668,77,- -,- -,817547,4136000,4061000,15183
10,Operating Expenses,- -,- -,162537,1779852,780375,1168254,1230451,624249,376385,100544,246398,128653,154941,4849158,48434000,53035000,63502
11,COGS and Expenses,- -,- -,162537,1779852,780375,1168254,1230451,624249,376385,100544,246398,128653,154941,5417201,65543000,74159000,118672
12,Interest Income ,- -,227,8220,148820,27606,6853,4352,4202,- -,- -,- -,- -,- -,- -,422000,720000,15
13,Interest Expense (Gain),- -,- -,- -,- -,- -,2255,1311,336,363,248,12290,5898,3205,552016,6470000,15779000,13704
14,Depreciation and Amortization,- -,- -,226,10315,22241,18958,15186,14794,2946,113,77,- -,- -,- -,5145000,8563000,5102
15,EBITDA,- -,- -,-162311,5233116,480863,-1132981,-1210913,-605253,-373439,-100431,-246321,-128653,-154941,-2469137,-167611000,-7660000,-26653
16,EBITDA ratio,- -,- -,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.6087,-5.3849,-0.1329,-0.2549
17,Operating Income,- -,- -,-162537,-8782506,-844937,-1168254,-1194537,-624249,-380360,-105852,-246398,-128653,-154941,-1361038,-34417000,-32610000,-14106000
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.3355,-1.1057,-0.5658,-134.9004
19,Total Other Income Expenses (Gains),- -,- -,- -,-6903095,-1146829,-33660,354970,-379664,-688162,-76765,101061,166531,-2027,-2387749,-145112000,-12333000,14081610
20,Income Before Tax,- -,- -,- -,- -,-1991766,-1201914,-839567,-1003913,-1068522,-182616,-145336,37878,-156968,-3748788,-179529000,-44943000,-24390
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-0.9242,-5.7678,-0.7798,-0.2332
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1377000,15049000,-10545
23,Net Income,- -,-5686,-155116,-8535448,-1991766,-1201914,-839567,-1000403,-994574,-182616,-140328,37878,-156968,-3021153,-180603000,-47051000,-34914
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-0.7448,-5.8023,-0.8164,-0.3339
25,EPS,- -,-0.09,-0.53,-5.26,-1.15,-0.59,-0.21,-0.20,-1.94,-0.48,-0.38,0.05,-0.10,-0.08,-0.43,-0.09,-0.06
26,EPS Diluted,- -,-0.09,-0.53,-5.26,-1.15,-0.59,-0.21,-0.20,-1.94,-0.48,-0.38,0.05,-0.10,-0.08,-0.43,-0.09,-0.06
27,Weighted Average Shares Outstanding,- -,54426,259824,1612282,1743937,1872817,3351077,3825208,382520,382559,382521,806987,1432374,39469696,420306991,520563800,590998816
28,Weighted Average Shares Outstanding Diluted,- -,54426,259824,1612282,1743937,1872817,3351077,3825208,382520,382559,382521,806987,1432374,39469696,420306991,520563800,590998816
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1783875/000156459021017873/0001564590-21-017873-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,283256,2380246,313714,1010553,511189,3949,2357,2162,195,411,102,11862715,5789000,18932000,22581000
32,Short-Term Investments,- -,- -,- -,- -,418813,8216,1110994,284583,22235,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,283256,2380246,732527,1018769,1622183,288532,24591,2162,195,411,102,11862715,5789000,18932000,22581000
34,Net Receivables,- -,- -,126476,124888,51671,51106,104197,67362,7456,6226,23611,7899,9456,1740078,12429000,5492000,5911000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147705,11325000,18037000,20135000
36,Other Current Assets,- -,- -,18597,- -,24058,5229,7155,2350,4867,0,- -,-0,-0,128798,2198000,2275000,2184000
37,Total Current Assets,- -,- -,428330,2505134,808256,1075104,1733535,358245,36914,8388,23806,8310,9558,13879296,31741000,44736000,50811000
38,PP&E,- -,- -,20374,1187118,272307,550052,856396,719988,99034,84,- -,- -,- -,30277769,62298000,96084000,143152000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33988000,23155000,23155000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41442000,28790000,26246000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75430000,51945000,49401000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,759000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,172601,180061,142039,105530,42304,38798,- -,- -,- -,- -,2941723,33691000,11991000,12165000
45,Total Non-Current Assets,- -,- -,20374,1359720,452368,692091,961926,762291,137831,84,- -,- -,- -,33219492,172178000,160020000,204718000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,448704,3864854,1260624,1767195,2695461,1120536,174746,8472,23806,8310,9558,47098788,203919000,204756000,255529000
48,Accounts Payable,- -,- -,34848,179509,- -,- -,- -,- -,155995,194399,328639,168758,161592,2016867,8138000,4722000,2111000
49,Short-Term Debt,- -,- -,- -,- -,- -,32162,- -,- -,- -,- -,57328,32927,33497,2076467,8354000,6933000,11329000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123648,1609000,11502000,21301000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,11285,33644,120353,235737,152446,300419,384830,317698,233094,64848,208998,5512288,2359000,26129000,36258000
53,Total Current Liabilities,- -,- -,46133,213153,120353,267899,152446,300419,540826,512097,619061,266534,404087,9605622,18851000,37784000,49698000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5349067,102775000,61991000,156563000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1117295,- -,6530000,7162000
