,https://roic.ai/company/EYES,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1367224,1564933,3397852,8950000,3985000,7964000,6896000,3379000,1000,260
2,COGS,4396746,5629320,3558135,5293000,10076000,5117000,4888000,2152000,-500000,130
3,Gross Profit,-3029522,-4064387,-160283,3657000,-6091000,2847000,2008000,1227000,501000,130
4,Gross Profit Ratio,-2.2158,-2.5972,-0.0472,0.4086,-1.5285,0.3575,0.2912,0.3631,501.0000,0.5000
5,Research and Development Exp.,3045157,3248466,5040969,3036000,5347000,7893000,10005000,13143000,4836000,2370
6,General and Administrative Exp.,4025558,4167934,6565464,8223000,10080000,10932000,10692000,9226000,5943000,6315
7,Selling and Marketing Exp.,2194590,3301452,6844825,8935000,8989000,9569000,11336000,6101000,701000,- -
8,"Selling, General and Administrative Exp.",6220148,7469386,13410289,17158000,19069000,20501000,22028000,15327000,6644000,6315
9,Other Expenses,3726556,3215290,2621919,3510000,2703000,3062000,4600000,3354000,1687000,378
10,Operating Expenses,12991861,13933142,21073177,23704000,27119000,31456000,36633000,31824000,13167000,9063
11,COGS and Expenses,17388607,19562462,24631312,28997000,37195000,36573000,41521000,33976000,12667000,9193
12,Interest Income ,7512,7454,9108,2000,31000,93000,86000,362000,16000,12
13,Interest Expense (Gain),267031,5013618,7034090,29000,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,324712,315770,279179,335000,432000,457000,435000,397000,164000,70000
15,EBITDA,-15687384,-17639537,-27887978,-19654000,-32747000,-28059000,-34659000,-33195000,-14716000,61079
16,EBITDA ratio,-11.4739,-11.2718,-8.2075,-2.1960,-8.2176,-3.5232,-5.0260,-9.8239,-14716.0000,234.9192
17,Operating Income,-16021383,-17997529,-21233460,-20047000,-33210000,-28609000,-35180000,-33954000,-14896000,-8933
18,Operating Income ratio,-11.7182,-11.5005,-6.2491,-2.2399,-8.3338,-3.5923,-5.1015,-10.0485,-14896.0000,-34.3577
19,Total Other Income Expenses (Gains),-257744,-4971396,-13967787,29000,31000,93000,86000,362000,16000,12
20,Income Before Tax,-16279127,-22968925,-35201247,-20018000,-33179000,-28516000,-35094000,-33592000,-14880000,-8921
21,Income Before Tax Ratio,-11.9067,-14.6773,-10.3599,-2.2366,-8.3260,-3.5806,-5.0890,-9.9414,-14880.0000,-34.3115
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-16279127,-22968925,-35201247,-20018000,-33179000,-28516000,-35094000,-33592000,-14880000,-8921
24,Net Income ratio,-11.9067,-14.6773,-10.3599,-2.2366,-8.3260,-3.5806,-5.0890,-9.9414,-14880.0000,-34.3115
25,EPS,-3.45,-4.84,-10.35,-4.11,-6.72,-4.24,-4.24,-18.24,-0.72,-0.01
26,EPS Diluted,-3.45,-4.84,-10.35,-4.11,-6.72,-4.24,-4.24,-18.24,-0.72,-0.01
27,Weighted Average Shares Outstanding,4717349,4717349,3413166,4855144,4944250,6769000,8297250,1838500,20575000,1838500
28,Weighted Average Shares Outstanding Diluted,4717349,4717349,3413166,4855144,4944250,6769000,8297250,1838500,20575000,1838500
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1266806/000161577416004462/0001615774-16-004462-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000161577417001057/0001615774-17-001057-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000161577418002008/0001615774-18-002008-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000156459019008372/0001564590-19-008372-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000156459020011809/0001564590-20-011809-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000156459021013636/0001564590-21-013636-index.htm,https://www.sec.gov/Archives/edgar/data/1266806/000175392622000356/0001753926-22-000356-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,144754,62565,619411,239000,539000,604000,4471000,11327000,3177000,69593000
32,Short-Term Investments,4310038,8611614,33999563,15721000,10336000,7235000,- -,- -,- -,- -
33,Cash and Short-Term Investments,4454792,8674179,34618974,15960000,10875000,7839000,4471000,11327000,3177000,69593000
34,Net Receivables,367901,468644,707648,1501000,274000,1831000,504000,455000,- -,- -
35,Inventory,1786883,2346770,5721991,8209000,3416000,2700000,3250000,1029000,- -,- -
36,Other Current Assets,429441,298223,927575,1094000,717000,795000,1395000,299000,1092000,914000
37,Total Current Assets,7039017,11787816,41976188,26764000,15282000,13165000,9620000,13110000,4269000,70507000
38,PP&E,793240,723474,1004646,1432000,1489000,1299000,1025000,3464000,174000,345000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,160318,162131,88610,49000,39000,33000,37000,25000,17000,27000
45,Total Non-Current Assets,953558,885605,1093256,1481000,1528000,1332000,1062000,3489000,191000,372000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7992575,12673421,43069444,28245000,16810000,14497000,10682000,16599000,4460000,70879000
48,Accounts Payable,731377,314327,513106,710000,1156000,752000,1305000,1093000,486000,519000
49,Short-Term Debt,52943,- -,- -,- -,- -,- -,- -,237000,2200000,185000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,167334,68875,4674904,2519000,189000,48000,167000,335000,335000,- -
52,Other Current Liabilities,1811388,2300178,3263187,4753000,4317000,5815000,6126000,5294000,2111000,1758000
53,Total Current Liabilities,2763042,2683380,8451197,7982000,5662000,6615000,7598000,6959000,5132000,2462000
54,Long-Term Debt,8273356,19211112,- -,- -,- -,- -,- -,- -,- -,52000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2365000,- -,- -
58,Total Non-Current Liabilities,8273356,19211112,- -,- -,- -,- -,- -,2365000,- -,52000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,2602000,- -,- -
61,Total Liabilities,11036398,21894492,8451197,7982000,5662000,6615000,7598000,9324000,5132000,2514000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,85565765,88311192,163171005,166049000,186769000,202156000,229019000,264008000,270126000,347940000
64,Retained Earnings,-94493796,-117462721,-152663968,-172682000,-205861000,-234377000,-269471000,-304784000,-319664000,-328585000
65,Other Comprehensive Income/Loss,-185134,-267498,-473972,-581000,-608000,-572000,-575000,-562000,-448000,-379000
66,Other Total Stockholders Equity,6069342,20197956,24585182,27477000,30848000,40675000,44111000,48613000,49314000,49389000
67,Total Stockholders Equity,-3043823,-9221071,34618247,20263000,11148000,7882000,3084000,7275000,-672000,68365000
68,Total Liabilities And Stockholders Equity,7992575,12673421,43069444,28245000,16810000,14497000,10682000,16599000,4460000,70879000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7992575,12673421,43069444,28245000,16810000,14497000,10682000,16599000,4460000,70879000
