,https://roic.ai/company/EXEO,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,3636,27247,28767,12362,5318,139450,24745
2,COGS,- -,- -,1617,11055,19994,9611,8186,209272,238504
3,Gross Profit,- -,- -,2019,16192,8773,2751,-2868,-69822,-213759
4,Gross Profit Ratio,- -,- -,0.5553,0.5943,0.3050,0.2225,-0.5393,-0.5007,-8.6385
5,Research and Development Exp.,193405,128108,112973,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,467498,669036,668198,1310587,1326653,1418090,1062406,1278675,1327824
7,Selling and Marketing Exp.,- -,40095,108621,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",467498,709131,776819,1310587,1326653,1418090,1062406,1278675,1327824
9,Other Expenses,- -,- -,44933,29709,31940,27650,13718,23818,22652
10,Operating Expenses,660903,837239,934725,1340296,1358593,1445740,1076124,1302493,1350476
11,COGS and Expenses,666933,862843,936342,1351351,1378587,1455351,1084310,1511765,1588980
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3267,2552,12690,5667,5975,7183,5408,5125,49361
14,Depreciation and Amortization,6030,25604,27331,29709,31940,27649,8718,21517,22652
15,EBITDA,-660903,-837239,-1064772,-1282058,-1308628,-1466668,-1031515,-1352050,-1580933
16,EBITDA ratio,-Infinity,-Infinity,-292.8416,-47.0532,-45.4906,-118.6433,-193.9667,-9.6956,-63.8890
17,Operating Income,-667111,-876183,-1094479,-1324104,-1349820,-1442989,-1078992,-1372315,-1564235
18,Operating Income ratio,-Infinity,-Infinity,-301.0118,-48.5963,-46.9225,-116.7278,-202.8943,-9.8409,-63.2142
19,Total Other Income Expenses (Gains),-3089,19776,-10314,6670,3277,-58511,33351,-6377,-88711
20,Income Before Tax,-670200,-856407,-1104793,-1317434,-1346543,-1501500,-1045641,-1378692,-1652946
21,Income Before Tax Ratio,-Infinity,-Infinity,-303.8485,-48.3515,-46.8086,-121.4609,-196.6230,-9.8866,-66.7992
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-670200,-856407,-1104793,-1317434,-1346543,-1501500,-1045641,-1378692,-1652946
24,Net Income ratio,-Infinity,-Infinity,-303.8485,-48.3515,-46.8086,-121.4609,-196.6230,-9.8866,-66.7992
25,EPS,-0.03,-0.04,-0.05,-0.05,-0.06,-0.06,-0.05,-0.05,-0.06
26,EPS Diluted,-0.03,-0.04,-0.05,-0.05,-0.06,-0.06,-0.05,-0.05,-0.06
27,Weighted Average Shares Outstanding,21519519,23021562,23706642,24147019,24365101,25610503,26403566,28075058,29536305
28,Weighted Average Shares Outstanding Diluted,21519519,23021562,23706642,24147019,24365101,25610503,26403566,28075058,29536305
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1528760/000119983515000041/0001199835-15-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000119983516000645/0001199835-16-000645-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000165495417002720/0001654954-17-002720-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000165495418002162/0001654954-18-002162-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000165495419002782/0001654954-19-002782-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000119983520000030/0001199835-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1528760/000119983521000131/0001199835-21-000131-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,130000,360000,326680,427660,131000,139530,104490,96920,170852
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,130000,360000,326680,427660,131000,139530,104490,96920,170852
34,Net Receivables,- -,- -,- -,- -,- -,- -,190,- -,645
35,Inventory,- -,- -,14960,231610,227090,64140,39460,284500,54325
36,Other Current Assets,20000,40000,110,1840,51870,125920,138840,51480,12558
37,Total Current Assets,150000,400000,341750,661110,409960,329590,282980,432900,238380
38,PP&E,110000,110000,81960,92950,64940,37290,28580,167250,238255
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,24525
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,24525
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-10000,- -,- -,10,- -,- -,-10,- -,- -
45,Total Non-Current Assets,100000,110000,81960,92960,64940,37290,28570,167250,262780
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,250000,510000,423710,754070,474900,366880,311550,600150,501160
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,81127,182513
49,Short-Term Debt,15410,9698,94698,10099,9314,9314,9314,112753,146531
50,Tax Payable,- -,- -,18025,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,34590,50302,161222,467491,758966,1131146,1433846,1719700,2084334
