,https://roic.ai/company/TRNO,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,4031000,17502000,31173000,45529000,68875000,95895000,108418000,132484000,151657000,171022000,186884000,221930000
2,COGS,- -,1287000,6330000,8986000,12771000,19161000,26655000,30325000,35874000,39988000,44201000,- -,56248000
3,Gross Profit,- -,2744000,11172000,22187000,32758000,49714000,69240000,78093000,96610000,111669000,126821000,186884000,165682000
4,Gross Profit Ratio,- -,0.6807,0.6383,0.7117,0.7195,0.7218,0.7220,0.7203,0.7292,0.7363,0.7415,1.0000,0.7466
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,4122000,5407000,6403000,8423000,9496000,14846000,19319000,19681000,21503000,23924000,23489000,26964000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,4122000,5407000,6403000,8423000,9496000,14846000,19319000,19681000,21503000,23924000,23489000,26964000
9,Other Expenses,- -,1263000,4899000,9133000,12481000,19170000,36026000,34399000,37870000,40816000,44015000,25607000,50687000
10,Operating Expenses,- -,5385000,10306000,15536000,20904000,28666000,50872000,53718000,57551000,62319000,67939000,49096000,77651000
11,COGS and Expenses,- -,6672000,16636000,24522000,33675000,47827000,77527000,84043000,93425000,102307000,112140000,118731000,133899000
12,Interest Income ,- -,64000,- -,37000,109000,1000,18000,24000,169000,3664000,3815000,873000,822000
13,Interest Expense (Gain),- -,524000,2612000,5472000,6214000,6591000,9639000,13053000,16777000,18211000,16338000,15997000,18054000
14,Depreciation and Amortization,- -,1551000,5405000,9532000,11617000,18071000,34101000,33061000,35709000,37122000,39333000,-5420000,43001000
15,EBITDA,- -,-3315000,4288000,19069000,24472000,35380000,58341000,61232000,105581000,118622000,111187000,90372000,148309000
16,EBITDA ratio,- -,-0.8224,0.2450,0.6117,0.5375,0.5137,0.6084,0.5648,0.7969,0.7822,0.6501,0.4836,0.6683
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-2289000,-1983000,-7673000,-9403000,-10330000,-3767000,-9257000,14036000,13939000,-3366000,- -,-78428000
