,https://roic.ai/company/CI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,11494000000,13986000000,14295000000,13924000000,13712000000,18392000000,18955000000,18950000000,20038000000,21437000000,18781000000,19994000000,19115000000,19348000000,18808000000,18176000000,16684000000,16547000000,17623000000,19101000000,18414000000,21253000000,21998000000,29119000000,32380000000,34914000000,37876000000,39668000000,41616000000,48569000000,153743000000,160577000000,174272000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5535000000,5450000000,5744000000,5901000000,- -,- -,- -,- -,- -,9831000000,11934000000,14053000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5535000000,5450000000,5744000000,5901000000,- -,- -,- -,- -,- -,9831000000,11934000000,14053000000,14072000000,13030000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14891000000,14816000000,15990000000,13184000000,11066000000,13582000000,14088000000,26642000000,30204000000,31610000000,34549000000,36750000000,28033000000,32556000000,131436000000,- -,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14891000000,14816000000,15990000000,18719000000,16516000000,19326000000,19989000000,26642000000,30204000000,31610000000,34549000000,36750000000,37864000000,44490000000,145489000000,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,17587000000,18704000000,17349000000,18388000000,19427000000,17562000000,18497000000,17618000000,19917000000,17905000000,15801000000,14891000000,14816000000,15992000000,18723000000,16516000000,19383000000,20030000000,26642000000,30204000000,31610000000,34549000000,36689000000,38010000000,44988000000,147173000000,149709000000,167490000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182000000,202000000,- -,264000000,- -,- -,- -,252000000,498000000,1682000000,1438000000,1208000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255000000,318000000,225000000,233000000,244000000,221000000,246000000,230000000,221000000,208000000,194000000,244000000,268000000,292000000,345000000,560000000,597000000,588000000,585000000,610000000,566000000,695000000,3651000000,2802000000,2923000000
15,EBITDA,- -,- -,- -,- -,696000000,364000000,580000000,153000000,165000000,805000000,251000000,1601000000,1905000000,2328000000,2519000000,1730000000,1741000000,-349000000,1197000000,2466000000,2363000000,1935000000,1820000000,626000000,2164000000,2340000000,2514000000,3036000000,3035000000,3900000000,3929000000,3613000000,4429000000,4765000000,11887000000,15077000000,10863000000
16,EBITDA ratio,- -,- -,- -,- -,0.0606,0.0260,0.0406,0.0110,0.0120,0.0438,0.0132,0.0845,0.0951,0.1086,0.1341,0.0865,0.0911,-0.0180,0.0636,0.1357,0.1416,0.1169,0.1033,0.0328,0.1175,0.1101,0.1143,0.1043,0.0937,0.1117,0.1037,0.0911,0.1064,0.0981,0.0773,0.0939,0.0623
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,4480000000,5041000000,5034000000,5103000000,5024000000,3702000000,- -,3748000000,3611000000,- -,3940000000,- -,- -,2615000000,2005000000,1402000000,1680000000,1701000000,1744000000,- -,2239000000,2536000000,2966000000,2979000000,5479000000,103099000000,107769000000,-1153000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,805000000,251000000,1601000000,1650000000,2010000000,1219000000,1497000000,1497000000,-569000000,903000000,2375000000,1793000000,1731000000,1631000000,378000000,1898000000,1870000000,1968000000,2477000000,2176000000,3304000000,3327000000,2979000000,3606000000,3581000000,6570000000,10868000000,6782000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0438,0.0132,0.0845,0.0823,0.0938,0.0649,0.0749,0.0783,-0.0294,0.0480,0.1307,0.1075,0.1046,0.0925,0.0198,0.1031,0.0880,0.0895,0.0851,0.0672,0.0946,0.0878,0.0751,0.0866,0.0737,0.0427,0.0677,0.0389
22,Income Tax expense (Gain),-300000,166000000,147400000,97900000,134000000,34000000,131000000,-158000000,-69000000,251000000,40000000,545000000,564000000,718000000,520000000,510000000,508000000,-172000000,283000000,798000000,517000000,572000000,511000000,90000000,594000000,521000000,640000000,853000000,698000000,1210000000,1250000000,1136000000,1374000000,935000000,1450000000,2379000000,1367000000
