,https://roic.ai/company/AGEN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,100000,442627,4555000,3411518,4449685,707073,629978,692135,5552307,2651081,3334444,3359611,2755772,15960716,3045207,6977455,24817025,22573303,42877086,36783551,150048000,88170000,295665000
2,COGS,- -,-1312614,1064000,1337197,1941521,4799,- -,- -,- -,- -,- -,122946,- -,11236167,13541484,22349327,70444259,94971379,116125299,124600359,168339000,144966000,3470000
3,Gross Profit,- -,1755241,3491000,2074321,2508164,702274,629978,692135,5552307,2651081,3334444,3236665,2755772,4724549,-10496277,-15371872,-45627234,-72398076,-73248213,-87816808,-18291000,-56796000,292195000
4,Gross Profit Ratio,- -,3.9655,0.7664,0.6080,0.5637,0.9932,1.0000,1.0000,1.0000,1.0000,1.0000,0.9634,1.0000,0.2960,-3.4468,-2.2031,-1.8385,-3.2072,-1.7083,-2.3874,-0.1219,-0.6442,0.9883
5,Research and Development Exp.,11000000,17575144,31357000,39982656,48526842,41717626,47079493,28643510,21788541,20662987,16902537,12877695,11022391,10564195,13005366,22349327,70444259,94971379,116125299,124600359,168339000,-142617000,244422000
6,General and Administrative Exp.,6900000,9189607,13761000,19466501,21716531,25784360,27464342,21287599,17041339,19831858,14110514,12111507,10820187,11465092,14483835,21249710,28370001,33125690,33741183,37339748,46041000,59218000,-76359000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6900000,9189607,13761000,19466501,21716531,25784360,27464342,21287599,17041339,19831858,14110514,12111507,10820187,11465092,14483835,21249710,28370001,33125690,33741183,37339748,46041000,59218000,-76359000
9,Other Expenses,1000000,1675816,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10564195,-13005366,-22349327,-70444259,-94971379,-116125299,-124600359,-168339000,142617000,- -
10,Operating Expenses,18900000,28440567,45118000,59449157,70243373,67501986,74543835,49931109,38829880,40494845,31013051,24989202,21842578,11465092,14483835,21249710,28370001,33125690,33741183,37339748,46041000,59218000,168063000
11,COGS and Expenses,18900000,27127953,46182000,60786354,72184894,67506785,74543835,49931109,38829880,40494845,31013051,25112148,21842578,22701259,28025319,43599037,98814260,128097069,149866482,161940107,214380000,204184000,171533000
12,Interest Income ,- -,6180798,3373000,1590033,1165911,1459976,2772799,1880049,1467067,- -,137482,37560,18787,23336,7931,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,424646,690000,365166,247072,530880,2963496,3288660,4985162,5080033,5344713,4871446,4210097,4718037,2427729,1261626,6599083,17316073,18868494,25272557,41451000,61078000,65719000
14,Depreciation and Amortization,1000000,1675816,4149000,5466145,6485355,4809663,5593661,5655595,5420330,4673959,4108538,3437767,2252412,1622736,586343,1583960,14202822,4947787,6006299,6288001,6662000,7179000,6788000
15,EBITDA,-17100000,-44628712,-68702000,-50046594,-59201153,-50821182,-65546397,-42936294,-26389565,-18943657,-20864042,-13597090,-16813666,-4983998,-27058597,-39640588,-72466283,-104731315,-95817699,-128131558,-59544000,-112657000,43783000
16,EBITDA ratio,-171.0000,-100.8269,-15.0828,-14.6699,-13.3046,-71.8754,-104.0455,-62.0346,-4.7529,-7.1456,-6.2571,-4.0472,-6.1013,-0.3123,-8.8856,-5.6812,-2.9200,-4.6396,-2.2347,-3.4834,-0.3968,-1.2777,0.1481
17,Operating Income,-18800000,-26685326,-41627000,-57374836,-67735209,-69687712,-73913857,-50613267,-33277573,-37843764,-27678607,-21752537,-19086806,-6740543,-24980112,-43320882,-80700936,-107476766,-103801396,-123821556,-70137000,-117235000,25747000
18,Operating Income ratio,-188.0000,-60.2885,-9.1387,-16.8180,-15.2225,-98.5580,-117.3277,-73.1263,-5.9935,-14.2748,-8.3008,-6.4747,-6.9261,-0.4223,-8.2031,-6.2087,-3.2518,-4.7612,-2.4209,-3.3662,-0.4674,-1.3296,0.0871
19,Total Other Income Expenses (Gains),- -,-25800000,-34596000,272064,882790,-2880346,1000,-1232964,611,14226148,2568545,4680120,1941,-4584228,-5092557,834708,-12567252,-19518409,-16891096,-38222460,-41423000,-65656000,-54471000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11324771,-30072669,-42486174,-93268188,-126995175,-120692492,-162044016,-111560000,-182891000,-28724000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.7095,-9.8754,-6.0891,-3.7582,-5.6259,-2.8148,-4.4053,-0.7435,-2.0743,-0.0972
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5387067,- -,- -,- -,- -,- -,- -
23,Net Income,-18100000,-46729174,-73541000,-55877905,-65933580,-56161725,-74103554,-51880549,-36795057,-28697649,-30317293,-21906303,-23276175,-11324771,-30072669,-42486174,-87881121,-126995175,-120692492,-159692116,-107657000,-180914000,-28724000
24,Net Income ratio,-181.0000,-105.5724,-16.1451,-16.3792,-14.8176,-79.4285,-117.6288,-74.9573,-6.6270,-10.8249,-9.0922,-6.5205,-8.4463,-0.7095,-9.8754,-6.0891,-3.5412,-5.6259,-2.8148,-4.3414,-0.7175,-2.0519,-0.0972
25,EPS,-6.00,-11.40,-15.66,-10.20,-10.20,-7.62,-9.84,-6.90,-4.86,-2.82,-2.34,-1.38,-1.21,-0.51,-1.12,-0.71,-1.13,-1.46,-1.23,-1.44,-0.80,-1.05,-0.17
26,EPS Diluted,-6.00,-11.40,-15.66,-10.20,-10.20,-7.62,-9.84,-6.90,-4.86,-2.82,-2.34,-1.38,-1.21,-0.51,-1.12,-0.71,-1.13,-1.46,-1.23,-1.44,-0.80,-1.05,-0.17
27,Weighted Average Shares Outstanding,3024006,4109808,4690442,5484229,6498230,7447518,7596239,7634872,7751945,10541597,13169526,16108385,19898632,23629000,29766000,59754000,78212000,87070000,98415000,110772328,134982000,172504000,172504000
28,Weighted Average Shares Outstanding Diluted,3024006,4109808,4690442,5484229,6498230,7447518,7596239,7634872,7751945,10541597,13169526,16108385,19898632,23629000,29766000,59754000,78212000,87070000,98415000,110772328,134982000,172504000,172504000
