,https://roic.ai/company/VEII,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,3588390,3737170,3999400,6455700,7973030,8309130,20551471
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,2291740,3257810,2870640,5013420,6545010,6542410,18497409
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,1296650,479360,1128760,1442280,1428020,1766720,2054062
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3613,0.1283,0.2822,0.2234,0.1791,0.2126,0.0999
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,547983,296884,203996,119683,52833,909079,1116054,1068279,1265559,1481242,1894419,1869455
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,547983,296884,203996,119683,52833,909079,1116054,1068279,1265559,1481242,1894419,1869455
9,Other Expenses,- -,- -,10466,63475,- -,- -,- -,- -,- -,- -,- -,- -,-10569,-24232,-20508,-111559
10,Operating Expenses,- -,- -,10466,63475,547983,296884,203996,119683,52833,909079,1116054,1068279,1254990,1457010,1873911,1757896
11,COGS and Expenses,- -,- -,10000,60000,550000,300000,230000,119683,52833,3208640,4380100,3935870,6394210,7997520,8428440,20255305
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,171,189,239,222,364,505,5517
13,Interest Expense (Gain),- -,- -,104,1117,191,925,1315,3830,3425,488,18467,24726,17195,11817,21781,30664
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,52819,52762,56042,175088,199845,223443,555186
15,EBITDA,- -,- -,-10000,-60000,-550000,-310000,-230000,-119683,-52833,653237,-457911,169858,255413,406202,310084,712081
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.1820,-0.1225,0.0425,0.0396,0.0509,0.0373,0.0346
17,Operating Income,- -,- -,-10466,-63475,- -,-296884,-213930,-121377,-54907,379751,-642931,63523,61487,-11670,-119313,126326
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,0.1058,-0.1720,0.0159,0.0095,-0.0015,-0.0144,0.0061
19,Total Other Income Expenses (Gains),- -,- -,466,3475,- -,-13116,-16070,-87237,39319,220169,113801,25567,1653,206210,184163,-95
20,Income Before Tax,- -,- -,-10000,-60000,-550000,-310000,-230000,-208614,-15588,599920,-529130,89090,63140,194540,64850,126231
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.1672,-0.1416,0.0223,0.0098,0.0244,0.0078,0.0061
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,143980,13540,35200,-7800,-10620,11420,20727
23,Net Income,- -,- -,-10000,-60000,-550000,-310000,-230000,-208614,-15588,455950,-542680,53890,70930,205160,53440,105504
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.1271,-0.1452,0.0135,0.0110,0.0257,0.0064,0.0051
25,EPS,- -,- -,-1.62,-0.03,-0.06,-0.06,-0.02,-0.02,-0.00,0.02,-0.02,0.00,0.00,0.01,0.00,0.00
26,EPS Diluted,- -,- -,-1.62,-0.03,-0.06,-0.06,-0.02,-0.02,-0.00,0.02,-0.02,0.00,0.00,0.01,0.00,0.00
27,Weighted Average Shares Outstanding,- -,- -,6506519,2188862,7357836,8624366,10191364,12690431,12000030,26569067,28716956,29656130,29656130,29656130,29656130,29656130
28,Weighted Average Shares Outstanding Diluted,- -,- -,6506519,2188862,7357836,8624366,10191364,12690431,12000030,26569067,28716956,29656130,29656130,29656130,29656130,29656130
