,https://roic.ai/company/UI,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,63121000,136952000,197874000,353517000,320823000,572464000,595947000,666395000,865268000,1016861000,1161733000,1284500000,1898094000
2,COGS,37181000,82404000,117062000,202514000,185489000,318997000,333760000,341600000,469560000,573289000,624129000,676328000,985818000
3,Gross Profit,25940000,54548000,80812000,151003000,135334000,253467000,262187000,324795000,395708000,443572000,537604000,608172000,912276000
4,Gross Profit Ratio,0.4110,0.3983,0.4084,0.4271,0.4218,0.4428,0.4400,0.4874,0.4573,0.4362,0.4628,0.4735,0.4806
5,Research and Development Exp.,5166000,31704000,11374000,16699000,20955000,33962000,54565000,57765000,69094000,74324000,82070000,89405000,116171000
6,General and Administrative Exp.,- -,- -,- -,9012000,21775000,23560000,21607000,33269000,36853000,43121000,43237000,40569000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,9012000,21775000,23560000,21607000,33269000,36853000,43121000,43237000,40569000,- -
9,Other Expenses,2946000,18162000,7358000,- -,- -,- -,- -,- -,- -,- -,- -,- -,53513000
10,Operating Expenses,8112000,49866000,18732000,25711000,42730000,57522000,76172000,91034000,105947000,117445000,125307000,129974000,169684000
11,COGS and Expenses,45293000,132270000,135794000,228225000,228219000,376519000,409932000,432634000,575507000,690734000,749436000,806302000,1155502000
12,Interest Income ,118000,64000,78000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28002000,14938000
14,Depreciation and Amortization,84000,144000,213000,602000,1963000,2819000,4971000,6294000,7359000,7310000,7556000,7695000,12100000
15,EBITDA,18030000,5407000,62372000,124625000,93716000,197430000,150719000,246234000,292383000,321452000,389045000,485893000,754692000
16,EBITDA ratio,0.2856,0.0395,0.3152,0.3525,0.2921,0.3449,0.2529,0.3695,0.3379,0.3161,0.3349,0.3783,0.3976
17,Operating Income,17828000,4682000,62080000,125292000,92604000,195945000,146878000,242055000,289761000,326127000,394297000,478198000,742592000
18,Operating Income ratio,0.2824,0.0342,0.3137,0.3544,0.2886,0.3423,0.2465,0.3632,0.3349,0.3207,0.3394,0.3723,0.3912
19,Total Other Income Expenses (Gains),118000,581000,79000,-1269000,-851000,-1334000,-1130000,-2115000,-4737000,-11985000,-12808000,-28002000,-14938000
20,Income Before Tax,17946000,5263000,62159000,124023000,91753000,194611000,145748000,239940000,285024000,314142000,381489000,450196000,727654000
21,Income Before Tax Ratio,0.2843,0.0384,0.3141,0.3508,0.2860,0.3400,0.2446,0.3601,0.3294,0.3089,0.3284,0.3505,0.3834
22,Income Tax expense (Gain),8057000,10719000,12432000,21434000,11263000,17674000,16085000,26324000,27518000,117852000,58795000,69899000,111070000
23,Net Income,9889000,-5456000,49727000,102589000,80490000,176937000,129663000,213616000,257506000,196290000,322694000,380297000,616584000
24,Net Income ratio,0.1567,-0.0398,0.2513,0.2902,0.2509,0.3091,0.2176,0.3206,0.2976,0.1930,0.2778,0.2961,0.3248
25,EPS,0.16,-0.11,0.50,-0.12,0.91,2.02,1.47,2.53,3.16,2.54,4.52,5.81,9.79
26,EPS Diluted,0.16,-0.11,0.48,-0.12,0.89,1.97,1.45,2.49,3.09,2.51,4.51,5.80,9.78
27,Weighted Average Shares Outstanding,62717000,62717000,99127000,83460000,88314000,87772000,88008000,84402000,81478000,77179000,71435000,65427000,62991000
28,Weighted Average Shares Outstanding Diluted,62717000,62717000,102942000,83460000,90259000,89715000,89569000,85784000,83252000,78331000,71602000,65514000,63052000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1511737/000119312512408603/0001193125-12-408603-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173713000013/0001511737-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173714000024/0001511737-14-000024-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173715000022/0001511737-15-000022-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173716000040/ubnt-06302016x10k.htm,https://www.sec.gov/Archives/edgar/data/1511737/000162828017008894/0001628280-17-008894-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173718000012/0001511737-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173719000026/0001511737-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/1511737/000151173720000022/0001511737-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1511737/000151173721000036/0001511737-21-000036-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13674000,28415000,76361000,122060000,227826000,347097000,446401000,551031000,604198000,666681000,238147000,142617000,249418000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69866000,925000,1320000
33,Cash and Short-Term Investments,13674000,28415000,76361000,122060000,227826000,347097000,446401000,551031000,604198000,666681000,308013000,143542000,250738000
34,Net Receivables,7545000,36288000,39811000,75644000,38087000,55163000,66104000,82790000,140561000,174521000,156043000,142160000,172289000
35,Inventory,1280000,4803000,5663000,7734000,15880000,46349000,37031000,57113000,142048000,102220000,264281000,285943000,233767000
36,Other Current Assets,3878000,11622000,6267000,2459000,1681000,17115000,31810000,37707000,65527000,57930000,25474000,15002000,37362000
37,Total Current Assets,26377000,81128000,128102000,207897000,283474000,465724000,581346000,728641000,952334000,1001352000,753811000,586647000,694156000
38,PP&E,285000,756000,1022000,4471000,5976000,7260000,15602000,12953000,12916000,14328000,13618000,102966000,119072000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,437000,460000,3257000,3063000,8684000
41,Intangible Assets,- -,- -,- -,748000,1029000,799000,- -,616000,437000,460000,3257000,3063000,8684000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36585000,513000,1035000
43,Tax Assets,- -,- -,324000,232000,4000,1255000,1515000,4195000,5133000,3106000,2910000,4102000,4776000
44,Other Non-Current Assets,11000,206000,2230000,388000,1857000,1113000,2109000,1646000,1891000,3331000,65684000,40160000,63262000
45,Total Non-Current Assets,296000,962000,3576000,5839000,8866000,10427000,19226000,19410000,20377000,21225000,122054000,150804000,196829000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,26673000,82090000,131678000,213736000,292340000,476151000,600572000,748051000,972711000,1022577000,875865000,737451000,890985000
48,Accounts Payable,1756000,5681000,14758000,26450000,36187000,33933000,43856000,51510000,49008000,14098000,38722000,155547000,112071000
49,Short-Term Debt,- -,- -,- -,6968000,5013000,- -,10000000,11250000,14743000,24425000,30675000,31123000,33014000
50,Tax Payable,2415000,4899000,4428000,946000,1257000,2499000,1108000,1488000,1707000,5780000,25556000,30961000,14496000
51,Deferred Revenue,- -,10108000,3409000,1040000,5814000,6053000,2601000,3773000,7159000,9279000,18320000,18525000,24310000
52,Other Current Liabilities,3898000,10336000,19634000,17977000,12407000,12329000,13677000,24387000,27578000,65114000,91469000,59102000,107017000
53,Total Current Liabilities,5654000,26125000,37801000,52435000,59421000,52315000,70134000,90920000,98488000,112916000,179186000,264297000,276412000
54,Long-Term Debt,- -,- -,- -,22623000,71116000,72254000,87500000,192250000,241821000,460352000,464700000,628437000,499288000
55,Deferred Revenue,- -,- -,- -,- -,2510000,972000,974000,1303000,2615000,4275000,6525000,6254000,8564000
56,Deferred Tax Liabilities,2904000,1986000,1870000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,106814000,32000,7727000,11857000,15346000,19810000,23202000,28023000,129286000,126177000,133921000,104022000
58,Total Non-Current Liabilities,2904000,108800000,1902000,30350000,85483000,88572000,108284000,216755000,272459000,593913000,597402000,768612000,611874000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25589000,41407000
61,Total Liabilities,8558000,134925000,39703000,82785000,144904000,140887000,178418000,307675000,370947000,706829000,776588000,1032909000,888286000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,41000,41000,99000,92000,87000,88000,87000,82000,80000,74000,69000,64000,63000
