,https://roic.ai/company/ZVO,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,28619000,85709000,218290000,454324000,713233000,933349000,968171000,768623000,638705000,561729000,527090000,478397000,443373000,417795000,40053000
2,COGS,- -,29837000,62822000,120089000,187399000,259138000,355273000,395928000,321312000,281496000,263898000,237248000,217700000,209730000,- -
3,Gross Profit,- -,55872000,155468000,334235000,525834000,674211000,612898000,372695000,317393000,280233000,263192000,241149000,225673000,208065000,40053000
4,Gross Profit Ratio,- -,0.6519,0.7122,0.7357,0.7373,0.7224,0.6330,0.4849,0.4969,0.4989,0.4993,0.5041,0.5090,0.4980,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,15892000,- -,106784000,97863000,133110000,70975000,76894000,66374000,56588000,48843000,47381000,52980000,72406000,47352000
7,Selling and Marketing Exp.,- -,35997000,- -,145721000,211550000,267354000,339209000,235358000,236708000,197584000,202206000,175389000,168751000,170791000,91620000
8,"Selling, General and Administrative Exp.",- -,51889000,122048000,252505000,309413000,400464000,410184000,312252000,303082000,254172000,251049000,222770000,221731000,243197000,138972000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,51889000,122048000,252505000,309413000,400464000,410184000,312252000,303082000,254172000,251049000,222770000,221731000,243197000,138972000
11,COGS and Expenses,- -,81726000,184870000,372594000,496812000,659602000,765457000,708180000,624394000,535668000,514947000,460018000,439431000,452927000,459021000
12,Interest Income ,- -,- -,- -,789000,1568000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,279000,210000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,1236000,2452000,5824000,8565000,12743000,17424000,21666000,23317000,19578000,13082000,8863000,6786000,10229000,11403000
15,EBITDA,-5150000,4687000,35954000,88343000,226554000,289258000,223508000,85455000,40512000,-20611000,-24833000,18226000,3840000,-45353000,-37549000
16,EBITDA ratio,-0.1800,0.0547,0.1647,0.1944,0.3176,0.3099,0.2309,0.1112,0.0634,-0.0367,-0.0471,0.0381,0.0087,-0.1086,-0.9375
17,Operating Income,- -,3983000,33420000,81730000,216421000,273747000,202714000,60443000,14311000,-42295000,-40221000,7852000,-3993000,-56597000,-61900000
18,Operating Income ratio,- -,0.0465,0.1531,0.1799,0.3034,0.2933,0.2094,0.0786,0.0224,-0.0753,-0.0763,0.0164,-0.0090,-0.1355,-1.5455
19,Total Other Income Expenses (Gains),- -,-532000,82000,510000,1358000,2768000,3370000,3346000,2884000,2106000,2306000,1511000,1047000,1015000,-120000
20,Income Before Tax,- -,3451000,33502000,82240000,217779000,276515000,206084000,63789000,17195000,-40189000,-37915000,9363000,-2946000,-55582000,-62020000
21,Income Before Tax Ratio,- -,0.0403,0.1535,0.1810,0.3053,0.2963,0.2129,0.0830,0.0269,-0.0715,-0.0719,0.0196,-0.0066,-0.1330,-1.5484
