,https://roic.ai/company/CYTH,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,384590,289425,522372,394532,464692,454360,542313,751176,494937,623874,802372,1031849,1044941,1693335,1567436,950455,1502908,1237756,1011477,1007198,903376,1585756
2,COGS,99221,34026,84483,45433,78827,66657,125188,118403,99319,110830,114660,273756,139676,426022,272641,124425,198429,132918,105026,75493,66398,156080
3,Gross Profit,285369,255399,437889,349099,385865,387703,417125,632773,395618,513044,687712,758093,905265,1267313,1294795,826030,1304479,1104838,906451,931705,836978,1429676
4,Gross Profit Ratio,0.7420,0.8824,0.8383,0.8848,0.8304,0.8533,0.7692,0.8424,0.7993,0.8224,0.8571,0.7347,0.8663,0.7484,0.8261,0.8691,0.8680,0.8926,0.8962,0.9250,0.9265,0.9016
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94133,658505,1864726,2292892,2711275,4869160,6096445,9153780
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,520057,693326,678638,799604,560171,639536,1534559,2223391,2643860,2624966,2430244,3433472,3675709,6498158
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10813,8913,10899,7569,7159,7847,5643,5885,5006,18336
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,520057,693326,678638,799604,570984,648449,1545458,2230960,2651019,2632813,2435887,3439357,3680715,6516494
9,Other Expenses,575207,279110,240536,263495,664779,500316,350675,439104,22869,20653,20940,32747,159928,188764,217518,202015,130953,19771,13945,13976,19951,27535
10,Operating Expenses,575207,279110,240536,263495,664779,500316,350675,439104,542926,713979,699578,832351,730912,837213,1857109,3091480,4646698,4945476,5161107,8322493,9797111,15697809
11,COGS and Expenses,674428,313136,325019,308928,743606,566973,475863,557507,642245,824809,814238,1106107,870588,1263235,2129750,3215905,4845127,5078394,5266133,8397986,9863509,15853889
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3510,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),28294,35435,30924,22599,12027,13956,11049,10748,1816,- -,4305,25808,61797,53865,33673,31290,28603,- -,- -,- -,- -,- -
14,Depreciation and Amortization,26414,51293,24190,37815,27762,35011,27463,24368,22869,20577,20940,32747,142642,148041,152446,169030,107096,9271,10124,5681,12763,16827
15,EBITDA,-261120,-27154,220694,130392,-521704,101506,-63313,238670,-188547,-172550,12717,-39212,303642,486815,-406568,-2231050,-4088142,-3823789,-4244909,-7526852,-8928840,-14269828
16,EBITDA ratio,-0.6790,-0.0938,0.4225,0.3305,-1.1227,0.2234,-0.1167,0.3177,-0.3810,-0.2766,0.0158,-0.0380,0.2906,0.2875,-0.2594,-2.3473,-2.7202,-3.0893,-4.1967,-7.4731,-9.8839,-8.9988
17,Operating Income,-289838,-23711,197353,85604,-278914,-112613,-45903,193669,-239474,-200935,-11866,-74258,157490,336645,-562314,-2406750,-4205887,-3843321,-4266806,-7544560,-8961405,-14290060
18,Operating Income ratio,-0.7536,-0.0819,0.3778,0.2170,-0.6002,-0.2478,-0.0846,0.2578,-0.4838,-0.3221,-0.0148,-0.0720,0.1507,0.1988,-0.3587,-2.5322,-2.7985,-3.1051,-4.2184,-7.4906,-9.9199,-9.0115
19,Total Other Income Expenses (Gains),-25990,-32830,-31773,-15626,-282579,165152,-55922,9885,26242,7808,-662,-23509,-58287,-51736,-30373,-24620,-17954,10261,11773,12027,19802,3405
20,Income Before Tax,-315828,-56541,165580,69978,-561493,52539,-101825,203554,-213232,-193127,-12528,-97767,99203,284909,-592687,-2431370,-4223841,-3833060,-4255033,-7532533,-8941603,-14286655
21,Income Before Tax Ratio,-0.8212,-0.1954,0.3170,0.1774,-1.2083,0.1156,-0.1878,0.2710,-0.4308,-0.3096,-0.0156,-0.0947,0.0949,0.1683,-0.3781,-2.5581,-2.8104,-3.0968,-4.2068,-7.4787,-9.8980,-9.0094
22,Income Tax expense (Gain),195000,- -,- -,-225000,- -,225000,- -,-450000,200000,- -,25000,- -,25000,80000,- -,120000,- -,- -,- -,- -,- -,- -
23,Net Income,-510828,-113882,165580,294978,-561493,-172461,-101825,653554,-413232,-193127,-37528,-97767,74203,204909,-592687,-2551370,-4223841,-3833060,-4255033,-7532533,-8941603,-14286655
24,Net Income ratio,-1.3282,-0.3935,0.3170,0.7477,-1.2083,-0.3796,-0.1878,0.8700,-0.8349,-0.3096,-0.0468,-0.0947,0.0710,0.1210,-0.3781,-2.6844,-2.8104,-3.0968,-4.2068,-7.4787,-9.8980,-9.0094
25,EPS,-14.00,-2.00,3.00,6.00,-8.00,-1.00,-0.70,3.60,-2.00,-1.00,-1.00,-1.00,1.00,1.00,-1.00,-5.00,-7.00,-5.00,-5.00,-7.00,-5.60,-2.24
