,https://roic.ai/company/DYNT,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7400000,6600000,6300000,6600000,6000000,4900000,6100000,6800000,10200000,12300000,16000000,15173050,16757821,16337318,16896992,20587273,20404368,19513136,17837104,32592507,32406891,32962392,32692859,31664181,29538275,27444223,29117528,30411757,35758330,64414910,62565117,53409046,47798654
2,COGS,3400000,3300000,3300000,3100000,3100000,2600000,3300000,3700000,5600000,7100000,9100000,8894080,9712475,9840778,10709836,12386978,12105079,12221375,10925316,20450570,19996436,20316818,20208035,19720948,18451673,17423851,20048069,20057614,24249832,43994235,43391518,38311169,34913015
3,Gross Profit,4000000,3300000,3000000,3500000,2900000,2300000,2800000,3100000,4600000,5200000,6900000,6278970,7045346,6496540,6187156,8200295,8299289,7291761,6911788,12141937,12410455,12645574,12484824,11943233,11086602,10020372,9069459,10354143,11508498,20420675,19173599,15097877,12885639
4,Gross Profit Ratio,0.5405,0.5000,0.4762,0.5303,0.4833,0.4694,0.4590,0.4559,0.4510,0.4228,0.4313,0.4138,0.4204,0.3977,0.3662,0.3983,0.4067,0.3737,0.3875,0.3725,0.3830,0.3836,0.3819,0.3772,0.3753,0.3651,0.3115,0.3405,0.3218,0.3170,0.3065,0.2827,0.2696
5,Research and Development Exp.,- -,- -,- -,- -,- -,700000,600000,600000,700000,600000,600000,702754,805363,668426,1038753,1146715,1302722,1756281,1492774,1354743,993338,914932,1383712,1410406,1120887,992729,926954,1070383,1081373,1194013,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,1700000,2100000,3000000,3500000,4800000,5031577,5419935,5053765,4948385,5528835,5748529,5239462,5541860,13473190,10709712,10641795,10431463,10506460,9860964,9213433,9229405,10978606,12101539,20477556,19969696,18091038,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3000000,2600000,2500000,2700000,2600000,2000000,1700000,2100000,3000000,3500000,4800000,5031577,5419935,5053765,4948385,5528835,5748529,5239462,5541860,13473190,10709712,10641795,10431463,10506460,9860964,9213433,9229405,10978606,12101539,20477556,19969696,18091038,16646095
9,Other Expenses,- -,100000,- -,100000,100000,200000,200000,200000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6636466,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3000000,2700000,2500000,2800000,2700000,2900000,2500000,2900000,4000000,4100000,5400000,5734331,6225298,5722191,5987138,6675550,7051251,6995743,7034634,21464399,11703050,11556727,11815175,11916866,10981851,10206162,10156359,12048989,13182912,21671569,19969696,18091038,16646095
11,COGS and Expenses,6400000,6000000,5800000,5900000,5800000,5500000,5800000,6600000,9600000,11200000,14500000,14628411,15937773,15562969,16696974,19062528,19156330,19217118,17959950,41914969,31699486,31873545,32023210,31637814,29433524,27630013,30204428,32106603,37432744,65665804,63361214,56402207,51559110
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7423,9394,16395,16183,681,44,4920,2885,508,- -,- -,- -,- -
