,https://roic.ai/company/PGAI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,510000,13926000,136000,176000,159000,313000,356000,719000,467000,420000,117000,71000,64000,1000,16000,- -,- -,16000,8000,9007000,13000,5000,3000,2000,- -
2,COGS,12000,8435000,3000,39000,40000,65000,83000,73000,24000,- -,5000,- -,- -,- -,1000,- -,- -,- -,- -,747000,- -,- -,- -,- -,15000
3,Gross Profit,498000,5491000,133000,137000,119000,248000,273000,646000,443000,420000,112000,71000,64000,1000,15000,- -,- -,- -,- -,8260000,- -,- -,- -,2000,-15000
4,Gross Profit Ratio,0.9765,0.3943,0.9779,0.7784,0.7484,0.7923,0.7669,0.8985,0.9486,1.0000,0.9573,1.0000,1.0000,1.0000,0.9375,- -,- -,- -,- -,0.9171,- -,- -,- -,1.0000,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,858000,453000,476000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112000,- -,119000,213000,125000,208000,159000,225000,155000,95000,24000
7,Selling and Marketing Exp.,8000,20000,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",866000,473000,484000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112000,- -,119000,213000,125000,208000,159000,225000,155000,95000,24000
9,Other Expenses,287000,7000,51000,-2000,161000,239000,242000,153000,123000,173000,216000,126000,124000,122000,9000,216000,9000,9000,9000,6000,5000,5000,5000,-70000,- -
10,Operating Expenses,1153000,480000,535000,-2000,161000,239000,242000,153000,123000,173000,216000,126000,124000,122000,121000,216000,128000,222000,134000,214000,164000,230000,160000,25000,24000
11,COGS and Expenses,1165000,8915000,538000,37000,201000,304000,325000,226000,147000,173000,221000,126000,124000,122000,122000,216000,128000,222000,134000,961000,164000,230000,160000,25000,39000
12,Interest Income ,29000,82000,71000,43000,41000,48000,39000,36000,55000,83000,86000,71000,64000,45000,40000,29000,16000,- -,- -,2000,2000,2000,1000,- -,- -
