,https://roic.ai/company/EXEL,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2272000,10500000,24759000,41006000,44322000,51540000,52857000,75961000,98670000,113470000,- -,151759000,185045000,289636000,47450000,31338000,25111000,37172000,191454000,452477000,853826000,967775000,987538000,1434970000
2,COGS,- -,-5700000,-18597000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1118000,2043000,3895000,6552000,15066000,26348000,33097000,36272000,52873000
3,Gross Profit,- -,16200000,43356000,- -,- -,- -,- -,- -,- -,- -,- -,151759000,185045000,289636000,- -,30220000,23068000,33277000,184902000,437411000,827478000,934678000,951266000,1382097000
4,Gross Profit Ratio,- -,1.5429,1.7511,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,- -,0.9643,0.9186,0.8952,0.9658,0.9667,0.9691,0.9658,0.9633,0.9632
5,Research and Development Exp.,12096000,21700000,48456000,82700000,112014000,127622000,137724000,141135000,185481000,225375000,- -,234702000,210678000,156836000,128878000,178763000,189101000,96351000,95967000,112171000,182257000,336964000,547851000,693716000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31837000,50958000,50829000,57305000,116145000,159362000,206366000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38964000,33020000,33129000,31837000,50958000,50829000,57305000,116145000,159362000,206366000,- -,- -,401715000
9,Other Expenses,5472000,13300000,37764000,26947000,19424000,19252000,21684000,28817000,39943000,82078000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228244000,293355000,- -
10,Operating Expenses,17568000,35000000,86220000,109647000,131438000,146874000,159408000,169952000,225424000,307453000,- -,273666000,243698000,189965000,160715000,229721000,239930000,153656000,212112000,271533000,388623000,565208000,841206000,1095431000
11,COGS and Expenses,17568000,29300000,67623000,109647000,131438000,146874000,159408000,169952000,225424000,307453000,- -,273666000,243698000,189965000,160715000,230839000,241973000,157551000,218664000,286599000,414971000,598305000,877478000,1148304000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1510000,138000,1462000,1986000,1223000,4341000,412000,4863000,4883000,12840000,27959000,19865000,7672000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12672000,9340000,16259000,27088000,45347000,48607000,48673000,33060000,8679000,- -,- -,- -,- -
