,https://roic.ai/company/TRX,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,1,2,2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288519,258068,384708,478699,421983,386845,353115,295858,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-288519,-258068,-384708,-478699,-421983,-386845,-353115,-295858,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3345058,3013261,4262297,5063044,4724924,4407057,3599690,2247665,4683879,4590410,4499702,10031314,8741000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22292,2616,65373,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3367350,3015877,4327670,5063044,4724924,4407057,3599690,2247665,4683879,4590410,4499702,10031314,8741000
9,Other Expenses,- -,1326963,852083,758161,919223,1348990,1978041,1438711,1407325,2494467,2574168,2972295,108756,202229,463169,379603,420852,107543,441594,267349,106044,34658,251253,304060,1100000
10,Operating Expenses,- -,1326963,852083,758161,919223,1348990,1978041,1438711,1407325,2494467,2574168,2972295,3476106,3218106,4790839,5442647,5145776,4514600,4041284,2515014,4789923,4625068,4750955,10335374,9841000
11,COGS and Expenses,- -,1326963,852083,758161,919223,1348990,1978041,1438711,1407325,2494467,2574168,2972295,3476106,3218106,4790839,5442647,5434295,4772668,4425992,2993713,5211906,5011913,5104070,10631232,9841000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18805,274913,133116,65362,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30602,181076,102785,77567,60583,253740,365114,394308,574765,633807,3429297,7000
14,Depreciation and Amortization,- -,40063,37807,30604,37406,92227,63509,54643,74915,96694,104511,101597,100563,202229,463169,379603,288519,258068,384708,478699,421984,386845,353115,295858,286000
