,https://roic.ai/company/DXPE,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,125208000,169700000,203400000,179878000,182642000,174429000,148106000,150683000,160585000,185364000,279820000,444547000,736883000,583226000,656202000,807005000,1097110000,1241510000,1499662000,1247043000,962092000,1006782000,1216197000,1267189000,1005266000,1113921000
2,COGS,93091000,123500000,147600000,131109000,135190000,130624000,110122000,112134000,121154000,135650000,201198000,318855000,529895000,431812000,467807000,575169000,778019000,869165000,1066822000,895057000,697290000,735201000,883989000,919965000,725997000,785415000
3,Gross Profit,32117000,46200000,55800000,48769000,47452000,43805000,37984000,38549000,39431000,49714000,78622000,125692000,206988000,151414000,188395000,231836000,319091000,372345000,432840000,351986000,264802000,271581000,332208000,347224000,279269000,328506000
4,Gross Profit Ratio,0.2565,0.2722,0.2743,0.2711,0.2598,0.2511,0.2565,0.2558,0.2455,0.2682,0.2810,0.2827,0.2809,0.2596,0.2871,0.2873,0.2908,0.2999,0.2886,0.2823,0.2752,0.2698,0.2732,0.2740,0.2778,0.2949
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,29332000,38400000,46600000,44602000,42468000,39771000,33867000,34240000,34222000,40310000,57944000,93800000,- -,- -,- -,- -,- -,- -,- -,- -,245470000,- -,263757000,281102000,246256000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",29332000,38400000,46600000,44602000,42468000,39771000,33867000,34240000,34222000,40310000,57944000,93800000,158797000,147795000,151304000,176351000,228569000,271421000,327899000,303819000,245470000,238091000,263757000,281102000,246256000,288649000
9,Other Expenses,- -,1300000,1800000,2016000,1945000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,29332000,39700000,48400000,46618000,44413000,39771000,33867000,34240000,34222000,40310000,57944000,93800000,158797000,147795000,151304000,176351000,228569000,271421000,327899000,303819000,245470000,238091000,263757000,281102000,246256000,288649000
11,COGS and Expenses,122423000,163200000,196000000,177727000,179603000,170395000,143989000,146374000,155376000,175960000,259142000,412655000,688692000,579607000,619111000,751520000,1006588000,1140586000,1394721000,1198876000,942760000,973292000,1147746000,1201067000,972253000,1074064000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2101000,- -,3700000,- -,3747000,2480000,1630000,1177000,924000,1000000,1943000,3344000,6130000,5245000,5208000,3518000,5560000,6282000,12797000,10932000,15564000,17054000,20937000,19498000,20571000,21089000
14,Depreciation and Amortization,964000,1300000,1800000,2016000,1945000,1381000,1160000,1058000,992000,990000,1754000,990000,10992000,11476000,9568000,10082000,18082000,21660000,35078000,33243000,29994000,27786000,26164000,25174000,22683000,27143000
