,https://roic.ai/company/UUU,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,17900000,25400000,21500000,23500000,21600000,20700000,25700000,23000000,25800000,24800000,19507889,15423149,11566317,9071628,7667530,7731501,10480829,15953883,17201116,23465443,28894101,35823575,33871362,26097596,26439118,13249604,13304602,15383877,12577127,9891554,13740840,14083428,14873189,17588040,14803024,17520151
2,COGS,12700000,19400000,17600000,23400000,18100000,17100000,21700000,19600000,21900000,21500000,16369364,13000896,9393376,7770737,5950578,5606758,7668177,10980067,11402540,16145615,19436949,25146905,26001306,19997626,21107506,9487859,9793404,11042477,9736143,7563444,9961410,9934830,10329134,12033809,11044170,11880442
3,Gross Profit,5200000,6000000,3900000,100000,3500000,3600000,4000000,3400000,3900000,3300000,3138525,2422253,2172941,1300891,1716952,2124743,2812652,4973816,5798576,7319828,9457152,10676670,7870056,6099970,5331612,3761745,3511198,4341400,2840984,2328110,3779430,4148598,4544055,5554231,3758854,5639709
4,Gross Profit Ratio,0.2905,0.2362,0.1814,0.0043,0.1620,0.1739,0.1556,0.1478,0.1512,0.1331,0.1609,0.1571,0.1879,0.1434,0.2239,0.2748,0.2684,0.3118,0.3371,0.3119,0.3273,0.2980,0.2324,0.2337,0.2017,0.2839,0.2639,0.2822,0.2259,0.2354,0.2751,0.2946,0.3055,0.3158,0.2539,0.3219
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220051,250751,226529,129877,191651,176767,222817,284552,270164,277540,246875,296534,364510,435750,712688,615639,570952,543141,592488,776778,665278,682508,653899,502845,691886,471545
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3696740,3209962,2092570,2062020,2239368,2453381,3377847,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3900000,4500000,4000000,- -,3400000,3600000,3900000,4400000,4700000,4800000,3696740,3209962,2092570,2062020,2239368,2453381,3377847,4040774,5010783,6191025,6776688,7290469,6124213,5297284,4731697,4375241,4389818,5010230,4251274,4175584,4480330,4444230,4616391,4864522,4628881,5034380
9,Other Expenses,600000,200000,200000,200000,200000,100000,100000,100000,100000,200000,- -,- -,- -,- -,31736,45858,- -,- -,- -,- -,- -,29576,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,4500000,4700000,4200000,200000,3600000,3700000,4000000,4500000,4800000,5000000,3916791,3460713,2319099,2191897,2462755,2676006,3600664,4325326,5280947,6468565,7023563,7616579,6488723,5733034,5444385,4990880,4960770,5553371,4843762,4952362,5145608,5126738,5270290,5367367,5320767,5505925
11,COGS and Expenses,17200000,24100000,21800000,23600000,21700000,20800000,25700000,24100000,26700000,26500000,20286155,16461609,11712475,9962634,8413333,8282764,11268841,15305393,16683487,22614180,26460512,32763484,32490029,25730660,26551891,14478739,14754174,16595848,14579905,12515806,15107018,15061568,15599424,17401176,16364937,17386367
