,https://roic.ai/company/FTAI-PB,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,3489000,19553000,57930000,136568000,148720000,217659000,379878000,578774000,366496000,455802000
2,COGS,- -,3909000,- -,- -,- -,- -,- -,288036000,- -,- -
3,Gross Profit,- -,15644000,- -,- -,- -,- -,- -,290738000,- -,- -
4,Gross Profit Ratio,- -,0.8001,- -,- -,- -,- -,- -,0.5023,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2265000,5721000,7470000,22586000,29056000,30302000,32852000,56500000,36678000,17409000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2265000,5721000,7470000,22586000,29056000,30302000,32852000,56500000,36678000,17409000
9,Other Expenses,- -,712000,- -,- -,- -,- -,- -,457059000,281912000,390542000
10,Operating Expenses,- -,6433000,- -,- -,- -,- -,- -,513559000,318590000,407951000
11,COGS and Expenses,4427000,10342000,50691000,136687000,155435000,210797000,336720000,801595000,318590000,407951000
12,Interest Income ,- -,- -,186000,579000,136000,688000,488000,531000,162000,1711000
13,Interest Expense (Gain),30000,2816000,5872000,19311000,18957000,38827000,57854000,-95585000,98206000,171036000
14,Depreciation and Amortization,1398000,3909000,18692000,52324000,65657000,96416000,163013000,176204000,202746000,229734000
15,EBITDA,3622000,31546000,33218000,60395000,64818000,137331000,228121000,323537000,207877000,295479000
16,EBITDA ratio,1.0381,1.6134,0.5734,0.4422,0.4358,0.6309,0.6005,0.5590,0.5672,0.6483
17,Operating Income,-938000,9211000,7239000,-119000,-6715000,6862000,43158000,65215000,47906000,-130706000
18,Operating Income ratio,-0.2688,0.4711,0.1250,-0.0009,-0.0452,0.0315,0.1136,0.1127,0.1307,-0.2868
19,Total Other Income Expenses (Gains),3132000,16068000,-3447000,-27926000,-33615000,-28148000,-57490000,86917000,-158834000,-1057000
20,Income Before Tax,2194000,25279000,3792000,-28045000,-40330000,-21286000,-14332000,152132000,-110928000,-131763000
21,Income Before Tax Ratio,0.6288,1.2928,0.0655,-0.2054,-0.2712,-0.0978,-0.0377,0.2629,-0.3027,-0.2891
22,Income Tax expense (Gain),- -,- -,874000,586000,268000,1954000,1372000,17810000,-5905000,-1057000
23,Net Income,2194000,24821000,7780000,-11826000,-20064000,134000,5882000,225108000,-87170000,-104234000
24,Net Income ratio,0.6288,1.2694,0.1343,-0.0866,-0.1349,0.0006,0.0155,0.3889,-0.2378,-0.2287
25,EPS,0.03,0.29,0.09,-0.14,-0.23,0.00,0.07,2.62,-1.01,-1.52
26,EPS Diluted,0.03,0.29,0.09,-0.14,-0.23,0.00,0.07,2.62,-1.01,-1.52
27,Weighted Average Shares Outstanding,86013485,86013485,86013485,86013485,86013485,86013485,86013485,86013485,86013485,86013485
28,Weighted Average Shares Outstanding Diluted,86013485,86013485,86013485,86013485,86013485,86013485,86013485,86013485,86013485,86013485
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1590364/000159036419000002/0001590364-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1590364/000159036420000002/0001590364-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1590364/000159036421000002/0001590364-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1590364/000159036422000002/0001590364-22-000002-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,4124000,7236000,22125000,381703000,68055000,59400000,99601000,226512000,121703000,188078000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4124000,7236000,22125000,381703000,68055000,59400000,99601000,226512000,121703000,188078000
34,Net Receivables,80354000,117402000,410401000,96987000,31075000,40320000,72412000,49470000,98618000,182808000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,469000,1320000,21084000,21610000,65441000,33406000,21236000,- -,39715000,251983000
37,Total Current Assets,84947000,125958000,453610000,500300000,164571000,133126000,193249000,275982000,260036000,622869000
38,PP&E,28998000,107020000,737707000,936359000,1117636000,1564079000,2141063000,732109000,2661977000,3522850000
39,Goodwill,- -,- -,115226000,116584000,116584000,116584000,116584000,122639000,122735000,257137000
40,Intangible Assets,- -,- -,52041000,44129000,38954000,40043000,38513000,27692000,18786000,98699000
41,Intangible Assets,- -,- -,167267000,160713000,155538000,156627000,155097000,150331000,141521000,355836000
42,Investments,55922000,32744000,21569000,10675000,39978000,42538000,40560000,180550000,146515000,77325000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,707000,12925000,24048000,41594000,69589000,59436000,108809000,-180550000,177928000,284974000
45,Total Non-Current Assets,85627000,152689000,950591000,1149341000,1382741000,1822680000,2445529000,882440000,3127941000,4240985000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,170574000,278647000,1404201000,1649641000,1547312000,1955806000,2638778000,1158422000,3387977000,4863854000
48,Accounts Payable,1547000,3777000,- -,- -,- -,- -,- -,144855000,- -,- -
49,Short-Term Debt,- -,73388000,243759000,221444000,73562000,76793000,219813000,111009000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,396000,-72023000,42784000,34995000,-35323000,-8567000,-107625000,-111009000,113185000,202669000
53,Total Current Liabilities,1943000,5142000,286543000,256439000,38239000,68226000,112188000,144855000,113185000,202669000
54,Long-Term Debt,55991000,73388000,349108000,49613000,259512000,703264000,1237347000,- -,1966763000,3293805000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,625000,4233000,55053000,52903000,83881000,149241000,235461000,- -,208708000,243280000
58,Total Non-Current Liabilities,56616000,77621000,404161000,102516000,343393000,852505000,1472808000,- -,2175471000,3537085000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,1753210000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,36968000,62001000,73594000
61,Total Liabilities,58559000,82763000,690704000,358955000,381632000,920731000,1584996000,1898065000,2288656000,3739754000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,81000,91000,133000
63,Common Stock,- -,- -,- -,757000,758000,758000,840000,- -,856000,992000
64,Retained Earnings,- -,- -,- -,-18769000,-38833000,-38699000,-32817000,190453000,-28158000,-132392000
65,Other Comprehensive Income/Loss,-77000,328000,214000,97000,7130000,-184337000,- -,372000,-26237000,-156381000
66,Other Total Stockholders Equity,113127000,200543000,731110000,1184198000,1084757000,1169346000,1029376000,1148032000,1130106000,1411940000
67,Total Stockholders Equity,112015000,192429000,614432000,1166283000,1053812000,947068000,997399000,1301877000,1076658000,1124292000
68,Total Liabilities And Stockholders Equity,170574000,275192000,1305136000,1525238000,1435444000,1867799000,2582395000,3199942000,3365314000,4864046000
69,Minority Interest,- -,3455000,99065000,124403000,111868000,88007000,56383000,-2041520000,22663000,-192000
70,Total Liabilities & Equity,170574000,278647000,1404201000,1649641000,1547312000,1955806000,2638778000,1158422000,3387977000,4863854000
