,https://roic.ai/company/KALU,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2192700000,2095000000,2000800000,1909100000,1719100000,1781500000,2237800000,2190500000,2373200000,2256400000,2044300000,2169800000,1732700000,1469600000,1365000000,942400000,1089700000,667500000,1504500000,1508200000,987000000,1079100000,1301300000,1360100000,1297500000,1356100000,1391900000,1330600000,1397500000,1585900000,1514100000,1172700000,2622000000
2,COGS,1545600000,1525200000,1594200000,1619300000,1587700000,1625500000,1798400000,1869100000,1962600000,1906200000,1859200000,1891400000,1638400000,1408200000,1423000000,852200000,951100000,580400000,1251100000,1512800000,782900000,946800000,1158900000,1127500000,1066300000,1159000000,1153800000,1041700000,1125600000,1344600000,1264300000,993500000,2439600000
3,Gross Profit,647100000,569800000,406600000,289800000,131400000,156000000,439400000,321400000,410600000,350200000,185100000,278400000,94300000,61400000,-58000000,90200000,138600000,87100000,253400000,-4600000,204100000,132300000,142400000,232600000,231200000,197100000,238100000,288900000,271900000,241300000,249800000,179200000,182400000
4,Gross Profit Ratio,0.2951,0.2720,0.2032,0.1518,0.0764,0.0876,0.1964,0.1467,0.1730,0.1552,0.0905,0.1283,0.0544,0.0418,-0.0425,0.0957,0.1272,0.1305,0.1684,-0.0030,0.2068,0.1226,0.1094,0.1710,0.1782,0.1453,0.1711,0.2171,0.1946,0.1522,0.1650,0.1528,0.0696
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,119700000,123200000,117400000,119600000,157700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,608000000,885500000,58900000,33300000,73100000,73100000,69900000,64400000,62700000,62200000,57900000,81400000,88100000,105000000,97500000,96300000,98000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",119700000,123200000,117400000,119600000,157700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,608000000,885500000,58900000,33300000,73100000,73100000,69900000,64400000,62700000,62200000,57900000,81400000,88100000,105000000,97500000,96300000,98000000,- -,118800000
9,Other Expenses,62300000,70500000,73200000,80300000,97100000,212200000,228800000,223600000,222900000,259600000,214000000,139100000,29400000,467400000,46000000,-16700000,-1142200000,5500000,-1700000,14700000,16400000,19800000,25000000,4500000,- -,1500000,100000,2800000,800000,1400000,900000,90600000,- -
10,Operating Expenses,182000000,193700000,190600000,199900000,254800000,212200000,228800000,223600000,222900000,259600000,214000000,139100000,29400000,467400000,654000000,868800000,-1083300000,38800000,71400000,87800000,86300000,84200000,87700000,66700000,57900000,82900000,88200000,107800000,98300000,97700000,98900000,90600000,118800000
11,COGS and Expenses,1727600000,1718900000,1784800000,1819200000,1842500000,1837700000,2027200000,2092700000,2185500000,2165800000,2073200000,2030500000,1667800000,1875600000,2077000000,1721000000,1029900000,619200000,1322500000,1600600000,869200000,1031000000,1246600000,1194200000,1124200000,1241900000,1242000000,1149500000,1223900000,1442300000,1363200000,1084100000,2558400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,400000,400000,1000000,400000,100000,200000,300000,600000,600000,- -
13,Interest Expense (Gain),-207000000,-96600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,11800000,18000000,29100000,35700000,37500000,24100000,20300000,22200000,22700000,24600000,40900000,49500000
14,Depreciation and Amortization,62300000,70500000,-73200000,-80300000,-97100000,101600000,99700000,96000000,91100000,103000000,93800000,81300000,95300000,95400000,78000000,28100000,24300000,5700000,14000000,14900000,16400000,19800000,25200000,26500000,28100000,31100000,32400000,36000000,39700000,43900000,49100000,52200000,91500000
