,https://roic.ai/company/CDLX,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,77634000,112821000,130365000,150684000,210430000,186892000,267116000
2,COGS,52494000,72412000,80259000,96003000,130973000,123618000,- -
3,Gross Profit,25140000,40409000,50106000,54681000,79457000,63274000,267116000
4,Gross Profit Ratio,0.3238,0.3582,0.3844,0.3629,0.3776,0.3386,1.0000
5,Research and Development Exp.,11604000,13902000,12150000,16210000,11699000,17532000,38104000
6,General and Administrative Exp.,18197000,21355000,20100000,34228000,36720000,46532000,66222000
7,Selling and Marketing Exp.,32784000,31261000,31927000,41878000,43828000,45307000,65996000
8,"Selling, General and Administrative Exp.",50981000,52616000,52027000,76106000,80548000,91839000,132218000
9,Other Expenses,2194000,4219000,3028000,3282000,4535000,7826000,-66222000
10,Operating Expenses,64779000,70737000,67205000,95598000,96782000,117197000,104100000
11,COGS and Expenses,117273000,143149000,147464000,191601000,227755000,240815000,389715000
12,Interest Income ,- -,- -,- -,- -,829000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,1377000,3048000,-12563000
14,Depreciation and Amortization,2194000,4219000,3028000,3282000,4535000,11592000,35654000
15,EBITDA,-38447000,-71477000,-16613000,-49760000,-11232000,-40782000,-97610000
16,EBITDA ratio,-0.4952,-0.6335,-0.1274,-0.3302,-0.0534,-0.2182,-0.3654
17,Operating Income,-39639000,-56232000,-17099000,-40917000,-17325000,-53923000,-122599000
18,Operating Income ratio,-0.5106,-0.4984,-0.1312,-0.2715,-0.0823,-0.2885,-0.4590
19,Total Other Income Expenses (Gains),-1002000,-19464000,-2542000,-12125000,181000,-1499000,-13830000
20,Income Before Tax,-40641000,-75696000,-19641000,-53042000,-17144000,-55422000,-136429000
21,Income Before Tax Ratio,-0.5235,-0.6709,-0.1507,-0.3520,-0.0815,-0.2965,-0.5107
22,Income Tax expense (Gain),-16000,- -,- -,- -,- -,- -,7864000
23,Net Income,-40625000,-75696000,-19641000,-53042000,-17144000,-55422000,-128565000
24,Net Income ratio,-0.5233,-0.6709,-0.1507,-0.3520,-0.0815,-0.2965,-0.4813
25,EPS,-2.97,-5.55,-1.30,-2.79,-0.72,-2.04,-3.99
26,EPS Diluted,-2.97,-5.55,-1.30,-2.79,-0.72,-2.04,-3.99
27,Weighted Average Shares Outstanding,14027000,12688000,19519619,19060000,23811111,27167647,32202000
28,Weighted Average Shares Outstanding Diluted,14027000,12688000,19519619,19060000,23811111,27231000,32202000
