,https://roic.ai/company/VYST,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,227,50933,861982,861982,347250,1307776,650991,378666,40193,16754,342049,13685872,20979243
2,COGS,- -,54353,1053736,1053736,226624,868612,344973,268098,20473,21498,385803,7332271,10005075
3,Gross Profit,227,-3420,-191754,-191754,120626,439164,306018,110568,19720,-4744,-43754,6353601,10974168
4,Gross Profit Ratio,1.0000,-0.0671,-0.2225,-0.2225,0.3474,0.3358,0.4701,0.2920,0.4906,-0.2832,-0.1279,0.4642,0.5231
5,Research and Development Exp.,403196,223102,70570,70570,68426,22234,- -,- -,- -,- -,2400000,- -,- -
6,General and Administrative Exp.,3785612,1332890,2154241,1886863,1812274,2215961,1575718,1168341,1096354,1125638,3671356,8463704,10276953
7,Selling and Marketing Exp.,473337,676370,770845,770845,644612,123303,- -,- -,- -,- -,- -,- -,1808115
8,"Selling, General and Administrative Exp.",4258949,2009260,2925086,2657708,2456886,2339264,1575718,1168341,1096354,1125638,3671356,8463704,12085068
9,Other Expenses,- -,- -,- -,-128377,-412462,- -,- -,- -,- -,- -,-2400000,2830553,3492331
10,Operating Expenses,4662145,2232362,2995656,2599901,2112850,2361498,1575718,1168341,1096354,1125638,3671356,11294257,15577399
11,COGS and Expenses,4662145,2286715,4049392,4049392,2826525,3385423,1920691,1436439,1116827,1147136,6457159,18626528,25582474
12,Interest Income ,22930,13065,2954,545,526,6543,34,42,1,- -,- -,- -,- -
13,Interest Expense (Gain),1031,3135,3639,1122296,650298,420238,171848,151799,168188,174661,673277,1390407,1845916
14,Depreciation and Amortization,1538231,110654,13802,949203,40423,65700,18546,17288,16139,15680,145046,444890,795241
15,EBITDA,-3100811,-1991858,-3170654,-1116596,-2910305,-2027870,-1244724,-1069791,-1036971,-994133,-4582899,-5869325,-4967060
16,EBITDA ratio,-13659.9604,-39.1074,-3.6783,-1.2954,-8.3810,-1.5506,-1.9120,-2.8252,-25.7998,-59.3371,-13.3984,-0.4289,-0.2368
17,Operating Income,-4661918,-2235782,-3187410,-2479275,-2099782,-2077647,-1269700,-1057773,-1076634,-1130382,-3715110,-4940656,-4603231
18,Operating Income ratio,-20537.0837,-43.8965,-3.6978,-2.8762,-6.0469,-1.5887,-1.9504,-2.7934,-26.7866,-67.4694,-10.8613,-0.3610,-0.2194
19,Total Other Income Expenses (Gains),-54,120205,- -,-708820,-1501244,-436161,-165418,-181105,-144664,-54092,-1686112,4961585,-3729463
20,Income Before Tax,- -,- -,- -,-3188095,-3601026,-2513808,-1435118,-1238878,-1221298,-1184474,-5401222,20929,-8332694
21,Income Before Tax Ratio,- -,- -,- -,-3.6986,-10.3701,-1.9222,-2.2045,-3.2717,-30.3858,-70.6980,-15.7908,0.0015,-0.3972
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-4640073,-2105647,-3188095,-3188095,-3601026,-2513808,-1435118,-1238878,-1221298,-1184474,-5401222,-7704622,-7608217
24,Net Income ratio,-20440.8502,-41.3415,-3.6986,-3.6986,-10.3701,-1.9222,-2.2045,-3.2717,-30.3858,-70.6980,-15.7908,-0.5630,-0.3627
25,EPS,-0.40,-0.17,-0.22,-0.23,-0.13,-0.09,-0.03,-0.02,-0.01,-0.01,-0.02,-0.01,-0.01
26,EPS Diluted,-0.40,-0.17,-0.22,-0.23,-0.13,-0.09,-0.03,-0.02,-0.01,-0.01,-0.02,-0.01,-0.01
27,Weighted Average Shares Outstanding,11522901,12467732,14504066,15595137,20445512,29365815,55058317,83806182,106985632,125868534,257499751,1009072209,1123842260
28,Weighted Average Shares Outstanding Diluted,11522901,12467732,14504066,15595137,20445512,29365815,55058317,83806182,106985632,125868534,257499751,1009072209,1123842260
