,https://roic.ai/company/OTRK,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1548850,2671802,75000,192000,1164000,3906000,44001000,41230000,1530000,448000,267000,541000,866000,2030000,2705000,7075000,7717000,15177000,35095000,82837000,84133000
2,COGS,1235722,2615684,- -,- -,- -,818000,37731000,38214000,509000,255000,571000,816000,885000,1301000,2433000,4670000,6391000,11119000,20408000,43603000,31214000
3,Gross Profit,313128,56118,75000,- -,1164000,3088000,6270000,3016000,1021000,193000,-304000,-275000,-19000,729000,272000,2405000,1326000,4058000,14687000,39234000,52919000
4,Gross Profit Ratio,0.2022,0.0210,1.0000,- -,1.0000,0.7906,0.1425,0.0732,0.6673,0.4308,-1.1386,-0.5083,-0.0219,0.3591,0.1006,0.3399,0.1718,0.2674,0.4185,0.4736,0.6290
5,Research and Development Exp.,- -,- -,- -,- -,2646000,3053000,3358000,3370000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12923000,18279000
6,General and Administrative Exp.,- -,- -,3545000,11467000,22511000,38680000,45554000,40741000,18034000,12784000,11145000,8341000,6115000,6302000,9049000,8838000,11811000,17395000,- -,36709000,43774000
7,Selling and Marketing Exp.,783,1283,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4525000,9895000
8,"Selling, General and Administrative Exp.",783,1283,3545000,11467000,22511000,38680000,45554000,40741000,18034000,12784000,11145000,8341000,6115000,6302000,9049000,8838000,11811000,17395000,- -,41234000,53669000
9,Other Expenses,299051,403707,75000,- -,879000,1281000,4889000,2733000,1248000,882000,349000,289000,170000,113000,122000,141000,246000,288000,34701000,- -,- -
10,Operating Expenses,299834,404990,3620000,- -,26036000,43014000,53801000,46844000,19282000,13666000,11494000,8630000,6285000,6415000,9171000,8979000,12057000,17683000,34701000,54157000,71948000
11,COGS and Expenses,1535556,3020674,3620000,12137000,26036000,43832000,91532000,85058000,19791000,13921000,12065000,9446000,7170000,7716000,11604000,13649000,18448000,28802000,55109000,97760000,103162000
12,Interest Income ,- -,- -,41000,- -,834000,1630000,- -,830000,941000,131000,4000,- -,106000,1194000,64000,106000,- -,- -,- -,- -,- -
