,https://roic.ai/company/MDB,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , 
1,Revenue,65271000,101358000,154519000,267016000,421720000,590380000,873782000
2,COGS,20861000,29867000,42859000,73568000,125356000,177076000,259492000
3,Gross Profit,44410000,71491000,111660000,193448000,296364000,413304000,614290000
4,Gross Profit Ratio,0.6804,0.7053,0.7226,0.7245,0.7028,0.7001,0.7030
5,Research and Development Exp.,43465000,51772000,62202000,89854000,149033000,205161000,308820000
6,General and Administrative Exp.,17070000,27082000,36775000,53063000,71304000,92347000,122944000
7,Selling and Marketing Exp.,56613000,78584000,109950000,148296000,223893000,325100000,471890000
8,"Selling, General and Administrative Exp.",73683000,105666000,146725000,201359000,295197000,417447000,594834000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,117148000,157438000,208927000,291213000,444230000,622608000,903654000
11,COGS and Expenses,138009000,187305000,251786000,364781000,569586000,799684000,1163146000
12,Interest Income ,146000,302000,1308000,7163000,8556000,4569000,926000
13,Interest Expense (Gain),24000,9000,8000,10290000,20983000,56107000,- -
14,Depreciation and Amortization,4062000,3751000,3703000,5792000,19774000,24532000,17645000
15,EBITDA,-68958000,-82202000,-91361000,-86247000,-135421000,-182054000,-285244000
16,EBITDA ratio,-1.0565,-0.8110,-0.5913,-0.3230,-0.3211,-0.3084,-0.3264
17,Operating Income,-72738000,-85947000,-97267000,-97765000,-147866000,-209304000,-289364000
18,Operating Income ratio,-1.1144,-0.8480,-0.6295,-0.3661,-0.3506,-0.3545,-0.3312
19,Total Other Income Expenses (Gains),-306000,-15000,2195000,-4564000,-28312000,-53389000,-13525000
20,Income Before Tax,-73044000,-85962000,-95072000,-102329000,-176178000,-262693000,-302889000
21,Income Before Tax Ratio,-1.1191,-0.8481,-0.6153,-0.3832,-0.4178,-0.4450,-0.3466
22,Income Tax expense (Gain),442000,719000,1287000,-3318000,-656000,4251000,3977000
23,Net Income,-73486000,-86681000,-96359000,-99011000,-175522000,-266944000,-306866000
24,Net Income ratio,-1.1259,-0.8552,-0.6236,-0.3708,-0.4162,-0.4522,-0.3512
25,EPS,-1.82,-2.28,-4.06,-1.90,-3.14,-4.53,-4.62
26,EPS Diluted,-1.82,-2.28,-4.06,-1.90,-3.14,-4.53,-4.62
27,Weighted Average Shares Outstanding,40296208,38068020,23718391,52034596,55939032,58984604,66386379
28,Weighted Average Shares Outstanding Diluted,40296208,38068020,23718391,52034596,55939032,58984604,66386379
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1441816/000144181618000028/0001441816-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1441816/000144181619000067/0001441816-19-000067-index.html,https://www.sec.gov/Archives/edgar/data/1441816/000144181620000067/0001441816-20-000067-index.html,https://www.sec.gov/Archives/edgar/data/1441816/000144181621000051/0001441816-21-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1441816/000144181622000059/0001441816-22-000059-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,33205000,69305000,61902000,147831000,706192000,429697000,473904000
32,Short-Term Investments,79954000,47195000,217072000,318139000,280326000,528045000,- -
33,Cash and Short-Term Investments,113159000,116500000,278974000,465970000,986518000,957742000,473904000
34,Net Receivables,22432000,31340000,46872000,72808000,85554000,135176000,195383000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,8436000,10612000,17704000,27458000,41124000,48969000,1448115000
37,Total Current Assets,144027000,158452000,343550000,566236000,1113196000,1141887000,2117402000
38,PP&E,6031000,4877000,59557000,73664000,69463000,96951000,104370000
39,Goodwill,1700000,1700000,1700000,41878000,55830000,55830000,57775000
40,Intangible Assets,3394000,2511000,1627000,15894000,34779000,26275000,20608000
41,Intangible Assets,5094000,4211000,3327000,57772000,90609000,82105000,78383000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,68000,114000,326000,1193000,615000,997000,1939000
44,Other Non-Current Assets,1593000,6778000,8436000,34611000,54684000,85555000,147494000
45,Total Non-Current Assets,12786000,15980000,71646000,167240000,215371000,265608000,332186000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,156813000,174432000,415196000,733476000,1328567000,1407495000,2449588000
48,Accounts Payable,1514000,2841000,2261000,2153000,2849000,4144000,5234000
49,Short-Term Debt,- -,- -,- -,- -,- -,2343000,8084000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,52035000,78278000,114500000,122333000,167498000,221404000,23179000
52,Other Current Liabilities,12123000,16671000,25856000,40151000,72037000,126650000,490238000
53,Total Current Liabilities,65672000,97790000,142617000,164637000,242384000,354541000,526735000
54,Long-Term Debt,- -,- -,- -,216858000,911075000,976824000,1175228000
55,Deferred Revenue,6225000,15461000,22930000,15343000,23281000,16547000,23179000
56,Deferred Tax Liabilities,66000,108000,18000,106000,821000,773000,81000
57,Other Non-Current Liabilities,313355000,347587000,56138000,71966000,68148000,63843000,57665000
58,Total Non-Current Liabilities,319646000,363156000,79086000,304273000,1003325000,1057987000,1256153000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,11863000,41438000,- -
61,Total Liabilities,385318000,460946000,221703000,468910000,1245709000,1412528000,1782888000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,12000,13000,51000,54000,57000,61000,67000
64,Retained Earnings,-259269000,-347401000,-443760000,-488607000,-668232000,-935403000,-1189634000
65,Other Comprehensive Income/Loss,-7190000,-9729000,-12183000,-3441000,-5553000,-704000,-2928000
66,Other Total Stockholders Equity,37942000,70603000,649385000,756560000,756586000,931013000,1859195000
67,Total Stockholders Equity,-228505000,-286514000,193493000,264566000,82858000,-5033000,666700000
68,Total Liabilities And Stockholders Equity,156813000,174432000,415196000,733476000,1328567000,1407495000,2449588000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,156813000,174432000,415196000,733476000,1328567000,1407495000,2449588000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1441816/000144181618000028/0001441816-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1441816/000144181619000067/0001441816-19-000067-index.html,https://www.sec.gov/Archives/edgar/data/1441816/000144181620000067/0001441816-20-000067-index.html,https://www.sec.gov/Archives/edgar/data/1441816/000144181621000051/0001441816-21-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1441816/000144181622000059/0001441816-22-000059-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-73486000,-86681000,-96359000,-99011000,-175522000,-266944000,-306866000
74,Depreciation and Amortization,4062000,3751000,3703000,5792000,19774000,24532000,17645000
75,Deferred Income Tax,-2000,-4000,-302000,-4960000,-3292000,-364000,-2579000
76,Stock Based Compensation,12787000,21004000,21235000,37403000,75776000,149313000,251069000
77,Change in Working Capital,9730000,-17693000,140271000,200666000,469213000,-83466000,803321000
78,Accounts Receivable,-10123000,-9263000,-15901000,-19445000,-12692000,-47633000,-62277000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,371000,1296000,-371000,-913000,513000,1216000,1146000
81,Other Working Capital,78355000,60662000,200933000,401599000,870812000,787346000,1590667000
82,Other Non-Cash Items,-52000,41545000,-113429000,-181879000,-415489000,134256000,-755610000
83,Cash Provided by Operating Activities,-46961000,-38078000,-44881000,-41989000,-29540000,-42673000,6980000
84,CAPEX,-468000,-1683000,-2135000,-6848000,-3564000,-11773000,-8072000
85,Acquisitions Net,- -,- -,- -,-56000000,-39000000,- -,-4469000
86,Purchases of Investments,-117954000,-82036000,-252382000,-547914000,-429452000,-990883000,-1385258000
87,Sales/Maturities of Investments,38000000,114775000,82230000,450000000,470000000,740000000,550000000
88,Other Investing Activites,- -,- -,- -,483000,371000,- -,-4343000
89,Cash Used for Investing Activites,-80422000,31056000,-172287000,-160279000,-1645000,-262656000,-852142000
