,https://roic.ai/company/PALT,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,101,169,92,424564,3011627,3170725,6668627,19155543,19246736,12610092,13558690,12021030,20988429,24841283,26355946,15283617,12832672,13273849
2,COGS,- -,- -,- -,- -,770765,1423585,1581332,2930536,4444550,5035482,2837375,1702321,5015565,4861315,4884212,3174453,2573083,- -
3,Gross Profit,101,169,92,424564,2240862,1747140,5087295,16225007,14802186,7574610,10721315,10318709,15972864,19979968,21471734,12109164,10259589,13273849
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,0.7441,0.5510,0.7629,0.8470,0.7691,0.6007,0.7907,0.8584,0.7610,0.8043,0.8147,0.7923,0.7995,1.0000
5,Research and Development Exp.,12370,56199,126590,412098,- -,- -,- -,- -,- -,- -,- -,2103300,8600688,8918409,8044991,6563449,5025482,5391819
6,General and Administrative Exp.,- -,- -,- -,742819,1282035,1831918,2365407,5261984,8282037,8895103,7221155,4200378,4016068,8874389,8972353,6343859,3166343,2706733
7,Selling and Marketing Exp.,- -,- -,- -,176906,12317,- -,3906317,14626963,9876097,4170064,5244262,5414563,5099956,7847235,5794551,1056967,825069,1170386
8,"Selling, General and Administrative Exp.",7075,24088,450142,919725,1294352,1831918,6271724,19888947,18158134,13065167,12465417,9614941,9116024,16721624,14766904,7400826,3991412,3877119
9,Other Expenses,3812,8100,8100,9054,12631,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,23257,88387,584832,1340877,1306983,1831918,6271724,19888947,18158134,13065167,12465417,11718241,17716712,25640033,22811895,13964275,9016894,9268938
11,COGS and Expenses,23257,88387,584832,1340877,2077748,3255503,7853056,22819483,22602684,18100649,15302792,13420562,22732277,30501348,27696107,17138728,11589977,12754359
12,Interest Income ,1,307,3910,6081,9284,16269,8199,31276,21517,- -,- -,- -,-60030,41717,- -,- -,7119,- -
13,Interest Expense (Gain),1826,4868,5954,3390,6103,4831,3732,2418,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,3812,8100,8100,6414,12632,19649,18674,51180,151007,174640,181675,167161,1402533,2132496,1987173,783572,325044,370845
15,EBITDA,-19343,-79811,-572730,-903818,955795,-26456,-1144664,-3577575,-3879634,-3831373,-1476202,-1130691,-50243,-3532785,-1807043,-7738081,1695919,1704902
16,EBITDA ratio,-191.5149,-472.2544,-6225.3261,-2.1288,0.3174,-0.0083,-0.1716,-0.1868,-0.2016,-0.3038,-0.1089,-0.0941,-0.0024,-0.1422,-0.0686,-0.5063,0.1322,0.1284
17,Operating Income,-23156,-88218,-584740,-916313,933879,-84778,-1184429,-3663940,-3355948,-5490557,-1744102,-1399532,-1743848,-5660065,-1340161,-1855111,1242695,519490
